[WEB | EN | OT | Sirach | Chapter 50 | Verse 1] It was Simon, the son of Onias, the high priest, who in his life repaired the house, and in his days strengthened the temple.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 2] The foundation was built by him to the height of the double walls, the lofty retaining walls of the temple enclosure.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 3] In his days, a water cistern was dug, the brazen vessel like the sea in circumference.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 4] He planned to save his people from ruin, and fortified the city against siege.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 5] How glorious he was when the people gathered around him as he came out of the house of the veil!
[WEB | EN | OT | Sirach | Chapter 50 | Verse 6] He was like the morning star among clouds, like the full moon,
[WEB | EN | OT | Sirach | Chapter 50 | Verse 7] like the sun shining on the temple of the Most High, like the rainbow shining in clouds of glory,
[WEB | EN | OT | Sirach | Chapter 50 | Verse 8] like roses in the days of first fruits, like lilies by a water spring, like the shoot of the frankincense tree in summer time,
[WEB | EN | OT | Sirach | Chapter 50 | Verse 9] like fire and incense in the censer, like a vessel of beaten gold adorned with all kinds of precious stones,
[WEB | EN | OT | Sirach | Chapter 50 | Verse 10] like an olive tree loaded with fruit, and like a cypress growing high among the clouds.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 11] When he put on his glorious robe, and clothed himself in perfect splendor, ascending to the holy altar, he made the court of the sanctuary glorious.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 12] When he received the portions out of the priests’ hands, as he stood by the hearth of the altar, with his kindred like a garland around him, he was like a young cedar in Lebanon surrounded by the trunks of palm trees.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 13] All the sons of Aaron in their glory, held the Lord’s offering in their hands before all the congregation of Israel.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 14] Finishing the service at the altars, that he might arrange the offering of the Most High, the Almighty,
[WEB | EN | OT | Sirach | Chapter 50 | Verse 15] he stretched out his hand to the cup of libation, and poured out the cup of the grape. He poured it out at the foot of the altar, a sweet smelling fragrance to the Most High, the King of all.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 16] Then the sons of Aaron shouted. They sounded the trumpets of beaten work. They made a great fanfare to be heard, for a reminder before the Most High.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 17] Then all the people together hurried, and fell down to the ground on their faces to worship their Lord, the Almighty, God Most High.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 18] The singers also praised him with their voices. There was a sweet melody in the whole house.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 19] And the people implored the Lord Most High, in prayer before him who is merciful, until the worship of the Lord was finished, and so they accomplished his service.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 20] Then he went down, and lifted up his hands over the whole congregation of the children of Israel, to give blessing to the Lord with his lips, and to glory in his name.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 21] He bowed himself down in worship the second time, to declare the blessing from the Most High.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 22] Now bless the God of all, who everywhere does great things, who exalts our days from the womb, and deals with us according to his mercy.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 23] May he grant us joyfulness of heart, and that peace may be in our days in Israel for the days of eternity,
[WEB | EN | OT | Sirach | Chapter 50 | Verse 24] to entrust his mercy with us, and let him deliver us in his time!
[WEB | EN | OT | Sirach | Chapter 50 | Verse 25] With two nations my soul is vexed, and the third is no nation:
[WEB | EN | OT | Sirach | Chapter 50 | Verse 26] Those who sit on the mountain of Samaria, the Philistines, and the foolish people who live in Shechem.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 27] I have written in this book the instruction of understanding and knowledge, I Jesus, the son of Sirach Eleazar, of Jerusalem, who out of his heart poured forth wisdom.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 28] Blessed is he who will exercise these things. He who lays them up in his heart will become wise.
[WEB | EN | OT | Sirach | Chapter 50 | Verse 29] For if he does them, he will be strong in all things, for the light of the Lord is his guide.
