[WEB | EN | OT | Sirach | Chapter 39 | Verse 1] Not so he who has applied his soul and meditates in the law of the Most High. He will seek out the wisdom of all the ancients and will be occupied with prophecies.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 2] He will keep the sayings of the men of renown and will enter in amidst the subtleties of parables.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 3] He will seek out the hidden meaning of proverbs and be conversant in the dark sayings of parables.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 4] He will serve among great men and appear before him who rules. He will travel through the land of foreign nations, for he has learned what is good and evil among men.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 5] He will apply his heart to return early to the Lord who made him, and will make supplication before the Most High, and will open his mouth in prayer, and will ask for pardon for his sins.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 6] If the great Lord wills, he will be filled with the spirit of understanding; he will pour forth the words of his wisdom and in prayer give thanks to the Lord.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 7] He will direct his counsel and knowledge, and he will meditate in his secrets.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 8] He will show the instruction which he has been taught and will glory in the law of the covenant of the Lord.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 9] Many will commend his understanding. So long as the world endures, it won’t be blotted out. His memory won’t depart. His name will live from generation to generation.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 10] Nations will declare his wisdom. The congregation will proclaim his praise.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 11] If he continues, he will leave a greater name than a thousand. If he finally rests, it is enough for him.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 12] Yet more I will utter, which I have thought about. I am filled like the full moon.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 13] Listen to me, you holy children, and bud forth like a rose growing by a brook of water.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 14] Give a sweet fragrance like frankincense. Put forth flowers like a lily. Scatter a sweet smell and sing a song of praise. Bless the Lord for all his works!
[WEB | EN | OT | Sirach | Chapter 39 | Verse 15] Magnify his name and give utterance to his praise with the songs on your lips and with harps! Say this when you utter his praise:
[WEB | EN | OT | Sirach | Chapter 39 | Verse 16] All the works of the Lord are exceedingly good, and every command will be done in its time.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 17] No one can say, “What is this?” “Why is that?” for at the proper time they will all be sought out. At his word, the waters stood as a heap, as did the reservoirs of water at the word of his mouth.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 18] At his command all his good pleasure is fulfilled. There is no one who can hinder his salvation.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 19] The works of all flesh are before him. It’s impossible to be hidden from his eyes.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 20] He sees from everlasting to everlasting. There is nothing too wonderful for him.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 21] No one can say, “What is this?” “Why is that?” for all things are created for their own uses.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 22] His blessing covered the dry land as a river and saturated it as a flood.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 23] As he has made the waters salty, so the heathen will inherit his wrath.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 24] His ways are plain to the holy. They are stumbling blocks to the wicked.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 25] Good things are created from the beginning for the good. So are evil things for sinners.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 26] The main things necessary for the life of man are water, fire, iron, salt, wheat flour, and honey, milk, the blood of the grape, oil, and clothing.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 27] All these things are for good to the godly, but for sinners, they will be turned into evils.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 28] There are winds that are created for vengeance, and in their fury they lay on their scourges heavily. In the time of reckoning, they pour out their strength, and will appease the wrath of him who made them.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 29] Fire, hail, famine, and death— all these are created for vengeance—
[WEB | EN | OT | Sirach | Chapter 39 | Verse 30] wild beasts’ teeth, scorpions, adders, and a sword punishing the ungodly to destruction.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 31] They will rejoice in his commandment, and will be made ready upon earth when needed. In their seasons, they won’t disobey his command.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 32] Therefore from the beginning I was convinced, and I thought it through and left it in writing:
[WEB | EN | OT | Sirach | Chapter 39 | Verse 33] All the works of the Lord are good. He will supply every need in its time.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 34] No one can say, “This is worse than that,” for they will all be well approved in their time.
[WEB | EN | OT | Sirach | Chapter 39 | Verse 35] Now with all your hearts and voices, sing praises and bless the Lord’s name!
