[WEB | EN | OT | Sirach | Chapter 1 | Verse 1] All wisdom comes from the Lord, and is with him forever.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 2] Who can count the sand of the seas, the drops of rain, and the days of eternity?
[WEB | EN | OT | Sirach | Chapter 1 | Verse 3] Who will search out the height of the sky, the breadth of the earth, the deep, and wisdom?
[WEB | EN | OT | Sirach | Chapter 1 | Verse 4] Wisdom has been created before all things, and the understanding of prudence from everlasting.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 6] To whom has the root of wisdom been revealed? Who has known her shrewd counsels?
[WEB | EN | OT | Sirach | Chapter 1 | Verse 8] There is one wise, greatly to be feared, sitting upon his throne: the Lord.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 9] He created her. He saw and measured her. He poured her out upon all his works.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 10] She is with all flesh according to his gift. He gave her freely to those who love him.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 11] The fear of the Lord is glory, exultation, gladness, and a crown of rejoicing.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 12] The fear of the Lord will delight the heart, and will give gladness, joy, and length of days.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 13] Whoever fears the Lord, it will go well with him at the last. He will be blessed in the day of his death.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 14] To fear the Lord is the beginning of wisdom. It was created together with the faithful in the womb.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 15] She laid an eternal foundation with men. She will be trusted among their offspring.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 16] To fear the Lord is the fullness of wisdom. She inebriates men with her fruits.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 17] She will fill all her house with desirable things, and her storehouses with her produce.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 18] The fear of the Lord is the crown of wisdom, making peace and perfect health to flourish.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 19] He both saw and measured her. He rained down skill and knowledge of understanding, and exalted the honor of those who hold her fast.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 20] To fear the Lord is the root of wisdom. Her branches are length of days.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 22] Unjust wrath can never be justified, for his wrath tips the scale to his downfall.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 23] A man that is patient will resist for a season, and afterward gladness will spring up to him.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 24] He will hide his words until the right moment, and the lips of many will tell of his understanding.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 25] A wise saying is in the treasures of wisdom; but godliness is an abomination to a sinner.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 26] If you desire wisdom, keep the commandments and the Lord will give her to you freely;
[WEB | EN | OT | Sirach | Chapter 1 | Verse 27] for the fear of the Lord is wisdom and instruction. Faith and humility are his good pleasure.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 28] Don’t disobey the fear of the Lord. Don’t come to him with a double heart.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 29] Don’t be a hypocrite in men’s sight. Keep watch over your lips.
[WEB | EN | OT | Sirach | Chapter 1 | Verse 30] Don’t exalt yourself, lest you fall and bring dishonor upon your soul. The Lord will reveal your secrets and will cast you down in the midst of the congregation, because you didn’t come to the fear of the Lord and your heart was full of deceit.
