[WEB | EN | OT | Sirach | Chapter 34 | Verse 1] Vain and false hopes are for a man void of understanding. Dreams give wings to fools.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 2] As one who grasps at a shadow and follows after the wind, so is he who sets his mind on dreams.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 3] The vision of dreams is a reflection, the likeness of a face near a face.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 4] From an unclean thing what can be cleansed? From that which is false what can be true?
[WEB | EN | OT | Sirach | Chapter 34 | Verse 5] Divinations, and soothsayings, and dreams, are vain. The heart has fantasies like a woman in labor.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 6] If they are not sent in a visitation from the Most High, don’t give your heart to them.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 7] For dreams have led many astray. They have failed by putting their hope in them.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 8] Without lying the law will be fulfilled. Wisdom is complete in a faithful mouth.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 9] A well-instructed man knows many things. He who has much experience will declare understanding.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 10] He who has no experience knows few things. But he who has traveled increases cleverness.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 11] I have seen many things in my travels. My understanding is more than my words.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 12] I was often in danger even to death. I was preserved because of these experiences.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 13] The spirit of those who fear the Lord will live, for their hope is in him who saves them.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 14] Whoever fears the Lord won’t be afraid, and won’t be a coward, for he is his hope.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 15] Blessed is the soul of him who fears the Lord. To whom does he give heed? Who is his support?
[WEB | EN | OT | Sirach | Chapter 34 | Verse 16] The eyes of the Lord are on those who love him, a mighty protection and strong support, a cover from the hot blast, a shade from the noonday sun, a guard from stumbling, and a help from falling.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 17] He raises up the soul, and enlightens the eyes. He gives health, life, and blessing.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 18] He who sacrifices a thing wrongfully gotten, his offering is made in mockery. The mockeries of wicked men are not acceptable.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 19] The Most High has no pleasure in the offerings of the ungodly, Neither is he pacified for sins by the multitude of sacrifices.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 20] Like one who kills a son before his father’s eyes is he who brings a sacrifice from the goods of the poor.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 21] The bread of the needy is the life of the poor. He who deprives him of it is a man of blood.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 22] Like one who murders his neighbor is he who takes away his living. Like a shedder of blood is he who deprives a hireling of his hire.
[WEB | EN | OT | Sirach | Chapter 34 | Verse 23] When one builds, and another pulls down, what profit do they have but toil?
[WEB | EN | OT | Sirach | Chapter 34 | Verse 24] When one prays, and another curses, whose voice will the Lord listen to?
[WEB | EN | OT | Sirach | Chapter 34 | Verse 25] He who washes himself after touching a dead body, and touches it again, what does he gain by his washing?
[WEB | EN | OT | Sirach | Chapter 34 | Verse 26] Even so a man fasting for his sins, and going again, and doing the same, who will listen to his prayer? What profit does he have in his humiliation?
