[WEB | EN | OT | Sirach | Chapter 2 | Verse 1] My son, if you come to serve the Lord, prepare your soul for temptation.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 2] Set your heart aright, constantly endure, and don’t make haste in time of calamity.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 3] Cling to him, and don’t depart, that you may be increased at your latter end.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 4] Accept whatever is brought upon you, and be patient when you suffer humiliation.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 5] For gold is tried in the fire, and acceptable men in the furnace of humiliation.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 6] Put your trust in him, and he will help you. Make your ways straight, and set your hope on him.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 7] All you who fear the Lord, wait for his mercy. Don’t turn aside, lest you fall.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 8] All you who fear the Lord, put your trust in him, and your reward will not fail.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 9] All you who fear the Lord, hope for good things, and for eternal gladness and mercy.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 10] Look at the generations of old, and see: Who ever put his trust in the Lord, and was ashamed? Or who remained in his fear, and was forsaken? Or who called upon him, and he neglected him?
[WEB | EN | OT | Sirach | Chapter 2 | Verse 11] For the Lord is full of compassion and mercy. He forgives sins and saves in time of affliction.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 12] Woe to fearful hearts, to faint hands, and to the sinner who goes two ways!
[WEB | EN | OT | Sirach | Chapter 2 | Verse 13] Woe to the faint heart! For it doesn’t believe. Therefore it won’t be defended.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 14] Woe to you who have lost your patience! And what will you all do when the Lord visits you?
[WEB | EN | OT | Sirach | Chapter 2 | Verse 15] Those who fear the Lord will not disobey his words. Those who love him will keep his ways.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 16] Those who fear the Lord will seek his good pleasure. Those who love him will be filled with the law.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 17] Those who fear the Lord will prepare their hearts, and will humble their souls in his sight.
[WEB | EN | OT | Sirach | Chapter 2 | Verse 18] We will fall into the hands of the Lord, and not into the hands of men; for as his majesty is, so also is his mercy.
