[WEB | EN | OT | Sirach | Chapter 3 | Verse 1] Hear me, your father, O my children, and do what you hear, that you all may be safe.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 2] For the Lord honors the father over the children, and has confirmed the judgment of the mother over her sons.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 3] He who honors his father will make atonement for sins.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 4] He who gives glory to his mother is as one who lays up treasure.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 5] Whoever honors his father will have joy in his own children. He will be heard in the day of his prayer.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 6] He who gives glory to his father will have length of days. He who listens to the Lord will bring rest to his mother,
[WEB | EN | OT | Sirach | Chapter 3 | Verse 7] and will serve under his parents, as to masters.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 8] Honor your father in deed and word, that a blessing may come upon you from him.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 9] For the blessing of the father establishes the houses of children, but the curse of the mother roots out the foundations.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 10] Don’t glorify yourself in the dishonor of your father, for your father’s dishonor is no glory to you.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 11] For the glory of a man is from the honor of his father, and a mother in dishonor is a reproach to her children.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 12] My son, help your father in his old age, and don’t grieve him as long as he lives.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 13] If he fails in understanding, have patience with him. Don’t dishonor him in your full strength.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 14] For the kindness to your father will not be forgotten. Instead of sins it will be added to build you up.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 15] In the day of your affliction it will be remembered for you, as fair weather upon ice, so your sins will also melt away.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 16] He who forsakes his father is as a blasphemer. He who provokes his mother is cursed by the Lord.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 17] My son, go on with your business in humility; so you will be loved by an acceptable man.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 18] The greater you are, humble yourself the more, and you will find favor before the Lord.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 20] For the power of the Lord is great, and he is glorified by those who are lowly.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 21] Don’t seek things that are too hard for you, and don’t search out things that are above your strength.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 22] Think about the things that have been commanded you, for you have no need of the things that are secret.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 23] Don’t be overly busy in tasks that are beyond you, for more things are shown to you than men can understand.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 24] For the conceit of many has led them astray. Evil opinion has caused their judgment to slip.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 25] There is no light without eyes. There is no wisdom without knowledge.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 26] A stubborn heart will do badly at the end. He who loves danger will perish in it.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 27] A stubborn heart will be burdened with troubles. The sinner will heap sin upon sins.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 28] The calamity of the proud has no healing, for a weed of wickedness has taken root in him.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 29] The heart of the prudent will understand a proverb. A wise man desires the ear of a listener.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 30] Water will quench a flaming fire; almsgiving will make atonement for sins.
[WEB | EN | OT | Sirach | Chapter 3 | Verse 31] He who repays good turns is mindful of that which comes afterward. In the time of his falling he will find a support.
