[WEB | EN | OT | Sirach | Chapter 27 | Verse 1] Many have sinned for profit. He who seeks to multiply wealth will turn his eye away.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 2] As a nail will stick fast between the joinings of stones, so sin will thrust itself in between buying and selling.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 3] Unless a person holds on diligently to the fear of the Lord, his house will be overthrown quickly.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 4] In the shaking of a sieve, the refuse remains, so does the filth of man in his thoughts.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 5] The furnace tests the potter’s vessels; so the test of a person is in his thoughts.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 6] The fruit of a tree discloses its cultivation, so is the utterance of the thought of a person’s heart.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 7] Praise no man before you hear his thoughts, for this is how people are tested.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 8] If you follow righteousness, you will obtain it, and put it on like a long robe of glory.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 9] Birds will return to their own kind, so truth will return to those who practice it.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 10] The lion lies in wait for prey. So does sin for those who do evil.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 11] The discourse of a godly man is always wise, but the fool changes like the moon.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 12] Limit your time among people void of understanding, but persevere among the thoughtful.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 13] The talk of fools is offensive. Their laughter is wantonly sinful.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 14] Their talk with much swearing makes hair stand upright. Their strife makes others plug their ears.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 15] The strife of the proud leads to bloodshed. Their abuse of each other is a grievous thing to hear.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 16] He who reveals secrets destroys trust, and will not find a close friend.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 17] Love a friend, and keep faith with him; but if you reveal his secrets, you shall not follow him;
[WEB | EN | OT | Sirach | Chapter 27 | Verse 18] for as a man has destroyed his enemy, so you have destroyed the friendship of your neighbor.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 19] As a bird which you have released out of your hand, so you have let your neighbor go, and you will not catch him again.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 20] Don’t pursue him, for he has gone far away, and has escaped like a gazelle out of the snare.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 21] For a wound may be bound up, and after abuse there may be reconciliation; but he who reveals secrets is without hope.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 22] One who winks the eye contrives evil things; and those who know him will keep their distance.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 23] When you are present, he will speak sweetly, and will admire your words; but afterward he will twist his speech and set a trap in your words.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 24] I have hated many things, but nothing like him. The Lord will hate him.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 25] One who casts a stone straight up casts it on his own head. A deceitful blow opens wounds.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 26] He who digs a pit will fall into it. He who sets a snare will be caught in it.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 27] He who does evil things, they will roll back upon him, and he will not know where they came from.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 28] Mockery and reproach are from the arrogant. Vengeance lies in wait for them like a lion.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 29] Those who rejoice at the fall of the godly will be caught in a snare. Anguish will consume them before they die.
[WEB | EN | OT | Sirach | Chapter 27 | Verse 30] Wrath and anger, these also are abominations. A sinner will possess them.
