[WEB | EN | OT | Sirach | Chapter 41 | Verse 1] O death, how bitter is the memory of you to a man who is at peace in his possessions, to the man who has nothing to distract him and has prosperity in all things, and who still has strength to enjoy food!
[WEB | EN | OT | Sirach | Chapter 41 | Verse 2] O death, your sentence is acceptable to a man who is needy and who fails in strength, who is in extreme old age, is distracted about all things, is perverse, and has lost patience!
[WEB | EN | OT | Sirach | Chapter 41 | Verse 3] Don’t be afraid of the sentence of death. Remember those who have been before you and who come after. This is the sentence from the Lord over all flesh.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 4] And why do you refuse when it is the good pleasure of the Most High? Whether life lasts ten, or a hundred, or a thousand years, there is no inquiry about life in Hades.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 5] The children of sinners are abominable children and they frequent the dwellings of the ungodly.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 6] The inheritance of sinners’ children will perish and with their posterity will be a perpetual disgrace.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 7] Children will complain of an ungodly father, because they suffer disgrace because of him.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 8] Woe to you, ungodly men, who have forsaken the law of the Most High God!
[WEB | EN | OT | Sirach | Chapter 41 | Verse 9] If you are born, you will be born to a curse. If you die, a curse will be your portion.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 10] All things that are of the earth will go back to the earth; so the ungodly will go from a curse to perdition.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 11] The mourning of men is about their bodies; but the evil name of sinners will be blotted out.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 12] Have regard for your name, for it continues with you longer than a thousand great treasures of gold.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 13] A good life has its number of days, but a good name continues forever.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 14] My children, follow instruction in peace. But wisdom that is hidden and a treasure that is not seen, what benefit is in them both?
[WEB | EN | OT | Sirach | Chapter 41 | Verse 15] Better is a man who hides his foolishness than a man who hides his wisdom.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 16] Therefore show respect for my words; for it is not good to retain every kind of shame. Not everything is approved by all in good faith.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 17] Be ashamed of sexual immorality before father and mother, of a lie before a prince and a mighty man,
[WEB | EN | OT | Sirach | Chapter 41 | Verse 18] of an offense before a judge and ruler, of iniquity before the congregation and the people, of unjust dealing before a partner and friend,
[WEB | EN | OT | Sirach | Chapter 41 | Verse 19] and of theft in the place where you sojourn. Be ashamed in regard of the truth of God and his covenant, of leaning on your elbow at dinner, of contemptuous behavior in the matter of giving and taking,
[WEB | EN | OT | Sirach | Chapter 41 | Verse 20] of silence before those who greet you, of looking at a woman who is a prostitute,
[WEB | EN | OT | Sirach | Chapter 41 | Verse 21] of turning away your face from a kinsman, of taking away a portion or a gift, of gazing at a woman who has a husband,
[WEB | EN | OT | Sirach | Chapter 41 | Verse 22] of meddling with his maid—and don’t come near her bed, of abusive speech to friends—and after you have given, don’t insult,
[WEB | EN | OT | Sirach | Chapter 41 | Verse 23] of repeating and speaking what you have heard, and of revealing of secrets.
[WEB | EN | OT | Sirach | Chapter 41 | Verse 24] So you will be ashamed of the right things and find favor in the sight of every man.
