[WEB | EN | OT | Sirach | Chapter 32 | Verse 1] Have they made you ruler of a feast? Don’t be lifted up. Be among them as one of them. Take care of them first, and then sit down.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 2] And when you have done all your duties, take your place, that you may be gladdened on their account, and receive a wreath for your good service.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 3] Speak, you who are older, for it’s your right, but with sound knowledge; and don’t interrupt the music.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 4] Don’t pour out talk where there is a performance of music. Don’t display your wisdom at the wrong time.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 5] As a ruby signet in a setting of gold, so is a music concert at a wine banquet.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 6] As an emerald signet in a work of gold, so is musical melody with pleasant wine.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 7] Speak, young man, if you are obliged to, but no more than twice, and only if asked.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 8] Sum up your speech, many things in few words. Be as one who knows and yet holds his tongue.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 9] When among great men, don’t behave as their equal. When another is speaking, don’t babble.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 10] Lightning speeds before thunder. Approval goes before one who is modest.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 11] Rise up in good time, and don’t be last. Go home quickly and don’t loiter
[WEB | EN | OT | Sirach | Chapter 32 | Verse 12] Amuse yourself there and do what is in your heart. Don’t sin by proud speech.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 13] For these things bless your Maker, who gives you to drink freely of his good things.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 14] He who fears the Lord will receive discipline. Those who seek him early will find favor.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 15] He who seeks the law shall be filled with it, but the hypocrite will stumble at it.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 16] Those who fear the Lord will find true judgment, and will kindle righteous acts like a light.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 17] A sinful man shuns reproof, and will find a judgment according to his will.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 18] A sensible person won’t neglect a thought. An insolent and proud man won’t crouch in fear, even after he has done a thing by himself without counsel.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 19] Do nothing without counsel, but when you have acted, don’t regret it.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 20] Don’t go in a way of conflict. Don’t stumble in stony places.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 21] Don’t be overconfident on a smooth road.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 22] Beware of your own children.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 23] In every work guard your own soul, for this is the keeping of the commandments.
[WEB | EN | OT | Sirach | Chapter 32 | Verse 24] He who believes the law gives heed to the commandment. He who trusts in the Lord will suffer no loss.
