[WEB | EN | OT | Sirach | Chapter 45 | Verse 1] He brought out of him a man of mercy, who found favor in the sight of all people, a man loved by God and men, even Moses, whose memory is blessed.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 2] He made him equal to the glory of the saints, and magnified him in the fears of his enemies.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 3] By his words he caused the wonders to cease. God glorified him in the sight of kings. He gave him commandments for his people and showed him part of his glory.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 4] He sanctified him in his faithfulness and meekness. He chose him out of all people.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 5] He made him to hear his voice, led him into the thick darkness, and gave him commandments face to face, even the law of life and knowledge, that he might teach Jacob the covenant, and Israel his judgments.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 6] He exalted Aaron, a holy man like Moses, even his brother, of the tribe of Levi.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 7] He established an everlasting covenant with him, and gave him the priesthood of the people. He blessed him with stateliness, and dressed him in a glorious robe.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 8] He clothed him in perfect splendor, and strengthened him with symbols of authority: the linen trousers, the long robe, and the ephod.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 9] He encircled him with pomegranates; with many golden bells around him, to make a sound as he went, to make a sound that might be heard in the temple, for a reminder for the children of his people;
[WEB | EN | OT | Sirach | Chapter 45 | Verse 10] with a holy garment, with gold, blue, and purple, the work of the embroiderer; with an oracle of judgment—Urim and Thummim;
[WEB | EN | OT | Sirach | Chapter 45 | Verse 11] with twisted scarlet, the work of the craftsman; with precious stones engraved like a signet, in a setting of gold, the work of the jeweller, for a reminder engraved in writing, after the number of the tribes of Israel;
[WEB | EN | OT | Sirach | Chapter 45 | Verse 12] with a crown of gold upon the mitre, having engraved on it, as on a signet, “HOLINESS”, an ornament of honor, the work of an expert, the desires of the eyes, goodly and beautiful.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 13] Before him there never have been anything like it. No stranger put them on, but only his sons and his offspring perpetually.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 14] His sacrifices shall be wholly burned, twice every day continually.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 15] Moses consecrated him, and anointed him with holy oil. It was an everlasting covenant with him and to his offspring, all the days of heaven, to minister to the Lord, to serve as a priest, and to bless his people in his name.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 16] He chose him out of all living to offer sacrifice to the Lord— incense, and a sweet fragrance, for a memorial, to make atonement for your people.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 17] He gave to him in his commandments, authority in the covenants of judgments, to teach Jacob the testimonies, and to enlighten Israel in his law.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 18] Strangers conspired against him and envied him in the wilderness: Dathan and Abiram with their company, and the congregation of Korah, with wrath and anger.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 19] The Lord saw it, and it displeased him. In the wrath of his anger, they were destroyed. He did wonders upon them, to consume them with flaming fire.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 20] He added glory to Aaron, and gave him a heritage. He divided to him the first fruits of the increase, and prepared bread of first fruits in abundance.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 21] For they eat the sacrifices of the Lord, which he gave to him and to his offspring.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 22] However, in the land of the people, he has no inheritance, and he has no portion among the people, for the Lord himself is your portion and inheritance.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 23] Phinehas the son of Eleazar is the third in glory, in that he was zealous in the fear of the Lord, and stood fast when the people turned away, and he made atonement for Israel.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 24] Therefore, a covenant of peace was established for him, that he should be leader of the sanctuary and of his people, that he and his offspring should have the dignity of the priesthood forever.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 25] Also he made a covenant with David the son of Jesse, of the tribe of Judah. The inheritance of the king is his alone from son to son. So the inheritance of Aaron is also to his seed.
[WEB | EN | OT | Sirach | Chapter 45 | Verse 26] May God give you wisdom in your heart to judge his people in righteousness, that their good things may not be abolished, and that their glory may endure for all their generations.
