[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 1] For we know that if our earthly house of this tabernacle were dissolved, we have a building of God, a house not made with hand, eternal in the heavens.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 2] For in this we groan, earnestly desiring to be clothed upon with our house which is from heaven:
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 3] if so be that being clothed we shall not be found naked.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 4] For we that are in this tabernacle do groan, being burdened: not for that we would be unclothed, but clothed upon, that mortality might be swallowed up of life.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 5] Now he that hath wrought us for the selfsame thing is God, who also hath given unto us the earnest of the Spirit.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 6] Therefore we are always confident, knowing that, whilst we are at home in the body, we are absent from the Lord:
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 7] (for we walk by faith, not by sight:)
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 8] we are confident, I say, and willing rather to be absent from the body, and to be present with the Lord.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 9] Wherefore we labour, that, whether present or absent, we may be accepted of him.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 10] For we must all appear before the judgment seat of Christ; that every one may receive the things done in his body, according to that he hath done, whether it be good or bad.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 11] Knowing therefore the terror of the Lord, we persuade men; but we are made manifest unto God; and I trust also are made manifest in your consciences.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 12] For we commend not ourselves again unto you, but give you occasion to glory on our behalf, that you may have somewhat to answer them which glory in appearance, and not in heart.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 13] For whether we be besides ourselves, it is to God: or whether we be sober, it is for your cause.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 14] For the love of Christ constraineth us; because we thus judge, that if one died for all, then were all dead:
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 15] and that he died for all, that they which live should not henceforth live unto themselves, but unto him which died for them, and rose again.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 16] Wherefore henceforth know we no man after the flesh: yea, though we have known Christ after the flesh, yet now henceforth know we him no more.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 17] Therefore if any man be in Christ, he is a new creature: old things are past away; behold, all things are become new.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 18] And all things are of God, who hath reconciled us to himself by Jesus Christ, and hath given to us the ministry of reconciliation;
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 19] to wit, that God was in Christ reconciling the world unto himself, not imputing their trespasses unto them; and hath committed unto us the word of reconciliation.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 20] Now then we are ambassadors for Christ, as though God did beseech you by us: we pray you in Christ’s stead, be ye reconciled to God.
[KJV | EN | NT | 2 Corinthians | Chapter 5 | Verse 21] For he hath made him to be sin for us, who knew no sin; that we might be made the righteousness of God in him.
