[ASV | EN | OT | Psalms | Chapter 79 | Verse 1] O God, the nations are come into thine inheritance; Thy holy temple have they defiled; They have laid Jerusalem in heaps.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 2] The dead bodies of thy servants have they given to be food unto the birds of the heavens, The flesh of thy saints unto the beasts of the earth.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 3] Their blood have they shed like water round about Jerusalem; And there was none to bury them.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 4] We are become a reproach to our neighbors, A scoffing and derision to them that are round about us.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 5] How long, O Jehovah? wilt thou be angry forever? Shall thy jealousy burn like fire?
[ASV | EN | OT | Psalms | Chapter 79 | Verse 6] Pour out thy wrath upon the nations that know thee not, And upon the kingdoms that call not upon thy name.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 7] For they have devoured Jacob, And laid waste his habitation.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 8] Remember not against us the iniquities of our forefathers: Let thy tender mercies speedily meet us; For we are brought very low.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 9] Help us, O God of our salvation, for the glory of thy name; And deliver us, and forgive our sins, for thy name’s sake.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 10] Wherefore should the nations say, Where is their God? Let the avenging of the blood of thy servants which is shed Be known among the nations in our sight.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 11] Let the sighing of the prisoner come before thee: According to the greatness of thy power preserve thou those that are appointed to death;
[ASV | EN | OT | Psalms | Chapter 79 | Verse 12] And render unto our neighbors sevenfold into their bosom Their reproach, wherewith they have reproached thee, O Lord.
[ASV | EN | OT | Psalms | Chapter 79 | Verse 13] So we thy people and sheep of thy pasture Will give thee thanks forever: We will show forth thy praise to all generations.
