[ASV | EN | OT | Psalms | Chapter 51 | Verse 1] Have mercy upon me, O God, according to thy lovingkindness: According to the multitude of thy tender mercies blot out my transgressions.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 2] Wash me thoroughly from mine iniquity, And cleanse me from my sin.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 3] For I know my transgressions; And my sin is ever before me.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 4] Against thee, thee only, have I sinned, And done that which is evil in thy sight; That thou mayest be justified when thou speakest, And be clear when thou judgest.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 5] Behold, I was brought forth in iniquity; And in sin did my mother conceive me.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 6] Behold, thou desirest truth in the inward parts; And in the hidden part thou wilt make me to know wisdom.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 7] Purify me with hyssop, and I shall be clean: Wash me, and I shall be whiter than snow.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 8] Make me to hear joy and gladness, That the bones which thou hast broken may rejoice.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 9] Hide thy face from my sins, And blot out all mine iniquities.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 10] Create in me a clean heart, O God; And renew a right spirit within me.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 11] Cast me not away from thy presence; And take not thy holy Spirit from me.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 12] Restore unto me the joy of thy salvation; And uphold me with a willing spirit.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 13] Then will I teach transgressors thy ways; And sinners shall be converted unto thee.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 14] Deliver me from bloodguiltiness, O God, thou God of my salvation; And my tongue shall sing aloud of thy righteousness.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 15] O Lord, open thou my lips; And my mouth shall show forth thy praise.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 16] For thou delightest not in sacrifice; else would I give it: Thou hast no pleasure in burnt offering.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 17] The sacrifices of God are a broken spirit: A broken and a contrite heart, O God, thou wilt not despise.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 18] Do good in thy good pleasure unto Zion: Build thou the walls of Jerusalem.
[ASV | EN | OT | Psalms | Chapter 51 | Verse 19] Then wilt thou delight in the sacrifices of righteousness, In burnt offering and whole burnt offering: Then will they offer bullocks upon thine altar.
