[ASV | EN | OT | Psalms | Chapter 90 | Verse 1] Lord, thou hast been our dwelling place In all generations.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 2] Before the mountains were brought forth, Or ever thou hadst formed the earth and the world, Even from everlasting to everlasting, thou art God.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 3] Thou turnest man to destruction, And sayest, Return, ye children of men.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 4] For a thousand years in thy sight Are but as yesterday when it is past, And as a watch in the night.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 5] Thou carriest them away as with a flood; they are as a sleep: In the morning they are like grass which groweth up.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 6] In the morning it flourisheth, and groweth up; In the evening it is cut down, and withereth.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 7] For we are consumed in thine anger, And in thy wrath are we troubled.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 8] Thou hast set our iniquities before thee, Our secret sins in the light of thy countenance.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 9] For all our days are passed away in thy wrath: We bring our years to an end as a sigh.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 10] The days of our years are threescore years and ten, Or even by reason of strength fourscore years; Yet is their pride but labor and sorrow; For it is soon gone, and we fly away.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 11] Who knoweth the power of thine anger, And thy wrath according to the fear that is due unto thee?
[ASV | EN | OT | Psalms | Chapter 90 | Verse 12] So teach us to number our days, That we may get us a heart of wisdom.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 13] Return, O Jehovah; how long? And let it repent thee concerning thy servants.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 14] Oh satisfy us in the morning with thy lovingkindness, That we may rejoice and be glad all our days.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 15] Make us glad according to the days wherein thou hast afflicted us, And the years wherein we have seen evil.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 16] Let thy work appear unto thy servants, And thy glory upon their children.
[ASV | EN | OT | Psalms | Chapter 90 | Verse 17] And let the favor of the Lord our God be upon us; And establish thou the work of our hands upon us; Yea, the work of our hands establish thou it.
