[ASV | EN | OT | Psalms | Chapter 58 | Verse 1] Do ye indeed in silence speak righteousness? Do ye judge uprightly, O ye sons of men?
[ASV | EN | OT | Psalms | Chapter 58 | Verse 2] Nay, in heart ye work wickedness; Ye weigh out the violence of your hands in the earth.
[ASV | EN | OT | Psalms | Chapter 58 | Verse 3] The wicked are estranged from the womb: They go astray as soon as they are born, speaking lies.
[ASV | EN | OT | Psalms | Chapter 58 | Verse 4] Their poison is like the poison of a serpent: They are like the deaf adder that stoppeth her ear,
[ASV | EN | OT | Psalms | Chapter 58 | Verse 5] Which hearkeneth not to the voice of charmers, Charming never so wisely.
[ASV | EN | OT | Psalms | Chapter 58 | Verse 6] Break their teeth, O God, in their mouth: Break out the great teeth of the young lions, O Jehovah.
[ASV | EN | OT | Psalms | Chapter 58 | Verse 7] Let them melt away as water that runneth apace: When he aimeth his arrows, let them be as though they were cut off.
[ASV | EN | OT | Psalms | Chapter 58 | Verse 8] Let them be as a snail which melteth and passeth away, Like the untimely birth of a woman, that hath not seen the sun.
[ASV | EN | OT | Psalms | Chapter 58 | Verse 9] Before your pots can feel the thorns, He will take them away with a whirlwind, the green and the burning alike.
[ASV | EN | OT | Psalms | Chapter 58 | Verse 10] The righteous shall rejoice when he seeth the vengeance: He shall wash his feet in the blood of the wicked;
[ASV | EN | OT | Psalms | Chapter 58 | Verse 11] So that men shall say, Verily there is a reward for the righteous: Verily there is a God that judgeth in the earth.
