[ASV | EN | OT | Psalms | Chapter 5 | Verse 1] Give ear to my words, O Jehovah, Consider my meditation.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 2] Hearken unto the voice of my cry, my King, and my God; For unto thee do I pray.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 3] O Jehovah, in the morning shalt thou hear my voice; In the morning will I order my prayer unto thee, and will keep watch.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 4] For thou art not a God that hath pleasure in wickedness: Evil shall not sojourn with thee.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 5] The arrogant shall not stand in thy sight: Thou hatest all workers of iniquity.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 6] Thou wilt destroy them that speak lies: Jehovah abhorreth the bloodthirsty and deceitful man.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 7] But as for me, in the abundance of thy lovingkindness will I come into thy house: In thy fear will I worship toward thy holy temple.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 8] Lead me, O Jehovah, in thy righteousness because of mine enemies; Make thy way straight before my face.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 9] For there is no faithfulness in their mouth; Their inward part is very wickedness; Their throat is an open sepulcher; They flatter with their tongue.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 10] Hold them guilty, O God; Let them fall by their own counsels; Thrust them out in the multitude of their transgressions; For they have rebelled against thee.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 11] But let all those that take refuge in thee rejoice, Let them ever shout for joy, because thou defendest them: Let them also that love thy name be joyful in thee.
[ASV | EN | OT | Psalms | Chapter 5 | Verse 12] For thou wilt bless the righteous; O Jehovah, thou wilt compass him with favor as with a shield.
