[ASV | EN | OT | Psalms | Chapter 29 | Verse 1] Ascribe unto Jehovah, O ye sons of the mighty, Ascribe unto Jehovah glory and strength.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 2] Ascribe unto Jehovah the glory due unto his name; Worship Jehovah in holy array.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 3] The voice of Jehovah is upon the waters: The God of glory thundereth, Even Jehovah upon many waters.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 4] The voice of Jehovah is powerful; The voice of Jehovah is full of majesty.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 5] The voice of Jehovah breaketh the cedars; Yea, Jehovah breaketh in pieces the cedars of Lebanon.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 6] He maketh them also to skip like a calf; Lebanon and Sirion like a young wild ox.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 7] The voice of Jehovah cleaveth the flames of fire.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 8] The voice of Jehovah shaketh the wilderness; Jehovah shaketh the wilderness of Kadesh.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 9] The voice of Jehovah maketh the hinds to calve, And strippeth the forests bare: And in his temple everything saith, Glory.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 10] Jehovah sat as King at the Flood; Yea, Jehovah sitteth as King forever.
[ASV | EN | OT | Psalms | Chapter 29 | Verse 11] Jehovah will give strength unto his people; Jehovah will bless his people with peace.
