[ASV | EN | OT | Psalms | Chapter 63 | Verse 1] O God, thou art my God; earnestly will I seek thee: My soul thirsteth for thee, my flesh longeth for thee, In a dry and weary land, where no water is.
[ASV | EN | OT | Psalms | Chapter 63 | Verse 2] So have I looked upon thee in the sanctuary, To see thy power and thy glory.
[ASV | EN | OT | Psalms | Chapter 63 | Verse 3] Because thy lovingkindness is better than life, My lips shall praise thee.
[ASV | EN | OT | Psalms | Chapter 63 | Verse 4] So will I bless thee while I live: I will lift up my hands in thy name.
[ASV | EN | OT | Psalms | Chapter 63 | Verse 5] My soul shall be satisfied as with marrow and fatness; And my mouth shall praise thee with joyful lips;
[ASV | EN | OT | Psalms | Chapter 63 | Verse 6] When I remember thee upon my bed, And meditate on thee in the night watches.
[ASV | EN | OT | Psalms | Chapter 63 | Verse 7] For thou hast been my help, And in the shadow of thy wings will I rejoice.
[ASV | EN | OT | Psalms | Chapter 63 | Verse 8] My soul followeth hard after thee: Thy right hand upholdeth me.
[ASV | EN | OT | Psalms | Chapter 63 | Verse 9] But those that seek my soul, to destroy it, Shall go into the lower parts of the earth.
[ASV | EN | OT | Psalms | Chapter 63 | Verse 10] They shall be given over to the power of the sword: They shall be a portion for foxes.
[ASV | EN | OT | Psalms | Chapter 63 | Verse 11] But the king shall rejoice in God: Everyone that sweareth by him shall glory; For the mouth of them that speak lies shall be stopped.
