[ASV | EN | OT | Psalms | Chapter 31 | Verse 1] In thee, O Jehovah, do I take refuge; Let me never be put to shame: Deliver me in thy righteousness.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 2] Bow down thine ear unto me; deliver me speedily: Be thou to me a strong rock, A house of defense to save me.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 3] For thou art my rock and my fortress; Therefore for thy name’s sake lead me and guide me.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 4] Pluck me out of the net that they have laid privily for me; For thou art my stronghold.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 5] Into thy hand I commend my spirit: Thou hast redeemed me, O Jehovah, thou God of truth.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 6] I hate them that regard lying vanities; But I trust in Jehovah.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 7] I will be glad and rejoice in thy lovingkindness; For thou hast seen my affliction: Thou hast known my soul in adversities;
[ASV | EN | OT | Psalms | Chapter 31 | Verse 8] And thou hast not shut me up into the hand of the enemy; Thou hast set my feet in a large place.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 9] Have mercy upon me, O Jehovah, for I am in distress: Mine eye wasteth away with grief, yea, my soul and my body.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 10] For my life is spent with sorrow, And my years with sighing: My strength faileth because of mine iniquity, And my bones are wasted away.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 11] Because of all mine adversaries I am become a reproach, Yea, unto my neighbors exceedingly, And a fear to mine acquaintance: They that did see me without fled from me.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 12] I am forgotten as a dead man out of mind: I am like a broken vessel.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 13] For I have heard the defaming of many, Terror on every side: While they took counsel together against me, They devised to take away my life.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 14] But I trusted in thee, O Jehovah: I said, Thou art my God.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 15] My times are in thy hand: Deliver me from the hand of mine enemies, and from them that persecute me.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 16] Make thy face to shine upon thy servant: Save me in thy lovingkindness.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 17] Let me not be put to shame, O Jehovah; for I have called upon thee: Let the wicked be put to shame, let them be silent in Sheol.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 18] Let the lying lips be dumb, Which speak against the righteous insolently, With pride and contempt.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 19] Oh how great is thy goodness, Which thou hast laid up for them that fear thee, Which thou hast wrought for them that take refuge in thee, Before the sons of men!
[ASV | EN | OT | Psalms | Chapter 31 | Verse 20] In the covert of thy presence wilt thou hide them from the plottings of man: Thou wilt keep them secretly in a pavilion from the strife of tongues.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 21] Blessed be Jehovah; For he hath shown me his marvelous lovingkindness in a strong city.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 22] As for me, I said in my haste, I am cut off from before thine eyes: Nevertheless thou heardest the voice of my supplications, When I cried unto thee.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 23] Oh love Jehovah, all ye his saints: Jehovah preserveth the faithful, And plentifully rewardeth him that dealeth proudly.
[ASV | EN | OT | Psalms | Chapter 31 | Verse 24] Be strong, and let your heart take courage, All ye that hope in Jehovah.
