[ASV | EN | OT | Psalms | Chapter 71 | Verse 1] In thee, O Jehovah, do I take refuge: Let me never be put to shame.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 2] Deliver me in thy righteousness, and rescue me: Bow down thine ear unto me, and save me.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 3] Be thou to me a rock of habitation, whereunto I may continually resort: Thou hast given commandment to save me; For thou art my rock and my fortress.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 4] Rescue me, O my God, out of the hand of the wicked, Out of the hand of the unrighteous and cruel man.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 5] For thou art my hope, O Lord Jehovah: Thou art my trust from my youth.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 6] By thee have I been holden up from the womb; Thou art he that took me out of my mother’s bowels: My praise shall be continually of thee.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 7] I am as a wonder unto many; But thou art my strong refuge.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 8] My mouth shall be filled with thy praise, And with thy honor all the day.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 9] Cast me not off in the time of old age; Forsake me not when my strength faileth.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 10] For mine enemies speak concerning me; And they that watch for my soul take counsel together,
[ASV | EN | OT | Psalms | Chapter 71 | Verse 11] Saying, God hath forsaken him: Pursue and take him; for there is none to deliver.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 12] O God, be not far from me; O my God, make haste to help me.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 13] Let them be put to shame and consumed that are adversaries to my soul; Let them be covered with reproach and dishonor that seek my hurt.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 14] But I will hope continually, And will praise thee yet more and more.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 15] My mouth shall tell of thy righteousness, And of thy salvation all the day; For I know not the numbers thereof.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 16] I will come with the mighty acts of the Lord Jehovah: I will make mention of thy righteousness, even of thine only.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 17] O God, thou hast taught me from my youth; And hitherto have I declared thy wondrous works.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 18] Yea, even when I am old and gray-headed, O God, forsake me not, Until I have declared thy strength unto the next generation, Thy might to everyone that is to come.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 19] Thy righteousness also, O God, is very high; Thou who hast done great things, O God, who is like unto thee?
[ASV | EN | OT | Psalms | Chapter 71 | Verse 20] Thou, who hast shown us many and sore troubles, Wilt quicken us again, And wilt bring us up again from the depths of the earth.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 21] Increase thou my greatness, And turn again and comfort me.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 22] I will also praise thee with the psaltery, Even thy truth, O my God: Unto thee will I sing praises with the harp, O thou Holy One of Israel.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 23] My lips shall shout for joy when I sing praises unto thee; And my soul, which thou hast redeemed.
[ASV | EN | OT | Psalms | Chapter 71 | Verse 24] My tongue also shall talk of thy righteousness all the day long; For they are put to shame, for they are confounded, that seek my hurt.
