[ASV | EN | OT | Psalms | Chapter 107 | Verse 1] O give thanks unto Jehovah; for he is good; For his lovingkindness endureth forever.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 2] Let the redeemed of Jehovah say so, Whom he hath redeemed from the hand of the adversary,
[ASV | EN | OT | Psalms | Chapter 107 | Verse 3] And gathered out of the lands, From the east and from the west, From the north and from the south.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 4] They wandered in the wilderness in a desert way; They found no city of habitation.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 5] Hungry and thirsty, Their soul fainted in them.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 6] Then they cried unto Jehovah in their trouble, And he delivered them out of their distresses,
[ASV | EN | OT | Psalms | Chapter 107 | Verse 7] He led them also by a straight way, That they might go to a city of habitation.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 8] Oh that men would praise Jehovah for his lovingkindness, And for his wonderful works to the children of men!
[ASV | EN | OT | Psalms | Chapter 107 | Verse 9] For he satisfieth the longing soul, And the hungry soul he filleth with good.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 10] Such as sat in darkness and in the shadow of death, Being bound in affliction and iron,
[ASV | EN | OT | Psalms | Chapter 107 | Verse 11] Because they rebelled against the words of God, And contemned the counsel of the Most High:
[ASV | EN | OT | Psalms | Chapter 107 | Verse 12] Therefore he brought down their heart with labor; They fell down, and there was none to help.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 13] Then they cried unto Jehovah in their trouble, And he saved them out of their distresses.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 14] He brought them out of darkness and the shadow of death, And brake their bonds in sunder.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 15] Oh that men would praise Jehovah for his lovingkindness, And for his wonderful works to the children of men!
[ASV | EN | OT | Psalms | Chapter 107 | Verse 16] For he hath broken the gates of brass, And cut the bars of iron in sunder.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 17] Fools because of their transgression, And because of their iniquities, are afflicted.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 18] Their soul abhorreth all manner of food; And they draw near unto the gates of death.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 19] Then they cry unto Jehovah in their trouble, And he saveth them out of their distresses.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 20] He sendeth his word, and healeth them, And delivereth them from their destructions.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 21] Oh that men would praise Jehovah for his lovingkindness, And for his wonderful works to the children of men!
[ASV | EN | OT | Psalms | Chapter 107 | Verse 22] And let them offer the sacrifices of thanksgiving, And declare his works with singing.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 23] They that go down to the sea in ships, That do business in great waters;
[ASV | EN | OT | Psalms | Chapter 107 | Verse 24] These see the works of Jehovah, And his wonders in the deep.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 25] For he commandeth, and raiseth the stormy wind, Which lifteth up the waves thereof.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 26] They mount up to the heavens, they go down again to the depths: Their soul melteth away because of trouble.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 27] They reel to and fro, and stagger like a drunken man, And are at their wits’ end.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 28] Then they cry unto Jehovah in their trouble, And he bringeth them out of their distresses.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 29] He maketh the storm a calm, So that the waves thereof are still.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 30] Then are they glad because they are quiet; So he bringeth them unto their desired haven.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 31] Oh that men would praise Jehovah for his lovingkindness, And for his wonderful works to the children of men!
[ASV | EN | OT | Psalms | Chapter 107 | Verse 32] Let them exalt him also in the assembly of the people, And praise him in the seat of the elders.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 33] He turneth rivers into a wilderness, And watersprings into a thirsty ground;
[ASV | EN | OT | Psalms | Chapter 107 | Verse 34] A fruitful land into a salt desert, For the wickedness of them that dwell therein.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 35] He turneth a wilderness into a pool of water, And a dry land into watersprings.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 36] And there he maketh the hungry to dwell, That they may prepare a city of habitation,
[ASV | EN | OT | Psalms | Chapter 107 | Verse 37] And sow fields, and plant vineyards, And get them fruits of increase.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 38] He blesseth them also, so that they are multiplied greatly; And he suffereth not their cattle to decrease.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 39] Again, they are diminished and bowed down Through oppression, trouble, and sorrow.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 40] He poureth contempt upon princes, And causeth them to wander in the waste, where there is no way.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 41] Yet setteth he the needy on high from affliction, And maketh him families like a flock.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 42] The upright shall see it, and be glad; And all iniquity shall stop her mouth.
[ASV | EN | OT | Psalms | Chapter 107 | Verse 43] Whoso is wise will give heed to these things; And they will consider the lovingkindnesses of Jehovah.
