[ASV | EN | OT | Psalms | Chapter 21 | Verse 1] The king shall joy in thy strength, O Jehovah; And in thy salvation how greatly shall he rejoice!
[ASV | EN | OT | Psalms | Chapter 21 | Verse 2] Thou hast given him his heart’s desire, And hast not withholden the request of his lips. Selah
[ASV | EN | OT | Psalms | Chapter 21 | Verse 3] For thou meetest him with the blessings of goodness: Thou settest a crown of fine gold on his head.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 4] He asked life of thee, thou gavest it him, Even length of days forever and ever.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 5] His glory is great in thy salvation: Honor and majesty dost thou lay upon him.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 6] For thou makest him most blessed forever: Thou makest him glad with joy in thy presence.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 7] For the king trusteth in Jehovah; And through the lovingkindness of the Most High he shall not be moved.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 8] Thy hand will find out all thine enemies; Thy right hand will find out those that hate thee.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 9] Thou wilt make them as a fiery furnace in the time of thine anger: Jehovah will swallow them up in his wrath, And the fire shall devour them.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 10] Their fruit wilt thou destroy from the earth, And their seed from among the children of men.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 11] For they intended evil against thee; They conceived a device which they are not able to perform.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 12] For thou wilt make them turn their back; Thou wilt make ready with thy bowstrings against their face.
[ASV | EN | OT | Psalms | Chapter 21 | Verse 13] Be thou exalted, O Jehovah, in thy strength: So will we sing and praise thy power.
