[ASV | EN | OT | Psalms | Chapter 76 | Verse 1] In Judah is God known: His name is great in Israel.
[ASV | EN | OT | Psalms | Chapter 76 | Verse 2] In Salem also is his tabernacle, And his dwelling place in Zion.
[ASV | EN | OT | Psalms | Chapter 76 | Verse 3] There he brake the arrows of the bow; The shield, and the sword, and the battle. Selah
[ASV | EN | OT | Psalms | Chapter 76 | Verse 4] Glorious art thou and excellent, From the mountains of prey.
[ASV | EN | OT | Psalms | Chapter 76 | Verse 5] The stouthearted are made a spoil, They have slept their sleep; And none of the men of might have found their hands.
[ASV | EN | OT | Psalms | Chapter 76 | Verse 6] At thy rebuke, O God of Jacob, Both chariot and horse are cast into a dead sleep.
[ASV | EN | OT | Psalms | Chapter 76 | Verse 7] Thou, even thou, art to be feared; And who may stand in thy sight when once thou art angry?
[ASV | EN | OT | Psalms | Chapter 76 | Verse 8] Thou didst cause sentence to be heard from heaven; The earth feared, and was still,
[ASV | EN | OT | Psalms | Chapter 76 | Verse 9] When God arose to judgment, To save all the meek of the earth. Selah
[ASV | EN | OT | Psalms | Chapter 76 | Verse 10] Surely the wrath of man shall praise thee: The residue of wrath shalt thou gird upon thee.
[ASV | EN | OT | Psalms | Chapter 76 | Verse 11] Vow, and pay unto Jehovah your God: Let all that are round about him bring presents unto him that ought to be feared.
[ASV | EN | OT | Psalms | Chapter 76 | Verse 12] He will cut off the spirit of princes: He is terrible to the kings of the earth.
