[ASV | EN | OT | Psalms | Chapter 77 | Verse 1] I will cry unto God with my voice, Even unto God with my voice; and he will give ear unto me.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 2] In the day of my trouble I sought the Lord: My hand was stretched out in the night, and slacked not; My soul refused to be comforted.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 3] I remember God, and am disquieted: I complain, and my spirit is overwhelmed. Selah
[ASV | EN | OT | Psalms | Chapter 77 | Verse 4] Thou holdest mine eyes watching: I am so troubled that I cannot speak.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 5] I have considered the days of old, The years of ancient times.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 6] I call to remembrance my song in the night: I commune with mine own heart; And my spirit maketh diligent search.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 7] Will the Lord cast off forever? And will he be favorable no more?
[ASV | EN | OT | Psalms | Chapter 77 | Verse 8] Is his lovingkindness clean gone forever? Doth his promise fail forevermore?
[ASV | EN | OT | Psalms | Chapter 77 | Verse 9] Hath God forgotten to be gracious? Hath he in anger shut up his tender mercies? Selah
[ASV | EN | OT | Psalms | Chapter 77 | Verse 10] And I said, This is my infirmity; But I will remember the years of the right hand of the Most High.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 11] I will make mention of the deeds of Jehovah; For I will remember thy wonders of old.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 12] I will meditate also upon all thy work, And muse on thy doings.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 13] Thy way, O God, is in the sanctuary: Who is a great god like unto God?
[ASV | EN | OT | Psalms | Chapter 77 | Verse 14] Thou art the God that doest wonders: Thou hast made known thy strength among the peoples.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 15] Thou hast with thine arm redeemed thy people, The sons of Jacob and Joseph. Selah
[ASV | EN | OT | Psalms | Chapter 77 | Verse 16] The waters saw thee, O God; The waters saw thee, they were afraid: The depths also trembled.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 17] The clouds poured out water; The skies sent out a sound: Thine arrows also went abroad.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 18] The voice of thy thunder was in the whirlwind; The lightnings lightened the world: The earth trembled and shook.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 19] Thy way was in the sea, And thy paths in the great waters, And thy footsteps were not known.
[ASV | EN | OT | Psalms | Chapter 77 | Verse 20] Thou leddest thy people like a flock, By the hand of Moses and Aaron.
