[ASV | EN | OT | Psalms | Chapter 109 | Verse 1] Hold not thy peace, O God of my praise;
[ASV | EN | OT | Psalms | Chapter 109 | Verse 2] For the mouth of the wicked and the mouth of deceit have they opened against me: They have spoken unto me with a lying tongue.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 3] They have compassed me about also with words of hatred, And fought against me without a cause.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 4] For my love they are my adversaries: But I give myself unto prayer.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 5] And they have rewarded me evil for good, And hatred for my love.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 6] Set thou a wicked man over him; And let an adversary stand at his right hand.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 7] When he is judged, let him come forth guilty; And let his prayer be turned into sin.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 8] Let his days be few; And let another take his office.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 9] Let his children be fatherless, And his wife a widow.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 10] Let his children be vagabonds, and beg; And let them seek their bread out of their desolate places.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 11] Let the extortioner catch all that he hath; And let strangers make spoil of his labor.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 12] Let there be none to extend kindness unto him; Neither let there be any to have pity on his fatherless children.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 13] Let his posterity be cut off; In the generation following let their name be blotted out.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 14] Let the iniquity of his fathers be remembered with Jehovah; And let not the sin of his mother be blotted out.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 15] Let them be before Jehovah continually, That he may cut off the memory of them from the earth;
[ASV | EN | OT | Psalms | Chapter 109 | Verse 16] Because he remembered not to show kindness, But persecuted the poor and needy man, And the broken in heart, to slay them.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 17] Yea, he loved cursing, and it came unto him; And he delighted not in blessing, and it was far from him.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 18] He clothed himself also with cursing as with his garment, And it came into his inward parts like water, And like oil into his bones.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 19] Let it be unto him as the raiment wherewith he covereth himself, And for the girdle wherewith he is girded continually.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 20] This is the reward of mine adversaries from Jehovah, And of them that speak evil against my soul.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 21] But deal thou with me, O Jehovah the Lord, for thy name’s sake: Because thy lovingkindness is good, deliver thou me;
[ASV | EN | OT | Psalms | Chapter 109 | Verse 22] For I am poor and needy, And my heart is wounded within me.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 23] I am gone like the shadow when it declineth: I am tossed up and down as the locust.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 24] My knees are weak through fasting; And my flesh faileth of fatness.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 25] I am become also a reproach unto them: When they see me, they shake their head.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 26] Help me, O Jehovah my God; Oh save me according to thy lovingkindness:
[ASV | EN | OT | Psalms | Chapter 109 | Verse 27] That they may know that this is thy hand; That thou, Jehovah, hast done it.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 28] Let them curse, but bless thou: When they arise, they shall be put to shame, But thy servant shall rejoice.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 29] Let mine adversaries be clothed with dishonor, And let them cover themselves with their own shame as with a robe.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 30] I will give great thanks unto Jehovah with my mouth; Yea, I will praise him among the multitude.
[ASV | EN | OT | Psalms | Chapter 109 | Verse 31] For he will stand at the right hand of the needy, To save him from them that judge his soul.
