[ASV | EN | OT | Psalms | Chapter 68 | Verse 1] Let God arise, let his enemies be scattered; Let them also that hate him flee before him.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 2] As smoke is driven away, so drive them away: As wax melteth before the fire, So let the wicked perish at the presence of God.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 3] But let the righteous be glad; let them exult before God: Yea, let them rejoice with gladness.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 4] Sing unto God, sing praises to his name: Cast up a highway for him that rideth through the deserts; His name is Jehovah; and exult ye before him.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 5] A father of the fatherless, and a judge of the widows, Is God in his holy habitation.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 6] God setteth the solitary in families: He bringeth out the prisoners into prosperity; But the rebellious dwell in a parched land.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 7] O God, when thou wentest forth before thy people, When thou didst march through the wilderness; Selah
[ASV | EN | OT | Psalms | Chapter 68 | Verse 8] The earth trembled, The heavens also dropped rain at the presence of God: Yon Sinai trembled at the presence of God, the God of Israel.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 9] Thou, O God, didst send a plentiful rain, Thou didst confirm thine inheritance, when it was weary.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 10] Thy congregation dwelt therein: Thou, O God, didst prepare of thy goodness for the poor.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 11] The Lord giveth the word: The women that publish the tidings are a great host.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 12] Kings of armies flee, they flee; And she that tarrieth at home divideth the spoil.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 13] When ye lie among the sheepfolds, It is as the wings of a dove covered with silver, And her pinions with yellow gold.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 14] When the Almighty scattered kings therein, It was as when it snoweth in Zalmon.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 15] A mountain of God is the mountain of Bashan; A high mountain is the mountain of Bashan.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 16] Why look ye askance, ye high mountains, At the mountain which God hath desired for his abode? Yea, Jehovah will dwell in it forever.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 17] The chariots of God are twenty thousand, even thousands upon thousands: The Lord is among them, as in Sinai, in the sanctuary.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 18] Thou hast ascended on high, thou hast led away captives; Thou hast received gifts among men, Yea, among the rebellious also, that Jehovah God might dwell with them.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 19] Blessed be the Lord, who daily beareth our burden, Even the God who is our salvation. Selah
[ASV | EN | OT | Psalms | Chapter 68 | Verse 20] God is unto us a God of deliverances; And unto Jehovah the Lord belongeth escape from death.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 21] But God will smite through the head of his enemies, The hairy scalp of such a one as goeth on still in his guiltiness.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 22] The Lord said, I will bring again from Bashan, I will bring them again from the depths of the sea;
[ASV | EN | OT | Psalms | Chapter 68 | Verse 23] That thou mayest crush them, dipping thy foot in blood, That the tongue of thy dogs may have its portion from thine enemies.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 24] They have seen thy goings, O God, Even the goings of my God, my King, into the sanctuary.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 25] The singers went before, the minstrels followed after, In the midst of the damsels playing with timbrels.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 26] Bless ye God in the congregations, Even the Lord, ye that are of the fountain of Israel.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 27] There is little Benjamin their ruler, The princes of Judah and their council, The princes of Zebulun, the princes of Naphtali.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 28] Thy God hath commanded thy strength: Strengthen, O God, that which thou hast wrought for us.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 29] Because of thy temple at Jerusalem Kings shall bring presents unto thee.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 30] Rebuke the wild beast of the reeds, The multitude of the bulls, with the calves of the peoples, Trampling under foot the pieces of silver: He hath scattered the peoples that delight in war.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 31] Princes shall come out of Egypt; Ethiopia shall haste to stretch out her hands unto God.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 32] Sing unto God, ye kingdoms of the earth; Oh sing praises unto the Lord; Selah
[ASV | EN | OT | Psalms | Chapter 68 | Verse 33] To him that rideth upon the heaven of heavens, which are of old; Lo, he uttereth his voice, a mighty voice.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 34] Ascribe ye strength unto God: His excellency is over Israel, And his strength is in the skies.
[ASV | EN | OT | Psalms | Chapter 68 | Verse 35] O God, thou art terrible out of thy holy places: The God of Israel, he giveth strength and power unto his people. Blessed be God.
