[ASV | EN | OT | Psalms | Chapter 17 | Verse 1] Hear the right, O Jehovah, attend unto my cry; Give ear unto my prayer, that goeth not out of feigned lips.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 2] Let my sentence come forth from thy presence; Let thine eyes look upon equity.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 3] Thou hast proved my heart; thou hast visited me in the night; Thou hast tried me, and findest nothing; I am purposed that my mouth shall not transgress.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 4] As for the works of men, by the word of thy lips I have kept me from the ways of the violent.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 5] My steps have held fast to thy paths, My feet have not slipped.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 6] I have called upon thee, for thou wilt answer me, O God: Incline thine ear unto me, and hear my speech.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 7] Show thy marvelous lovingkindness, O thou that savest by thy right hand them that take refuge in thee From those that rise up against them.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 8] Keep me as the apple of the eye; Hide me under the shadow of thy wings,
[ASV | EN | OT | Psalms | Chapter 17 | Verse 9] From the wicked that oppress me, My deadly enemies, that compass me about.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 10] They are enclosed in their own fat: With their mouth they speak proudly.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 11] They have now compassed us in our steps; They set their eyes to cast us down to the earth.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 12] He is like a lion that is greedy of his prey, And as it were a young lion lurking in secret places.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 13] Arise, O Jehovah, Confront him, cast him down: Deliver my soul from the wicked by thy sword;
[ASV | EN | OT | Psalms | Chapter 17 | Verse 14] From men by thy hand, O Jehovah, From men of the world, whose portion is in this life, And whose belly thou fillest with thy treasure: They are satisfied with children, And leave the rest of their substance to their babes.
[ASV | EN | OT | Psalms | Chapter 17 | Verse 15] As for me, I shall behold thy face in righteousness; I shall be satisfied, when I awake, with beholding thy form.
