[ASV | EN | OT | Psalms | Chapter 148 | Verse 1] Praise ye Jehovah. Praise ye Jehovah from the heavens: Praise him in the heights.
[ASV | EN | OT | Psalms | Chapter 148 | Verse 2] Praise ye him, all his angels: Praise ye him, all his host.
[ASV | EN | OT | Psalms | Chapter 148 | Verse 3] Praise ye him, sun and moon: Praise him, all ye stars of light.
[ASV | EN | OT | Psalms | Chapter 148 | Verse 4] Praise him, ye heavens of heavens, And ye waters that are above the heavens.
[ASV | EN | OT | Psalms | Chapter 148 | Verse 5] Let them praise the name of Jehovah; For he commanded, and they were created.
[ASV | EN | OT | Psalms | Chapter 148 | Verse 6] He hath also established them forever and ever: He hath made a decree which shall not pass away.
[ASV | EN | OT | Psalms | Chapter 148 | Verse 7] Praise Jehovah from the earth, Ye sea monsters, and all deeps;
[ASV | EN | OT | Psalms | Chapter 148 | Verse 8] Fire and hail, snow and vapor; Stormy wind, fulfilling his word;
[ASV | EN | OT | Psalms | Chapter 148 | Verse 9] Mountains and all hills; Fruitful trees and all cedars;
[ASV | EN | OT | Psalms | Chapter 148 | Verse 10] Beasts and all cattle; Creeping things and flying birds;
[ASV | EN | OT | Psalms | Chapter 148 | Verse 11] Kings of the earth and all peoples; Princes and all judges of the earth;
[ASV | EN | OT | Psalms | Chapter 148 | Verse 12] Both young men and virgins; Old men and children:
[ASV | EN | OT | Psalms | Chapter 148 | Verse 13] Let them praise the name of Jehovah; For his name alone is exalted; His glory is above the earth and the heavens.
[ASV | EN | OT | Psalms | Chapter 148 | Verse 14] And he hath lifted up the horn of his people, The praise of all his saints; Even of the children of Israel, a people near unto him. Praise ye Jehovah.
