[ASV | EN | OT | Psalms | Chapter 9 | Verse 1] I will give thanks unto Jehovah with my whole heart; I will show forth all thy marvelous works.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 2] I will be glad and exult in thee; I will sing praise to thy name, O thou Most High.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 3] When mine enemies turn back, They stumble and perish at thy presence.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 4] For thou hast maintained my right and my cause; Thou sittest in the throne judging righteously.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 5] Thou hast rebuked the nations, thou hast destroyed the wicked; Thou hast blotted out their name forever and ever.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 6] The enemy are come to an end, they are desolate forever; And the cities which thou hast overthrown, The very remembrance of them is perished.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 7] But Jehovah sitteth as king forever: He hath prepared his throne for judgment;
[ASV | EN | OT | Psalms | Chapter 9 | Verse 8] And he will judge the world in righteousness, He will minister judgment to the peoples in uprightness.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 9] Jehovah also will be a high tower for the oppressed, A high tower in times of trouble;
[ASV | EN | OT | Psalms | Chapter 9 | Verse 10] And they that know thy name will put their trust in thee; For thou, Jehovah, hast not forsaken them that seek thee.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 11] Sing praises to Jehovah, who dwelleth in Zion: Declare among the people his doings.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 12] For he that maketh inquisition for blood remembereth them; He forgetteth not the cry of the poor.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 13] Have mercy upon me, O Jehovah; Behold my affliction which I suffer of them that hate me, Thou that liftest me up from the gates of death;
[ASV | EN | OT | Psalms | Chapter 9 | Verse 14] That I may show forth all thy praise. In the gates of the daughter of Zion I will rejoice in thy salvation.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 15] The nations are sunk down in the pit that they made: In the net which they hid is their own foot taken.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 16] Jehovah hath made himself known, he hath executed judgment: The wicked is snared in the work of his own hands. Higgaion. Selah
[ASV | EN | OT | Psalms | Chapter 9 | Verse 17] The wicked shall be turned back unto Sheol, Even all the nations that forget God.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 18] For the needy shall not always be forgotten, Nor the expectation of the poor perish forever.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 19] Arise, O Jehovah; let not man prevail: Let the nations be judged in thy sight.
[ASV | EN | OT | Psalms | Chapter 9 | Verse 20] Put them in fear, O Jehovah: Let the nations know themselves to be but men. Selah
