[ASV | EN | OT | Psalms | Chapter 145 | Verse 1] I will extol thee, my God, O King; And I will bless thy name forever and ever.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 2] Every day will I bless thee; And I will praise thy name forever and ever.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 3] Great is Jehovah, and greatly to be praised; And his greatness is unsearchable.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 4] One generation shall laud thy works to another, And shall declare thy mighty acts.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 5] Of the glorious majesty of thine honor, And of thy wondrous works, will I meditate.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 6] And men shall speak of the might of thy terrible acts; And I will declare thy greatness.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 7] They shall utter the memory of thy great goodness, And shall sing of thy righteousness.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 8] Jehovah is gracious, and merciful; Slow to anger, and of great lovingkindness.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 9] Jehovah is good to all; And his tender mercies are over all his works.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 10] All thy works shall give thanks unto thee, O Jehovah; And thy saints shall bless thee.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 11] They shall speak of the glory of thy kingdom, And talk of thy power;
[ASV | EN | OT | Psalms | Chapter 145 | Verse 12] To make known to the sons of men his mighty acts, And the glory of the majesty of his kingdom.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 13] Thy kingdom is an everlasting kingdom, And thy dominion endureth throughout all generations.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 14] Jehovah upholdeth all that fall, And raiseth up all those that are bowed down.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 15] The eyes of all wait for thee; And thou givest them their food in due season.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 16] Thou openest thy hand, And satisfiest the desire of every living thing.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 17] Jehovah is righteous in all his ways, And gracious in all his works.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 18] Jehovah is nigh unto all them that call upon him, To all that call upon him in truth.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 19] He will fulfill the desire of them that fear him; He also will hear their cry and will save them.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 20] Jehovah preserveth all them that love him; But all the wicked will he destroy.
[ASV | EN | OT | Psalms | Chapter 145 | Verse 21] My mouth shall speak the praise of Jehovah; And let all flesh bless his holy name forever and ever.
