[ASV | EN | OT | Psalms | Chapter 86 | Verse 1] Bow down thine ear, O Jehovah, and answer me; For I am poor and needy.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 2] Preserve my soul; for I am godly: O thou my God, save thy servant that trusteth in thee.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 3] Be merciful unto me, O Lord; For unto thee do I cry all the day long.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 4] Rejoice the soul of thy servant; For unto thee, O Lord, do I lift up my soul.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 5] For thou, Lord, art good, and ready to forgive, And abundant in lovingkindness unto all them that call upon thee.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 6] Give ear, O Jehovah, unto my prayer; And hearken unto the voice of my supplications.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 7] In the day of my trouble I will call upon thee; For thou wilt answer me.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 8] There is none like unto thee among the gods, O Lord; Neither are there any works like unto thy works.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 9] All nations whom thou hast made shall come and worship before thee, O Lord; And they shall glorify thy name.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 10] For thou art great, and doest wondrous things: Thou art God alone.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 11] Teach me thy way, O Jehovah; I will walk in thy truth: Unite my heart to fear thy name.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 12] I will praise thee, O Lord my God, with my whole heart; And I will glorify thy name forevermore.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 13] For great is thy lovingkindness toward me; And thou hast delivered my soul from the lowest Sheol.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 14] O God, the proud are risen up against me, And a company of violent men have sought after my soul, And have not set thee before them.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 15] But thou, O Lord, art a God merciful and gracious, Slow to anger, and abundant in lovingkindness and truth.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 16] Oh turn unto me, and have mercy upon me; Give thy strength unto thy servant, And save the son of thy handmaid.
[ASV | EN | OT | Psalms | Chapter 86 | Verse 17] Show me a token for good, That they who hate me may see it, and be put to shame, Because thou, Jehovah, hast helped me, and comforted me.
