[ASV | EN | OT | Psalms | Chapter 106 | Verse 1] Praise ye Jehovah. Oh give thanks unto Jehovah; for he is good; For his lovingkindness endureth forever.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 2] Who can utter the mighty acts of Jehovah, Or show forth all his praise?
[ASV | EN | OT | Psalms | Chapter 106 | Verse 3] Blessed are they that keep justice, And he that doeth righteousness at all times.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 4] Remember me, O Jehovah, with the favor that thou bearest unto thy people; Oh visit me with thy salvation,
[ASV | EN | OT | Psalms | Chapter 106 | Verse 5] That I may see the prosperity of thy chosen, That I may rejoice in the gladness of thy nation, That I may glory with thine inheritance.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 6] We have sinned with our fathers, We have committed iniquity, we have done wickedly.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 7] Our fathers understood not thy wonders in Egypt; They remembered not the multitude of thy lovingkindnesses, But were rebellious at the sea, even at the Red Sea.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 8] Nevertheless he saved them for his name’s sake, That he might make his mighty power to be known.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 9] He rebuked the Red Sea also, and it was dried up: So he led them through the depths, as through a wilderness.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 10] And he saved them from the hand of him that hated them, And redeemed them from the hand of the enemy.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 11] And the waters covered their adversaries; There was not one of them left.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 12] Then believed they his words; They sang his praise.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 13] They soon forgat his works; They waited not for his counsel,
[ASV | EN | OT | Psalms | Chapter 106 | Verse 14] But lusted exceedingly in the wilderness, And tempted God in the desert.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 15] And he gave them their request, But sent leanness into their soul.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 16] They envied Moses also in the camp, And Aaron the saint of Jehovah.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 17] The earth opened and swallowed up Dathan, And covered the company of Abiram.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 18] And a fire was kindled in their company; The flame burned up the wicked.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 19] They made a calf in Horeb, And worshiped a molten image.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 20] Thus they changed their glory For the likeness of an ox that eateth grass.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 21] They forgat God their Savior, Who had done great things in Egypt,
[ASV | EN | OT | Psalms | Chapter 106 | Verse 22] Wondrous works in the land of Ham, And terrible things by the Red Sea.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 23] Therefore he said that he would destroy them, Had not Moses his chosen stood before him in the breach, To turn away his wrath, lest he should destroy them.
[ASV | EN | OT | Psalms | Chapter 106 | Verse 24] Yea, they despised the pleasant land, They believed not his word,
