[ASV | EN | OT | Psalms | Chapter 37 | Verse 1] Fret not thyself because of evildoers, Neither be thou envious against them that work unrighteousness.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 2] For they shall soon be cut down like the grass, And wither as the green herb.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 3] Trust in Jehovah, and do good; Dwell in the land, and feed on his faithfulness.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 4] Delight thyself also in Jehovah; And he will give thee the desires of thy heart.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 5] Commit thy way unto Jehovah; Trust also in him, and he will bring it to pass.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 6] And he will make thy righteousness to go forth as the light, And thy justice as the noonday.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 7] Rest in Jehovah, and wait patiently for him: Fret not thyself because of him who prospereth in his way, Because of the man who bringeth wicked devices to pass.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 8] Cease from anger, and forsake wrath: Fret not thyself, it tendeth only to evildoing.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 9] For evildoers shall be cut off; But those that wait for Jehovah, they shall inherit the land.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 10] For yet a little while, and the wicked shall not be: Yea, thou shalt diligently consider his place, and he shall not be.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 11] But the meek shall inherit the land, And shall delight themselves in the abundance of peace.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 12] The wicked plotteth against the just, And gnasheth upon him with his teeth.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 13] The Lord will laugh at him; For he seeth that his day is coming.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 14] The wicked have drawn out the sword, and have bent their bow, To cast down the poor and needy, To slay such as are upright in the way.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 15] Their sword shall enter into their own heart, And their bows shall be broken.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 16] Better is a little that the righteous hath Than the abundance of many wicked.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 17] For the arms of the wicked shall be broken; But Jehovah upholdeth the righteous.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 18] Jehovah knoweth the days of the perfect; And their inheritance shall be forever.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 19] They shall not be put to shame in the time of evil; And in the days of famine they shall be satisfied.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 20] But the wicked shall perish, And the enemies of Jehovah shall be as the fat of lambs: They shall consume; in smoke shall they consume away.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 21] The wicked borroweth, and payeth not again; But the righteous dealeth graciously, and giveth.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 22] For such as are blessed of him shall inherit the land; And they that are cursed of him shall be cut off.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 23] A man’s goings are established of Jehovah; And he delighteth in his way.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 24] Though he fall, he shall not be utterly cast down; For Jehovah upholdeth him with his hand.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 25] I have been young, and now am old; Yet have I not seen the righteous forsaken, Nor his seed begging bread.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 26] All the day long he dealeth graciously, and lendeth; And his seed is blessed.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 27] Depart from evil, and do good; And dwell forevermore.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 28] For Jehovah loveth justice, And forsaketh not his saints; They are preserved forever: But the seed of the wicked shall be cut off.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 29] The righteous shall inherit the land, And dwell therein forever.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 30] The mouth of the righteous talketh of wisdom, And his tongue speaketh justice.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 31] The law of his God is in his heart; None of his steps shall slide.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 32] The wicked watcheth the righteous, And seeketh to slay him.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 33] Jehovah will not leave him in his hand, Nor condemn him when he is judged.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 34] Wait for Jehovah, and keep his way, And he will exalt thee to inherit the land: When the wicked are cut off, thou shalt see it.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 35] I have seen the wicked in great power, And spreading himself like a green tree in its native soil.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 36] But one passed by, and, lo, he was not: Yea, I sought him, but he could not be found.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 37] Mark the perfect man, and behold the upright; For there is a happy end to the man of peace.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 38] As for transgressors, they shall be destroyed together: The end of the wicked shall be cut off.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 39] But the salvation of the righteous is of Jehovah: He is their stronghold in the time of trouble.
[ASV | EN | OT | Psalms | Chapter 37 | Verse 40] And Jehovah helpeth them, and rescueth them: He rescueth them from the wicked, and saveth them, Because they have taken refuge in him.
