[ASV | EN | OT | Psalms | Chapter 46 | Verse 1] God is our refuge and strength, A very present help in trouble.
[ASV | EN | OT | Psalms | Chapter 46 | Verse 2] Therefore will we not fear, though the earth do change, And though the mountains be shaken into the heart of the seas;
[ASV | EN | OT | Psalms | Chapter 46 | Verse 3] Though the waters thereof roar and be troubled, Though the mountains tremble with the swelling thereof. Selah
[ASV | EN | OT | Psalms | Chapter 46 | Verse 4] There is a river, the streams whereof make glad the city of God, The holy place of the tabernacles of the Most High.
[ASV | EN | OT | Psalms | Chapter 46 | Verse 5] God is in the midst of her; she shall not be moved: God will help her, and that right early.
[ASV | EN | OT | Psalms | Chapter 46 | Verse 6] The nations raged, the kingdoms were moved: He uttered his voice, the earth melted.
[ASV | EN | OT | Psalms | Chapter 46 | Verse 7] Jehovah of hosts is with us; The God of Jacob is our refuge. Selah
[ASV | EN | OT | Psalms | Chapter 46 | Verse 8] Come, behold the works of Jehovah, What desolations he hath made in the earth.
[ASV | EN | OT | Psalms | Chapter 46 | Verse 9] He maketh wars to cease unto the end of the earth; He breaketh the bow, and cutteth the spear in sunder; He burneth the chariots in the fire.
[ASV | EN | OT | Psalms | Chapter 46 | Verse 10] Be still, and know that I am God: I will be exalted among the nations, I will be exalted in the earth.
[ASV | EN | OT | Psalms | Chapter 46 | Verse 11] Jehovah of hosts is with us; The God of Jacob is our refuge. Selah
