[ASV | EN | OT | Psalms | Chapter 135 | Verse 1] Praise ye Jehovah. Praise ye the name of Jehovah; Praise him, O ye servants of Jehovah,
[ASV | EN | OT | Psalms | Chapter 135 | Verse 2] Ye that stand in the house of Jehovah, In the courts of the house of our God.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 3] Praise ye Jehovah; for Jehovah is good: Sing praises unto his name; for it is pleasant.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 4] For Jehovah hath chosen Jacob unto himself, And Israel for his own possession.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 5] For I know that Jehovah is great, And that our Lord is above all gods.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 6] Whatsoever Jehovah pleased, that hath he done, In heaven and in earth, in the seas and in all deeps;
[ASV | EN | OT | Psalms | Chapter 135 | Verse 7] Who causeth the vapors to ascend from the ends of the earth; Who maketh lightnings for the rain; Who bringeth forth the wind out of his treasuries;
[ASV | EN | OT | Psalms | Chapter 135 | Verse 8] Who smote the firstborn of Egypt, Both of man and beast;
[ASV | EN | OT | Psalms | Chapter 135 | Verse 9] Who sent signs and wonders into the midst of thee, O Egypt, Upon Pharaoh, and upon all his servants;
[ASV | EN | OT | Psalms | Chapter 135 | Verse 10] Who smote many nations, And slew mighty kings,
[ASV | EN | OT | Psalms | Chapter 135 | Verse 11] Sihon king of the Amorites, And Og king of Bashan, And all the kingdoms of Canaan,
[ASV | EN | OT | Psalms | Chapter 135 | Verse 12] And gave their land for a heritage, A heritage unto Israel his people.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 13] Thy name, O Jehovah, endureth forever; Thy memorial name, O Jehovah, throughout all generations.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 14] For Jehovah will judge his people, And repent himself concerning his servants.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 15] The idols of the nations are silver and gold, The work of men’s hands.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 16] They have mouths, but they speak not; Eyes have they, but they see not;
[ASV | EN | OT | Psalms | Chapter 135 | Verse 17] They have ears, but they hear not; Neither is there any breath in their mouths.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 18] They that make them shall be like unto them; Yea, everyone that trusteth in them.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 19] O house of Israel, bless ye Jehovah: O house of Aaron, bless ye Jehovah:
[ASV | EN | OT | Psalms | Chapter 135 | Verse 20] O house of Levi, bless ye Jehovah: Ye that fear Jehovah, bless ye Jehovah.
[ASV | EN | OT | Psalms | Chapter 135 | Verse 21] Blessed be Jehovah out of Zion, Who dwelleth at Jerusalem. Praise ye Jehovah.
