[ASV | EN | OT | Psalms | Chapter 92 | Verse 1] It is a good thing to give thanks unto Jehovah, And to sing praises unto thy name, O Most High;
[ASV | EN | OT | Psalms | Chapter 92 | Verse 2] To show forth thy lovingkindness in the morning, And thy faithfulness every night,
[ASV | EN | OT | Psalms | Chapter 92 | Verse 3] With an instrument of ten strings, and with the psaltery; With a solemn sound upon the harp.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 4] For thou, Jehovah, hast made me glad through thy work: I will triumph in the works of thy hands.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 5] How great are thy works, O Jehovah! Thy thoughts are very deep.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 6] A brutish man knoweth not; Neither doth a fool understand this:
[ASV | EN | OT | Psalms | Chapter 92 | Verse 7] When the wicked spring as the grass, And when all the workers of iniquity do flourish; It is that they shall be destroyed forever.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 8] But thou, O Jehovah, art on high forevermore.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 9] For, lo, thine enemies, O Jehovah, For, lo, thine enemies shall perish; All the workers of iniquity shall be scattered.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 10] But my horn hast thou exalted like the horn of the wild ox: I am anointed with fresh oil.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 11] Mine eye also hath seen my desire on mine enemies, Mine ears have heard my desire of the evildoers that rise up against me.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 12] The righteous shall flourish like the palm tree: He shall grow like a cedar in Lebanon.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 13] They are planted in the house of Jehovah; They shall flourish in the courts of our God.
[ASV | EN | OT | Psalms | Chapter 92 | Verse 14] They shall still bring forth fruit in old age; They shall be full of sap and green:
[ASV | EN | OT | Psalms | Chapter 92 | Verse 15] To show that Jehovah is upright; He is my rock, and there is no unrighteousness in him.
