[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 1] Ἐγένετο δὲ ἐν ταῖς ἡμέραις ἐκείναις ἐξῆλθεν δόγμα παρὰ Καίσαρος Αὐγούστου ἀπογράφεσθαι πᾶσαν τὴν οἰκουμένην·
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 2] (⸀αὕτη ἀπογραφὴ πρώτη ἐγένετο ἡγεμονεύοντος τῆς Συρίας Κυρηνίου·)
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 3] καὶ ἐπορεύοντο πάντες ἀπογράφεσθαι, ἕκαστος εἰς τὴν ⸀ἑαυτοῦ πόλιν.
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 4] Ἀνέβη δὲ καὶ Ἰωσὴφ ἀπὸ τῆς Γαλιλαίας ἐκ πόλεως Ναζαρὲθ εἰς τὴν Ἰουδαίαν εἰς πόλιν Δαυὶδ ἥτις καλεῖται Βηθλέεμ, διὰ τὸ εἶναι αὐτὸν ἐξ οἴκου καὶ πατριᾶς Δαυίδ,
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 5] ἀπογράψασθαι σὺν Μαριὰμ τῇ ⸂ἐμνηστευμένῃ αὐτῷ⸃, οὔσῃ ἐγκύῳ.
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 6] ἐγένετο δὲ ἐν τῷ εἶναι αὐτοὺς ἐκεῖ ἐπλήσθησαν αἱ ἡμέραι τοῦ τεκεῖν αὐτήν,
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 7] καὶ ἔτεκεν τὸν υἱὸν αὐτῆς τὸν πρωτότοκον, καὶ ἐσπαργάνωσεν αὐτὸν καὶ ἀνέκλινεν αὐτὸν ⸀ἐν φάτνῃ, διότι οὐκ ἦν αὐτοῖς τόπος ἐν τῷ καταλύματι.
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 8] Καὶ ποιμένες ἦσαν ἐν τῇ χώρᾳ τῇ αὐτῇ ἀγραυλοῦντες καὶ φυλάσσοντες φυλακὰς τῆς νυκτὸς ἐπὶ τὴν ποίμνην αὐτῶν.
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 9] ⸀καὶ ἄγγελος κυρίου ἐπέστη αὐτοῖς καὶ δόξα κυρίου περιέλαμψεν αὐτούς, καὶ ἐφοβήθησαν φόβον μέγαν·
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 10] καὶ εἶπεν αὐτοῖς ὁ ἄγγελος· Μὴ φοβεῖσθε, ἰδοὺ γὰρ εὐαγγελίζομαι ὑμῖν χαρὰν μεγάλην ἥτις ἔσται παντὶ τῷ λαῷ,
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 11] ὅτι ἐτέχθη ὑμῖν σήμερον σωτὴρ ὅς ἐστιν χριστὸς κύριος ἐν πόλει Δαυίδ·
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 12] καὶ τοῦτο ὑμῖν ⸀τὸ σημεῖον, εὑρήσετε βρέφος ἐσπαργανωμένον ⸀καὶ κείμενον ἐν φάτνῃ.
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 13] καὶ ἐξαίφνης ἐγένετο σὺν τῷ ἀγγέλῳ πλῆθος στρατιᾶς ⸀οὐρανίου αἰνούντων τὸν θεὸν καὶ λεγόντων·
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 14] Δόξα ἐν ὑψίστοις θεῷ καὶ ἐπὶ γῆς εἰρήνη ἐν ἀνθρώποις ⸀εὐδοκίας.
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 15] Καὶ ἐγένετο ὡς ἀπῆλθον ἀπʼ αὐτῶν εἰς τὸν οὐρανὸν οἱ ἄγγελοι, ⸀οἱ ποιμένες ⸀ἐλάλουν πρὸς ἀλλήλους· Διέλθωμεν δὴ ἕως Βηθλέεμ καὶ ἴδωμεν τὸ ῥῆμα τοῦτο τὸ γεγονὸς ὃ ὁ κύριος ἐγνώρισεν ἡμῖν.
[SBLGNT | EL | NT | Luke | Chapter 2 | Verse 16] καὶ ἦλθαν σπεύσαντες καὶ ἀνεῦραν τήν τε Μαριὰμ καὶ τὸν Ἰωσὴφ καὶ τὸ βρέφος κείμενον ἐν τῇ φάτνῃ·
