[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 1] Ἦσαν δὲ ⸂αὐτῷ ἐγγίζοντες⸃ πάντες οἱ τελῶναι καὶ οἱ ἁμαρτωλοὶ ἀκούειν αὐτοῦ.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 2] καὶ διεγόγγυζον οἵ ⸀τε Φαρισαῖοι καὶ οἱ γραμματεῖς λέγοντες ὅτι Οὗτος ἁμαρτωλοὺς προσδέχεται καὶ συνεσθίει αὐτοῖς.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 3] εἶπεν δὲ πρὸς αὐτοὺς τὴν παραβολὴν ταύτην λέγων·
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 4] Τίς ἄνθρωπος ἐξ ὑμῶν ἔχων ἑκατὸν πρόβατα καὶ ⸀ἀπολέσας ⸂ἐξ αὐτῶν ἓν⸃ οὐ καταλείπει τὰ ἐνενήκοντα ἐννέα ἐν τῇ ἐρήμῳ καὶ πορεύεται ἐπὶ τὸ ἀπολωλὸς ἕως εὕρῃ αὐτό;
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 5] καὶ εὑρὼν ἐπιτίθησιν ἐπὶ τοὺς ὤμους ⸀αὐτοῦ χαίρων,
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 6] καὶ ἐλθὼν εἰς τὸν οἶκον συγκαλεῖ τοὺς φίλους καὶ τοὺς γείτονας, λέγων αὐτοῖς· Συγχάρητέ μοι ὅτι εὗρον τὸ πρόβατόν μου τὸ ἀπολωλός.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 7] λέγω ὑμῖν ὅτι οὕτως χαρὰ ⸂ἐν τῷ οὐρανῷ ἔσται⸃ ἐπὶ ἑνὶ ἁμαρτωλῷ μετανοοῦντι ἢ ἐπὶ ἐνενήκοντα ἐννέα δικαίοις οἵτινες οὐ χρείαν ἔχουσιν μετανοίας.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 8] Ἢ τίς γυνὴ δραχμὰς ἔχουσα δέκα, ἐὰν ἀπολέσῃ δραχμὴν μίαν, οὐχὶ ἅπτει λύχνον καὶ σαροῖ τὴν οἰκίαν καὶ ζητεῖ ἐπιμελῶς ἕως ⸀οὗ εὕρῃ;
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 9] καὶ εὑροῦσα ⸀συγκαλεῖ τὰς φίλας ⸀καὶ γείτονας λέγουσα· Συγχάρητέ μοι ὅτι εὗρον τὴν δραχμὴν ἣν ἀπώλεσα.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 10] οὕτως, λέγω ὑμῖν, ⸂γίνεται χαρὰ⸃ ἐνώπιον τῶν ἀγγέλων τοῦ θεοῦ ἐπὶ ἑνὶ ἁμαρτωλῷ μετανοοῦντι.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 11] Εἶπεν δέ· Ἄνθρωπός τις εἶχεν δύο υἱούς.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 12] καὶ εἶπεν ὁ νεώτερος αὐτῶν τῷ πατρί· Πάτερ, δός μοι τὸ ἐπιβάλλον μέρος τῆς οὐσίας· ⸂ὁ δὲ⸃ διεῖλεν αὐτοῖς τὸν βίον.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 13] καὶ μετʼ οὐ πολλὰς ἡμέρας συναγαγὼν ⸀πάντα ὁ νεώτερος υἱὸς ἀπεδήμησεν εἰς χώραν μακράν, καὶ ἐκεῖ διεσκόρπισεν τὴν οὐσίαν αὐτοῦ ζῶν ἀσώτως.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 14] δαπανήσαντος δὲ αὐτοῦ πάντα ἐγένετο λιμὸς ⸀ἰσχυρὰ κατὰ τὴν χώραν ἐκείνην, καὶ αὐτὸς ἤρξατο ὑστερεῖσθαι.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 15] καὶ πορευθεὶς ἐκολλήθη ἑνὶ τῶν πολιτῶν τῆς χώρας ἐκείνης, καὶ ἔπεμψεν αὐτὸν εἰς τοὺς ἀγροὺς αὐτοῦ βόσκειν χοίρους·
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 16] καὶ ἐπεθύμει ⸂γεμίσαι τὴν κοιλίαν αὐτοῦ ἀπὸ⸃ τῶν κερατίων ὧν ἤσθιον οἱ χοῖροι, καὶ οὐδεὶς ἐδίδου αὐτῷ.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 17] εἰς ἑαυτὸν δὲ ἐλθὼν ⸀ἔφη· Πόσοι μίσθιοι τοῦ πατρός μου ⸀περισσεύονται ἄρτων, ἐγὼ δὲ ⸂λιμῷ ὧδε⸃ ἀπόλλυμαι·
