[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 1] ⸀Ἐπειδὴ ἐπλήρωσεν πάντα τὰ ῥήματα αὐτοῦ εἰς τὰς ἀκοὰς τοῦ λαοῦ, εἰσῆλθεν εἰς Καφαρναούμ.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 2] Ἑκατοντάρχου δέ τινος δοῦλος κακῶς ἔχων ἤμελλεν τελευτᾶν, ὃς ἦν αὐτῷ ἔντιμος.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 3] ἀκούσας δὲ περὶ τοῦ Ἰησοῦ ἀπέστειλεν πρὸς αὐτὸν πρεσβυτέρους τῶν Ἰουδαίων, ἐρωτῶν αὐτὸν ὅπως ἐλθὼν διασώσῃ τὸν δοῦλον αὐτοῦ.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 4] οἱ δὲ παραγενόμενοι πρὸς τὸν Ἰησοῦν παρεκάλουν αὐτὸν σπουδαίως λέγοντες ὅτι Ἄξιός ἐστιν ᾧ ⸀παρέξῃ τοῦτο,
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 5] ἀγαπᾷ γὰρ τὸ ἔθνος ἡμῶν καὶ τὴν συναγωγὴν αὐτὸς ᾠκοδόμησεν ἡμῖν.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 6] ὁ δὲ Ἰησοῦς ἐπορεύετο σὺν αὐτοῖς. ἤδη δὲ αὐτοῦ οὐ μακρὰν ἀπέχοντος ἀπὸ τῆς οἰκίας ἔπεμψεν ⸂φίλους ὁ ἑκατοντάρχης⸃ λέγων αὐτῷ· Κύριε, μὴ σκύλλου, οὐ γὰρ ⸂ἱκανός εἰμι⸃ ἵνα ὑπὸ τὴν στέγην μου εἰσέλθῃς·
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 7] διὸ οὐδὲ ἐμαυτὸν ἠξίωσα πρὸς σὲ ἐλθεῖν· ἀλλὰ εἰπὲ λόγῳ, καὶ ⸀ἰαθήτω ὁ παῖς μου·
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 8] καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ἐξουσίαν τασσόμενος, ἔχων ὑπʼ ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· Πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· Ἔρχου, καὶ ἔρχεται, καὶ τῷ δούλῳ μου· Ποίησον τοῦτο, καὶ ποιεῖ.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 9] ἀκούσας δὲ ταῦτα ὁ Ἰησοῦς ἐθαύμασεν αὐτόν, καὶ στραφεὶς τῷ ἀκολουθοῦντι αὐτῷ ὄχλῳ εἶπεν· Λέγω ὑμῖν, ⸀οὐδὲ ἐν τῷ Ἰσραὴλ τοσαύτην πίστιν εὗρον.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 10] καὶ ὑποστρέψαντες ⸂εἰς τὸν οἶκον οἱ πεμφθέντες⸃ εὗρον ⸀τὸν δοῦλον ὑγιαίνοντα.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 11] Καὶ ἐγένετο ἐν τῷ ἑξῆς ⸀ἐπορεύθη εἰς πόλιν καλουμένην Ναΐν, καὶ συνεπορεύοντο αὐτῷ οἱ μαθηταὶ ⸀αὐτοῦ καὶ ὄχλος πολύς.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 12] ὡς δὲ ἤγγισεν τῇ πύλῃ τῆς πόλεως, καὶ ἰδοὺ ἐξεκομίζετο τεθνηκὼς ⸂μονογενὴς υἱὸς⸃ τῇ μητρὶ αὐτοῦ, καὶ αὐτὴ ⸀ἦν χήρα, καὶ ὄχλος τῆς πόλεως ἱκανὸς ⸁ἦν σὺν αὐτῇ.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 13] καὶ ἰδὼν αὐτὴν ὁ κύριος ἐσπλαγχνίσθη ἐπʼ αὐτῇ καὶ εἶπεν αὐτῇ· Μὴ κλαῖε.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 14] καὶ προσελθὼν ἥψατο τῆς σοροῦ, οἱ δὲ βαστάζοντες ἔστησαν, καὶ εἶπεν· Νεανίσκε, σοὶ λέγω, ἐγέρθητι.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 15] καὶ ἀνεκάθισεν ὁ νεκρὸς καὶ ἤρξατο λαλεῖν, καὶ ἔδωκεν αὐτὸν τῇ μητρὶ αὐτοῦ.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 16] ἔλαβεν δὲ φόβος πάντας, καὶ ἐδόξαζον τὸν θεὸν λέγοντες ὅτι Προφήτης μέγας ⸀ἠγέρθη ἐν ἡμῖν, καὶ ὅτι Ἐπεσκέψατο ὁ θεὸς τὸν λαὸν αὐτοῦ.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 17] καὶ ἐξῆλθεν ὁ λόγος οὗτος ἐν ὅλῃ τῇ Ἰουδαίᾳ περὶ αὐτοῦ ⸀καὶ πάσῃ τῇ περιχώρῳ.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 18] Καὶ ἀπήγγειλαν Ἰωάννῃ οἱ μαθηταὶ αὐτοῦ περὶ πάντων τούτων. καὶ προσκαλεσάμενος δύο τινὰς τῶν μαθητῶν αὐτοῦ ὁ Ἰωάννης
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 19] ἔπεμψεν πρὸς τὸν ⸀κύριον λέγων· Σὺ εἶ ὁ ἐρχόμενος ἢ ⸀ἄλλον προσδοκῶμεν;
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 20] παραγενόμενοι δὲ πρὸς αὐτὸν οἱ ἄνδρες εἶπαν· Ἰωάννης ὁ βαπτιστὴς ⸀ἀπέστειλεν ἡμᾶς πρὸς σὲ λέγων· Σὺ εἶ ὁ ἐρχόμενος ἢ ἄλλον προσδοκῶμεν;
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 21] ἐν ⸀ἐκείνῃ τῇ ὥρᾳ ἐθεράπευσεν πολλοὺς ἀπὸ νόσων καὶ μαστίγων καὶ πνευμάτων πονηρῶν, καὶ τυφλοῖς πολλοῖς ⸀ἐχαρίσατο βλέπειν.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 22] καὶ ⸀ἀποκριθεὶς εἶπεν αὐτοῖς· Πορευθέντες ἀπαγγείλατε Ἰωάννῃ ἃ εἴδετε καὶ ἠκούσατε· ⸀τυφλοὶ ἀναβλέπουσιν, χωλοὶ περιπατοῦσιν, λεπροὶ καθαρίζονται, ⸀κωφοὶ ἀκούουσιν, νεκροὶ ἐγείρονται, πτωχοὶ εὐαγγελίζονται·
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 23] καὶ μακάριός ἐστιν ὃς ἐὰν μὴ σκανδαλισθῇ ἐν ἐμοί.
[SBLGNT | EL | NT | Luke | Chapter 7 | Verse 24] Ἀπελθόντων δὲ τῶν ἀγγέλων Ἰωάννου ἤρξατο λέγειν ⸂πρὸς τοὺς ὄχλους⸃ περὶ Ἰωάννου· Τί ⸀ἐξήλθατε εἰς τὴν ἔρημον θεάσασθαι; κάλαμον ὑπὸ ἀνέμου σαλευόμενον;
