[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 1] Εἶπεν δὲ πρὸς τοὺς μαθητὰς ⸀αὐτοῦ· Ἀνένδεκτόν ἐστιν τοῦ ⸂τὰ σκάνδαλα μὴ ἐλθεῖν⸃, ⸂πλὴν οὐαὶ⸃ διʼ οὗ ἔρχεται·
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 2] λυσιτελεῖ αὐτῷ εἰ ⸂λίθος μυλικὸς⸃ περίκειται περὶ τὸν τράχηλον αὐτοῦ καὶ ἔρριπται εἰς τὴν θάλασσαν ἢ ἵνα σκανδαλίσῃ ⸂τῶν μικρῶν τούτων ἕνα⸃.
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 3] προσέχετε ἑαυτοῖς. ἐὰν ⸀ἁμάρτῃ ὁ ἀδελφός σου ἐπιτίμησον αὐτῷ, καὶ ἐὰν μετανοήσῃ ἄφες αὐτῷ·
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 4] καὶ ἐὰν ἑπτάκις τῆς ἡμέρας ⸀ἁμαρτήσῃ εἰς σὲ καὶ ⸀ἑπτάκις ἐπιστρέψῃ ⸂πρὸς σὲ⸃ λέγων· Μετανοῶ, ἀφήσεις αὐτῷ.
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 5] Καὶ εἶπαν οἱ ἀπόστολοι τῷ κυρίῳ· Πρόσθες ἡμῖν πίστιν.
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 6] εἶπεν δὲ ὁ κύριος· Εἰ ἔχετε πίστιν ὡς κόκκον σινάπεως, ἐλέγετε ἂν τῇ συκαμίνῳ ταύτῃ· Ἐκριζώθητι καὶ φυτεύθητι ἐν τῇ θαλάσσῃ· καὶ ὑπήκουσεν ἂν ὑμῖν.
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 7] Τίς δὲ ἐξ ὑμῶν δοῦλον ἔχων ἀροτριῶντα ἢ ποιμαίνοντα, ὃς εἰσελθόντι ἐκ τοῦ ἀγροῦ ἐρεῖ ⸀αὐτῷ· Εὐθέως παρελθὼν ἀνάπεσε,
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 8] ἀλλʼ οὐχὶ ἐρεῖ αὐτῷ· Ἑτοίμασον τί δειπνήσω καὶ περιζωσάμενος διακόνει μοι ἕως φάγω καὶ πίω, καὶ μετὰ ταῦτα φάγεσαι καὶ πίεσαι σύ;
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 9] μὴ ⸂ἔχει χάριν⸃ τῷ ⸀δούλῳ ὅτι ἐποίησεν τὰ ⸀διαταχθέντα;
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 10] οὕτως καὶ ὑμεῖς, ὅταν ποιήσητε πάντα τὰ διαταχθέντα ὑμῖν, λέγετε ὅτι Δοῦλοι ἀχρεῖοί ἐσμεν, ⸂ὃ ὠφείλομεν⸃ ποιῆσαι πεποιήκαμεν.
[SBLGNT | EL | NT | Luke | Chapter 17 | Verse 11] Καὶ ἐγένετο ἐν τῷ ⸀πορεύεσθαι εἰς Ἰερουσαλὴμ καὶ αὐτὸς διήρχετο διὰ ⸀μέσον Σαμαρείας καὶ Γαλιλαίας.
