[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 1] τῇ δὲ μιᾷ τῶν σαββάτων ὄρθρου βαθέως ⸂ἐπὶ τὸ μνῆμα ἦλθον⸃ φέρουσαι ἃ ἡτοίμασαν ⸀ἀρώματα.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 2] εὗρον δὲ τὸν λίθον ἀποκεκυλισμένον ἀπὸ τοῦ μνημείου,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 3] ⸂εἰσελθοῦσαι δὲ⸃ οὐχ εὗρον τὸ ⸀σῶμα.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 4] καὶ ἐγένετο ἐν τῷ ⸀ἀπορεῖσθαι αὐτὰς περὶ τούτου καὶ ἰδοὺ ἄνδρες δύο ἐπέστησαν αὐταῖς ἐν ⸂ἐσθῆτι ἀστραπτούσῃ⸃.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 5] ἐμφόβων δὲ γενομένων αὐτῶν καὶ κλινουσῶν ⸂τὰ πρόσωπα⸃ εἰς τὴν γῆν εἶπαν πρὸς αὐτάς· Τί ζητεῖτε τὸν ζῶντα μετὰ τῶν νεκρῶν;
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 6] ⸂οὐκ ἔστιν ὧδε, ἀλλὰ ἠγέρθη.⸃ μνήσθητε ὡς ἐλάλησεν ὑμῖν ἔτι ὢν ἐν τῇ Γαλιλαίᾳ,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 7] λέγων ⸂τὸν υἱὸν τοῦ ἀνθρώπου ὅτι δεῖ⸃ παραδοθῆναι εἰς χεῖρας ἀνθρώπων ἁμαρτωλῶν καὶ σταυρωθῆναι καὶ τῇ τρίτῃ ἡμέρᾳ ἀναστῆναι.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 8] καὶ ἐμνήσθησαν τῶν ῥημάτων αὐτοῦ,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 9] καὶ ὑποστρέψασαι ἀπὸ τοῦ μνημείου ἀπήγγειλαν ταῦτα πάντα τοῖς ἕνδεκα καὶ πᾶσιν τοῖς λοιποῖς.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 10] ἦσαν δὲ ἡ Μαγδαληνὴ Μαρία καὶ Ἰωάννα καὶ Μαρία ⸀ἡ Ἰακώβου καὶ αἱ λοιπαὶ σὺν αὐταῖς· ⸀ἔλεγον πρὸς τοὺς ἀποστόλους ταῦτα.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 11] καὶ ἐφάνησαν ἐνώπιον αὐτῶν ὡσεὶ λῆρος τὰ ῥήματα ⸀ταῦτα, καὶ ἠπίστουν αὐταῖς.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 12] ⸂Ὁ δὲ Πέτρος ἀναστὰς ἔδραμεν ἐπὶ τὸ μνημεῖον· καὶ παρακύψας βλέπει τὰ ⸀ὀθόνια μόνα· καὶ ἀπῆλθεν πρὸς ⸀αὑτὸν θαυμάζων τὸ γεγονός.⸃
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 13] Καὶ ἰδοὺ δύο ἐξ αὐτῶν ⸂ἐν αὐτῇ τῇ ἡμέρᾳ ἦσαν πορευόμενοι⸃ εἰς κώμην ἀπέχουσαν σταδίους ἑξήκοντα ἀπὸ Ἰερουσαλήμ, ᾗ ὄνομα Ἐμμαοῦς,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 14] καὶ αὐτοὶ ὡμίλουν πρὸς ἀλλήλους περὶ πάντων τῶν συμβεβηκότων τούτων.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 15] καὶ ἐγένετο ἐν τῷ ὁμιλεῖν αὐτοὺς καὶ συζητεῖν καὶ ⸀αὐτὸς Ἰησοῦς ἐγγίσας συνεπορεύετο αὐτοῖς,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 16] οἱ δὲ ὀφθαλμοὶ αὐτῶν ἐκρατοῦντο τοῦ μὴ ἐπιγνῶναι αὐτόν.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 17] εἶπεν δὲ πρὸς αὐτούς· Τίνες οἱ λόγοι οὗτοι οὓς ἀντιβάλλετε πρὸς ἀλλήλους περιπατοῦντες; καὶ ⸀ἐστάθησαν σκυθρωποί.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 18] ἀποκριθεὶς δὲ ⸂εἷς ὀνόματι⸃ Κλεοπᾶς εἶπεν πρὸς αὐτόν· Σὺ μόνος παροικεῖς Ἰερουσαλὴμ καὶ οὐκ ἔγνως τὰ γενόμενα ἐν αὐτῇ ἐν ταῖς ἡμέραις ταύταις;
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 19] καὶ εἶπεν αὐτοῖς· Ποῖα; οἱ δὲ εἶπαν αὐτῷ· Τὰ περὶ Ἰησοῦ τοῦ ⸀Ναζαρηνοῦ, ὃς ἐγένετο ἀνὴρ προφήτης δυνατὸς ἐν ἔργῳ καὶ λόγῳ ἐναντίον τοῦ θεοῦ καὶ παντὸς τοῦ λαοῦ,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 20] ὅπως τε παρέδωκαν αὐτὸν οἱ ἀρχιερεῖς καὶ οἱ ἄρχοντες ἡμῶν εἰς κρίμα θανάτου καὶ ἐσταύρωσαν αὐτόν.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 21] ἡμεῖς δὲ ἠλπίζομεν ὅτι αὐτός ἐστιν ὁ μέλλων λυτροῦσθαι τὸν Ἰσραήλ· ἀλλά γε ⸀καὶ σὺν πᾶσιν τούτοις τρίτην ταύτην ἡμέραν ⸀ἄγει ἀφʼ οὗ ταῦτα ἐγένετο.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 22] ἀλλὰ καὶ γυναῖκές τινες ἐξ ἡμῶν ἐξέστησαν ἡμᾶς, γενόμεναι ⸀ὀρθριναὶ ἐπὶ τὸ μνημεῖον
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 23] καὶ μὴ εὑροῦσαι τὸ σῶμα αὐτοῦ ἦλθον λέγουσαι καὶ ὀπτασίαν ἀγγέλων ἑωρακέναι, οἳ λέγουσιν αὐτὸν ζῆν.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 24] καὶ ἀπῆλθόν τινες τῶν σὺν ἡμῖν ἐπὶ τὸ μνημεῖον, καὶ εὗρον οὕτως καθὼς ⸀καὶ αἱ γυναῖκες εἶπον, αὐτὸν δὲ οὐκ εἶδον.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 25] καὶ αὐτὸς εἶπεν πρὸς αὐτούς· Ὦ ἀνόητοι καὶ βραδεῖς τῇ καρδίᾳ τοῦ πιστεύειν ἐπὶ πᾶσιν οἷς ἐλάλησαν οἱ προφῆται·
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 26] οὐχὶ ταῦτα ἔδει παθεῖν τὸν χριστὸν καὶ εἰσελθεῖν εἰς τὴν δόξαν αὐτοῦ;
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 27] καὶ ἀρξάμενος ἀπὸ Μωϋσέως καὶ ἀπὸ πάντων τῶν προφητῶν ⸀διερμήνευσεν αὐτοῖς ἐν πάσαις ταῖς γραφαῖς τὰ περὶ ⸀ἑαυτοῦ.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 28] Καὶ ἤγγισαν εἰς τὴν κώμην οὗ ἐπορεύοντο, καὶ αὐτὸς ⸀προσεποιήσατο ⸀πορρώτερον πορεύεσθαι.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 29] καὶ παρεβιάσαντο αὐτὸν λέγοντες· Μεῖνον μεθʼ ἡμῶν, ὅτι πρὸς ἑσπέραν ἐστὶν καὶ κέκλικεν ⸀ἤδη ἡ ἡμέρα. καὶ εἰσῆλθεν τοῦ μεῖναι σὺν αὐτοῖς.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 30] καὶ ἐγένετο ἐν τῷ κατακλιθῆναι αὐτὸν μετʼ αὐτῶν λαβὼν τὸν ἄρτον εὐλόγησεν καὶ κλάσας ἐπεδίδου αὐτοῖς·
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 31] αὐτῶν δὲ διηνοίχθησαν οἱ ὀφθαλμοὶ καὶ ἐπέγνωσαν αὐτόν· καὶ αὐτὸς ἄφαντος ἐγένετο ἀπʼ αὐτῶν.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 32] καὶ εἶπαν πρὸς ἀλλήλους· Οὐχὶ ἡ καρδία ἡμῶν καιομένη ἦν ⸂ἐν ἡμῖν⸃ ὡς ἐλάλει ἡμῖν ἐν τῇ ὁδῷ, ⸀ὡς διήνοιγεν ἡμῖν τὰς γραφάς;
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 33] καὶ ἀναστάντες αὐτῇ τῇ ὥρᾳ ὑπέστρεψαν εἰς Ἰερουσαλήμ, καὶ εὗρον ⸀ἠθροισμένους τοὺς ἕνδεκα καὶ τοὺς σὺν αὐτοῖς,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 34] λέγοντας ὅτι ⸂ὄντως ἠγέρθη ὁ κύριος⸃ καὶ ὤφθη Σίμωνι.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 35] καὶ αὐτοὶ ἐξηγοῦντο τὰ ἐν τῇ ὁδῷ καὶ ὡς ἐγνώσθη αὐτοῖς ἐν τῇ κλάσει τοῦ ἄρτου.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 36] Ταῦτα δὲ αὐτῶν λαλούντων ⸀αὐτὸς ἔστη ἐν μέσῳ ⸀αὐτῶν.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 37] πτοηθέντες δὲ καὶ ἔμφοβοι γενόμενοι ἐδόκουν πνεῦμα θεωρεῖν.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 38] καὶ εἶπεν αὐτοῖς· Τί τεταραγμένοι ἐστέ, καὶ διὰ τί διαλογισμοὶ ἀναβαίνουσιν ἐν ⸂τῇ καρδίᾳ⸃ ὑμῶν;
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 39] ἴδετε τὰς χεῖράς μου καὶ τοὺς πόδας μου ὅτι ⸂ἐγώ εἰμι αὐτός⸃· ψηλαφήσατέ με καὶ ἴδετε, ὅτι πνεῦμα σάρκα καὶ ὀστέα οὐκ ἔχει καθὼς ἐμὲ θεωρεῖτε ἔχοντα.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 40] ⸂[καὶ τοῦτο εἰπὼν ⸀ἔδειξεν αὐτοῖς τὰς χεῖρας καὶ τοὺς πόδας.]⸃
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 41] ἔτι δὲ ἀπιστούντων αὐτῶν ἀπὸ τῆς χαρᾶς καὶ θαυμαζόντων εἶπεν αὐτοῖς· Ἔχετέ τι βρώσιμον ἐνθάδε;
