[LXX | EL | OT | Ezra | Chapter 1 | Verse 1] ΚΑΙ ἐν τῷ πρώτῳ ἔτει Κύρου τοῦ βασιλέως Περσῶν, τοῦ τελεσθῆναι λόγον Κυρίου ἀπὸ στόματος Ἱερεμίου, ἐξήγειρε Κύριος τὸ πνεῦμα Κύρου βασιλέως Περσῶν, καὶ παρήγγειλε φωνὴν ἐν πάσῃ βασιλείᾳ αὐτοῦ, καί γε ἐν γραπτῷ, λέγων,
[LXX | EL | OT | Ezra | Chapter 1 | Verse 2] Οὕτως εἶπε Κύρος βασιλεὺς Περσῶν, πάσας τὰς βασιλείας τῆς γῆς ἔδωκέ μοι Κύριος ὁ Θεὸς τοῦ οὐρανοῦ, καὶ αὐτὸς ἐπεσκέψατο ἐπʼ ἐμὲ τοῦ οἰκοδομῆσαι οἶκον αὐτῷ ἐν Ἱερουσαλὴμ τῇ ἐν τῇ Ἰουδαίᾳ.
[LXX | EL | OT | Ezra | Chapter 1 | Verse 3] Τίς ἐν ὑμῖν ἀπὸ παντὸς τοῦ λαοῦ αὐτοῦ; καὶ ἔσται ὁ Θεὸς αὐτοῦ μετʼ αὐτοῦ, καὶ ἀναβήσεται εἰς Ἱερουσαλὴμ τὴν ἐν τῇ Ἰουδαίᾳ, καὶ οἰκοδομησάτω τὸν οἶκον Θεοῦ Ἰσραὴλ· αὐτὸς ὁ Θεὸς ὁ ἐν Ἱερουσαλήμ.
[LXX | EL | OT | Ezra | Chapter 1 | Verse 4] Καὶ πᾶς ὁ καταλιπόμενος ἀπὸ πάντων τῶν τόπων οὗ αὐτὸς παροικεῖ ἐκεῖ, καὶ λήψονται αὐτὸν ἄνδρες τοῦ τόπου αὐτοῦ ἐν ἀργυρίῳ, καὶ χρυσίῳ, καὶ ἀποσκευῇ, καὶ κτήνεσι μετὰ τοῦ ἑκουσίου εἰς οἶκον τοῦ Θεοῦ τὸν ἐν Ἱερουσαλήμ.
[LXX | EL | OT | Ezra | Chapter 1 | Verse 5] Καὶ ἀνέστησαν ἄρχοντες τῶν πατριῶν τῶν Ἰούδα καὶ Βενιαμεὶν, καὶ οἱ ἱερεῖς καὶ οἱ Λευεῖται, πάντων ὧν ἐξήγειρεν ὁ Θεὸς τὸ πνεῦμα αὐτῶν τοῦ ἀναβῆναι οἰκοδομῆσαι τὸν οἶκον Κυρίου τὸν ἐν Ἱερουσαλήμ.
[LXX | EL | OT | Ezra | Chapter 1 | Verse 6] Καὶ πάντες οἱ κυκλόθεν ἐνίσχυσαν ἐν χερσὶν αὐτῶν ἐν σκεύεσιν ἀργυρίου, ἐν χρυσῷ, ἐν ἀποσκευῇ, καὶ ἐν κτήνεσι, καὶ ἐν ξενίοις, πάρεξ τῶν ἑκουσίων.
[LXX | EL | OT | Ezra | Chapter 1 | Verse 7] Καὶ ὁ βασιλεὺς Κύρος ἐξήνεγκε τὰ σκεύη οἴκου Κυρίου, ἃ ἔλαβε Ναβουχοδονόσορ ἀπὸ Ἱερουσαλὴμ καὶ ἔδωκεν αὐτὰ ἐν οἴκῳ θεοῦ αὐτοῦ·
[LXX | EL | OT | Ezra | Chapter 1 | Verse 8] Καὶ ἐξήνεγκεν αὐτὰ Κύρος ὁ βασιλεὺς Περσῶν ἐπὶ χεῖρα Μιθραδάτου γασβαρηνοῦ, καὶ ἠρίθμησεν αὐτὰ τῷ Σασαβασὰρ τῷ ἄρχοντι τοῦ Ἰούδα.
[LXX | EL | OT | Ezra | Chapter 1 | Verse 9] Καὶ οὗτος ὁ ἀριθμὸς αὐτῶν· ψυκτῆρες χρυσοῖ τριάκοντα, καὶ ψυκτῆρες ἀργυροῖ χίλιοι, παρηλλαγμένα ἐννέα καὶ εἴκοσι, κεφουρῆς χρυσοῖ τριάκοντα, καὶ ἀργυροῖ διπλοῖ τετρακόσια δέκα,
[LXX | EL | OT | Ezra | Chapter 1 | Verse 10] καὶ σκεύη ἕτερα χίλια.
[LXX | EL | OT | Ezra | Chapter 1 | Verse 11] Πάντα τὰ σκεύη τῷ χρυσῷ καὶ τῷ ἀργυρῷ πεντακισχίλια τετρακόσια, τὰ πάντα ἀναβαίνοντα μετὰ Σασαβασὰρ ἀπὸ τῆς ἀποικίας ἐκ Βαβυλῶνος εἰς Ἱερουσαλήμ.
