[LXX | EL | OT | Ezra | Chapter 8 | Verse 1] Καὶ οὗτοι οἱ ἄρχοντες πατριῶν αὐτῶν οἱ ὁδηγοὶ ἀναβαίνοντες μετʼ ἐμοῦ ἐν βασιλείᾳ Ἀρθασασθὰ τοῦ βασιλέως Βαβυλῶνος.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 2] Ἀπὸ υἱῶν Φινεὲς, Γηρσών· ἀπὸ υἱῶν Ἰθάμαρ, Δανιήλ· ἀπὸ υἱῶν Δαυὶδ, Ἀττούς.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 3] Ἀπὸ υἱῶν Σαχανία, καὶ ἀπὸ υἱῶν Φόρος, Ζαχαρίας, καὶ μετ αὐτοῦ τὸ συστρεμμα ἑκατὸν καὶ πεντήκοντα.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 4] Ἀπὸ υἱῶν Φαὰθ Μωὰβ, Ἐλιανὰ υἱὸς Σαραΐα, καὶ μετʼ αὐτοῦ διακόσιοι τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 5] Καὶ ἀπὸ υἱῶν Ζαθόης, Σεχενίας υἱὸς Ἀζιὴλ, καὶ μετʼ αὐτοῦ τριακόσια τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 6] Καὶ ἀπὸ τῶν υἱῶν Ἀδὶν, Ὠβὴθ υἱὸς Ἰωνάθαν, καὶ μετʼ αὐτοῦ πεντήκοντα τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 7] Καὶ ἀπὸ υἱῶν Ἠλὰμ, Ἰσαΐας υἱὸς Ἀθελία, καὶ μετʼ αὐτοῦ ἑβδομήκοντα τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 8] Καὶ ἀπὸ υἱῶν Σαφατία, Ζαβαδίας υἱὸς Μιχαὴλ, καὶ μετʼ αὐτοῦ ὀγδοήκοντα τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 9] Καὶ ἀπὸ υἱῶν Ἰωὰβ, Ἀβαδία υἱὸς Ἰεϊὴλ, καὶ μετʼ αὐτοῦ διακόσιοι δεκαοκτὼ τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 10] Καὶ ἀπὸ τῶν υἱῶν Βαανὶ, Σελιμοὺθ υἱὸς Ἰωσεφία, καὶ μετʼ αὐτοῦ ἑκατὸν ἑξήκοντα τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 11] Καὶ ἀπὸ υἱῶν Βαβὶ, Ζαχαρίας υἱὸς Βαβὶ, καὶ μετʼ αὐτοῦ εἰκοσιοκτὼ τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 12] Καὶ ἀπὸ υἱῶν Ἀσγὰδ, Ἰωανὰν υἱὸς Ἀκκατὰν, καὶ μετʼ αὐτοῦ ἑκατὸν δέκα τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 13] Καὶ ἀπὸ υἱῶν Ἀδωνικὰμ ἔσχατοι, καὶ ταῦτα τὰ ὀνόματα αὐτῶν, Ἐλιφαλὰτ, Ἰεὴλ, καὶ Σαμαΐα, καὶ μετʼ αὐτῶν ἑξήκοντα τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 14] Καὶ ἀπὸ υἱῶν Βαγουαῒ, Οὐθαῒ καὶ Ζαβοὺδ, καὶ μετʼ αὐτοῦ ἑβδομήκοντα τὰ ἀρσενικά.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 15] Καὶ συνῆξα αὐτοὺς πρὸς τὸν ποταμὸν τὸν ἐρχόμενον πρὸς τὸν Εὐὶ, καὶ παρενεβάλομεν ἐκεῖ ἡμέρας τρεῖς· καὶ συνῆκα ἐν τῷ λαῷ καὶ ἐν τοῖς ἱερεῦσι, καὶ ἀπὸ υἱῶν Λευὶ οὐχ εὗρον ἐκεῖ.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 16] Καὶ ἀπέστειλα τῷ Ἐλεάζαρ, τῷ Ἀριὴλ, τῷ Σεμεΐᾳ, καὶ τῷ Ἀλωνὰμ, καὶ τῷ Ἰαρὶβ, καὶ τῷ Ἐλνάθαμ, καὶ τῷ Νάθαν, καὶ τῷ Ζαχαρίᾳ, καὶ τῷ Μεσολλὰμ, καὶ τῷ Ἰωαρὶμ, καὶ τῷ Ἐλνάθαν, συνιέντας.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 17] Καὶ ἐξήνεγκα αὐτοὺς ἐπὶ ἄρχοντας ἐν ἀργυρίῳ τοῦ τόπου, καὶ ἔθηκα ἐν στόματι αὐτῶν λόγους λαλῆσαι πρὸς τοὺς ἀδελφοὺς αὐτῶν τῶν Ἀθινεὶμ ἐν ἀργυρίῳ τοῦ τόπου, τοῦ ἐνέγκαι ἡμῖν ᾄδοντας εἰς οἶκον Θεοῦ ἡμῶν.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 18] Καὶ ἤλθοσαν ἡμῖν ὡς χεὶρ Θεοῦ ἡμῶν ἀγαθὴ ἐφʼ ἡμᾶς, ἀνὴρ σαχὼν ἀπὸ υἱῶν Μοολὶ, υἱοῦ Λευὶ, υἱοῦ Ἰσραήλ· καὶ ἀρχὴν ἦλθον οἱ υἱοὶ αὐτοῦ καὶ ἀδελφοὶ αὐτοῦ δεκαοκτώ·
[LXX | EL | OT | Ezra | Chapter 8 | Verse 19] Καὶ τὸν Ἀσεβία, καὶ τὸν Ἰσαΐα ἀπὸ τῶν υἱῶν Μεραρὶ, ἀδελφοὶ αὐτοῦ καὶ υἱοὶ αὐτοῦ εἴκοσι.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 20] Καὶ ἀπὸ τῶν Ναθινὶμ, ὧν ἔδωκε Δαυὶδ καὶ οἱ ἄρχοντες εἰς δουλείαν τῶν Λευιτῶν, Ναθινὶμ διακόσιοι εἴκοσι, πάντες συνήχθησαν ἐν ὀνόμασι.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 21] Καὶ ἐκάλεσα ἐκεῖ νηστείαν ἐπὶ τὸν ποταμὸν Ἀουὲ, τοῦ ταπεινωθῆναι ἐνώπιον τοῦ Θεοῦ ἡμῶν, ζητῆσαι παρʼ αὐτοῦ ὁδὸν εὐθείαν ἡμῖν καὶ τοῖς τέκνοις ἡμῶν καὶ πάσῃ τῇ κτήσει ἡμῶν·
[LXX | EL | OT | Ezra | Chapter 8 | Verse 22] Ὅτι ᾐσχύνθην αἰτήσασθαι παρὰ τοῦ βασιλέως δύναμιν καὶ ἱππεῖς σῶσαι ἡμᾶς ἀπὸ ἐχθροῦ ἐν τῇ ὁδῷ, ὅτι εἴπαμεν τῷ βασιλεῖ, λέγοντες, χεὶρ τοῦ Θεου ἡμῶν ἐπὶ πάντας τοὺς ζητοῦντας αὐτὸν εἰς ἀγαθόν· καὶ κράτος αὐτοῦ, καὶ θυμὸς αὐτοῦ, ἐπὶ πάντας τοὺς ἐγκαταλείποντας αὐτόν.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 23] Καὶ ἐνηστεύσαμεν, καὶ ἐζητήσαμεν παρὰ τοῦ Θεοῦ ἡμῶν περὶ τούτου, καὶ ἐπήκουσεν ἡμῖν.
[LXX | EL | OT | Ezra | Chapter 8 | Verse 24] Καὶ διέστειλα ἀπὸ ἀρχόντων τῶν ἱερέων δώδεκα, τῷ Σαραΐα, τῷ Ἀσαβία, καὶ μετʼ αὐτῶν ἀπὸ ἀδελφῶν αὐτῶν δέκα.
