[LXX | EL | OT | Ezra | Chapter 4 | Verse 1] Καὶ ἤκουσαν οἱ θλίβοντες Ἰούδα καὶ Βενιαμὶν, ὅτι υἱοὶ τῆς ἀποικίας οἰκοδομοῦσιν οἶκον τῷ Κυρίῳ Θεῷ Ἰσραὴλ,
[LXX | EL | OT | Ezra | Chapter 4 | Verse 2] καὶ ἤγγισαν πρὸς Ζοροβάβελ καὶ πρὸς τοὺς ἄρχοντας τῶν πατριῶν, καὶ εἶπον αὐτοῖς, οἰκοδομήσομεν μεθʼ ὑμῶν, ὅτι ὡς ὑμεῖς ἐκζητοῦμεν τῷ Θεῷ ἡμῶν, καὶ αὐτῷ ἡμεῖς θυσιάζομεν ἀπὸ ἡμερῶν Ἀσαραδὰν βασιλέως Ἀσσοὺρ τοῦ ἐνέγκαντος ἡμᾶς ὧδε.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 3] Καὶ εἶπε πρὸς αὐτοὺς Ζοροβάβελ καὶ Ἰησοῦς καὶ οἱ κατάλοιποι τῶν ἀρχόντων τῶν πατριῶν τοῦ Ἰσραὴλ, οὐχ ἡμῖν καὶ ὑμῖν τοῦ οἰκοδομῆσαι οἶκον τῷ Θεῷ ἡμῶν, ὅτι ἡμεῖς ἐπὶ τοαυτὸ οἰκοδομήσομεν τῷ Κυρίω Θεῷ ἡμῶν, ὡς ἐνετείλατο ἡμῖν Κύρος ὁ βασιλεὺς Περσῶν.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 4] Καὶ ἦν ὁ λαὸς τῆς γῆς ἐκλύων τὰς χεῖρας τοῦ λαοῦ Ἰούδα, καὶ ἐνεπόδιζον αὐτοὺς οἰκοδομεῖν,
[LXX | EL | OT | Ezra | Chapter 4 | Verse 5] καὶ μισθούμενοι ἐπʼ αὐτοὺς βουλευόμενοι τοῦ διασκεδάσαι βουλὴν αὐτῶν πάσας τὰς ἡμέρας Κύρου βασιλέως Περσῶν, καὶ ἕως βασιλείας Δαρείου βασιλείας Περσῶν.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 6] Καὶ ἐν βασιλείᾳ Ἀσσουήρου, καὶ ἐν ἀρχῇ βασιλείας αὐτοῦ ἔγραψαν ἐπιστολὴν ἐπὶ οἰκοῦντας Ἰούδα καὶ Ἱερουσαλήμ.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 7] Καὶ ἐν ἡμέραις Ἀρθασασθὰ ἔγραψεν ἐν εἰρήνῃ Μιθραδάτῃ Ταβεὴλ καὶ τοῖς λοιποῖς συνδούλοις· πρὸς Ἀρθασασθὰ βασιλέα Περσῶν ἔγραψεν ὁ φορολόγος γραφὴν Συριστὶ καὶ ἡρμηνευμένην.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 8] Ῥεοὺμ βαλτὰμ καὶ Σαμψὰ ὁ γραμματεὺς ἔγραψαν ἐπιστολὴν μίαν κατὰ Ἱερουσαλὴμ τῷ Ἀρθασασθὰ βασιλεῖ.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 9] Τάδε ἔκρινε Ῥεοὺμ βαλτὰμ καὶ Σαμψὰ ὁ γραμματεὺς καὶ οἱ κατάλοιποι σύνδουλοι ἡμῶν, Δειναῖοι, Ἀφαρσαθαχαῖοι, Ταρφαλαῖοι, Ἀφαρσαῖοι, Ἀρχυαῖοι, Βαβυλώνιοι, Σουσαναχαῖοι, Δαυαῖοι,
[LXX | EL | OT | Ezra | Chapter 4 | Verse 10] καὶ οἱ κατάλοιποι ἐθνῶν ὧν ἀπῴκισεν Ἀσσεναφὰρ ὁ μέγας καὶ ὁ τίμιος, καὶ κατῴκισεν αὐτοὺς ἐν πόλεσι τῆς Σομόρων καὶ τὸ κατάλοιπον πέραν τοῦ ποταμοῦ.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 11] Αὕτη ἡ διαταγὴ τῆς ἐπιστολῆς, ἧς ἀπέστειλαν πρὸς αὐτόν· πρὸς Ἀρθασασθὰ βασιλέα παῖδές σου ἄνδρες πέραν τοῦ ποταμοῦ.
