[ASV | EN | OT | Lamentations | Chapter 3 | Verse 1] I am the man that hath seen affliction by the rod of his wrath.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 2] He hath led me and caused me to walk in darkness, and not in light.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 3] Surely against me he turneth his hand again and again all the day.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 4] My flesh and my skin hath he made old; he hath broken my bones.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 5] He hath built against me, and compassed me with gall and travail.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 6] He hath made me to dwell in dark places, as those that have been long dead.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 7] He hath walled me about, that I cannot go forth; he hath made my chain heavy.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 8] Yea, when I cry, and call for help, he shutteth out my prayer.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 9] He hath walled up my ways with hewn stone; he hath made my paths crooked.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 10] He is unto me as a bear lying in wait, as a lion in secret places.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 11] He hath turned aside my ways, and pulled me in pieces; he hath made me desolate.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 12] He hath bent his bow, and set me as a mark for the arrow.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 13] He hath caused the shafts of his quiver to enter into my kidneys.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 14] I am become a derision to all my people, and their song all the day.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 15] He hath filled me with bitterness, he hath sated me with wormwood.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 16] He hath also broken my teeth with gravel stones; he hath covered me with ashes.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 17] And thou hast removed my soul far off from peace; I forgat prosperity.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 18] And I said, My strength is perished, and mine expectation from Jehovah.
