[ASV | EN | OT | Lamentations | Chapter 5 | Verse 1] Remember, O Jehovah, what is come upon us: Behold, and see our reproach.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 2] Our inheritance is turned unto strangers, Our houses unto aliens.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 3] We are orphans and fatherless; Our mothers are as widows.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 4] We have drunken our water for money; Our wood is sold unto us.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 5] Our pursuers are upon our necks: We are weary, and have no rest.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 6] We have given the hand to the Egyptians, And to the Assyrians, to be satisfied with bread.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 7] Our fathers sinned, and are not; And we have borne their iniquities.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 8] Servants rule over us: There is none to deliver us out of their hand.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 9] We get our bread at the peril of our lives, Because of the sword of the wilderness.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 10] Our skin is black like an oven, Because of the burning heat of famine.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 11] They ravished the women in Zion, The virgins in the cities of Judah.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 12] Princes were hung up by their hand: The faces of elders were not honored.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 13] The young men bare the mill; And the children stumbled under the wood.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 14] The elders have ceased from the gate, The young men from their music.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 15] The joy of our heart is ceased; Our dance is turned into mourning.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 16] The crown is fallen from our head: Woe unto us! for we have sinned.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 17] For this our heart is faint; For these things our eyes are dim;
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 18] For the mountain of Zion, which is desolate: The foxes walk upon it.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 19] Thou, O Jehovah, abidest forever; Thy throne is from generation to generation.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 20] Wherefore dost thou forget us forever, And forsake us so long time?
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 21] Turn thou us unto thee, O Jehovah, and we shall be turned; Renew our days as of old.
[ASV | EN | OT | Lamentations | Chapter 5 | Verse 22] But thou hast utterly rejected us; Thou art very wroth against us.
