[OEB | EN | NT | Titus | Chapter 2 | Verse 1] You however, should speak of such subjects as properly have a place in sound teaching.
[OEB | EN | NT | Titus | Chapter 2 | Verse 2] Teach that the older men should be soberly clear minded, dignified and self-controlled – sound in faith, love, and patient endurance.
[OEB | EN | NT | Titus | Chapter 2 | Verse 3] So, too, that the older women should live reverent lives, not slanderers, not slaves to excessive drinking.
[OEB | EN | NT | Titus | Chapter 2 | Verse 4] They should teach what is good, so as to train the younger women to love their husbands and children,
[OEB | EN | NT | Titus | Chapter 2 | Verse 5] and to be self-controlled, pure-minded, to be watching over their home, to be kind, respecting the authority of their husbands, so that no one will speak badly of God’s message.
[OEB | EN | NT | Titus | Chapter 2 | Verse 6] In the same way with the younger men – encourage them to be self-controlled.
[OEB | EN | NT | Titus | Chapter 2 | Verse 7] In all things, set an example of doing good. In your teaching, show integrity and seriousness –
[OEB | EN | NT | Titus | Chapter 2 | Verse 8] let the instruction that you give be sound and above reproach, so that those who oppose you may be ashamed when they fail to find anything bad to say about us.
[OEB | EN | NT | Titus | Chapter 2 | Verse 9] Tell slaves to respect their owner’s authority in all circumstances, and to try their best to please them.
[OEB | EN | NT | Titus | Chapter 2 | Verse 10] Teach them not to contradict or to pilfer, but to show such praiseworthy fidelity in everything, as to recommend the teaching about God our Saviour by all that they do.
[OEB | EN | NT | Titus | Chapter 2 | Verse 11] For the loving kindness of God has been revealed, bringing salvation for all,
[OEB | EN | NT | Titus | Chapter 2 | Verse 12] leading us to renounce ungodliness and worldly desires, and to live self-controlled, upright, and godly lives here in this present age,
[OEB | EN | NT | Titus | Chapter 2 | Verse 13] while awaiting our blessed hope – the appearing in glory of our great God and Saviour, Christ Jesus.
[OEB | EN | NT | Titus | Chapter 2 | Verse 14] For he gave himself on our behalf, to deliver us from all wickedness, and to purify for himself a people who should be truly his own and eager to do good.
[OEB | EN | NT | Titus | Chapter 2 | Verse 15] Tell them of all this, and encourage and rebuke with all authority. Do not let anyone belittle you.
