[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 1] Οἴδαμεν γὰρ ὅτι ἐὰν ἡ ἐπίγειος ἡμῶν οἰκία τοῦ σκήνους καταλυθῇ, οἰκοδομὴν ἐκ θεοῦ ἔχομεν οἰκίαν ἀχειροποίητον αἰώνιον ἐν τοῖς οὐρανοῖς.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 2] καὶ γὰρ ἐν τούτῳ στενάζομεν, τὸ οἰκητήριον ἡμῶν τὸ ἐξ οὐρανοῦ ἐπενδύσασθαι ἐπιποθοῦντες,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 3] ⸂εἴ γε⸃ καὶ ⸀ἐνδυσάμενοι οὐ γυμνοὶ εὑρεθησόμεθα.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 4] καὶ γὰρ οἱ ὄντες ἐν τῷ σκήνει στενάζομεν βαρούμενοι ἐφʼ ᾧ οὐ θέλομεν ἐκδύσασθαι ἀλλʼ ἐπενδύσασθαι, ἵνα καταποθῇ τὸ θνητὸν ὑπὸ τῆς ζωῆς.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 5] ὁ δὲ κατεργασάμενος ἡμᾶς εἰς αὐτὸ τοῦτο θεός, ⸀ὁ δοὺς ἡμῖν τὸν ἀρραβῶνα τοῦ πνεύματος.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 6] Θαρροῦντες οὖν πάντοτε καὶ εἰδότες ὅτι ἐνδημοῦντες ἐν τῷ σώματι ἐκδημοῦμεν ἀπὸ τοῦ κυρίου,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 7] διὰ πίστεως γὰρ περιπατοῦμεν, οὐ διὰ εἴδους—
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 8] θαρροῦμεν δὲ καὶ εὐδοκοῦμεν μᾶλλον ἐκδημῆσαι ἐκ τοῦ σώματος καὶ ἐνδημῆσαι πρὸς τὸν κύριον·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 9] διὸ καὶ φιλοτιμούμεθα, εἴτε ἐνδημοῦντες εἴτε ἐκδημοῦντες, εὐάρεστοι αὐτῷ εἶναι.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 10] τοὺς γὰρ πάντας ἡμᾶς φανερωθῆναι δεῖ ἔμπροσθεν τοῦ βήματος τοῦ Χριστοῦ, ἵνα κομίσηται ἕκαστος τὰ διὰ τοῦ σώματος πρὸς ἃ ἔπραξεν, εἴτε ἀγαθὸν εἴτε ⸀φαῦλον.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 11] Εἰδότες οὖν τὸν φόβον τοῦ κυρίου ἀνθρώπους πείθομεν, θεῷ δὲ πεφανερώμεθα· ἐλπίζω δὲ καὶ ἐν ταῖς συνειδήσεσιν ὑμῶν πεφανερῶσθαι.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 12] ⸀οὐ πάλιν ἑαυτοὺς συνιστάνομεν ὑμῖν, ἀλλὰ ἀφορμὴν διδόντες ὑμῖν καυχήματος ὑπὲρ ἡμῶν, ἵνα ἔχητε πρὸς τοὺς ἐν προσώπῳ καυχωμένους καὶ ⸂μὴ ἐν⸃ καρδίᾳ.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 13] εἴτε γὰρ ἐξέστημεν, θεῷ· εἴτε σωφρονοῦμεν, ὑμῖν.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 14] ἡ γὰρ ἀγάπη τοῦ Χριστοῦ συνέχει ἡμᾶς, κρίναντας τοῦτο ⸀ὅτι εἷς ὑπὲρ πάντων ἀπέθανεν· ἄρα οἱ πάντες ἀπέθανον·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 15] καὶ ὑπὲρ πάντων ἀπέθανεν ἵνα οἱ ζῶντες μηκέτι ἑαυτοῖς ζῶσιν ἀλλὰ τῷ ὑπὲρ αὐτῶν ἀποθανόντι καὶ ἐγερθέντι.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 16] Ὥστε ἡμεῖς ἀπὸ τοῦ νῦν οὐδένα οἴδαμεν κατὰ σάρκα· ⸀εἰ καὶ ἐγνώκαμεν κατὰ σάρκα Χριστόν, ἀλλὰ νῦν οὐκέτι γινώσκομεν.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 17] ὥστε εἴ τις ἐν Χριστῷ, καινὴ κτίσις· τὰ ἀρχαῖα παρῆλθεν, ἰδοὺ γέγονεν ⸀καινά·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 5 | Verse 18] τὰ δὲ πάντα ἐκ τοῦ θεοῦ τοῦ καταλλάξαντος ἡμᾶς ἑαυτῷ ⸀διὰ Χριστοῦ καὶ δόντος ἡμῖν τὴν διακονίαν τῆς καταλλαγῆς,
