[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 1] Τρίτον τοῦτο ἔρχομαι πρὸς ὑμᾶς· ἐπὶ στόματος δύο μαρτύρων καὶ τριῶν σταθήσεται πᾶν ῥῆμα.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 2] προείρηκα καὶ προλέγω ὡς παρὼν τὸ δεύτερον καὶ ἀπὼν ⸀νῦν, τοῖς προημαρτηκόσιν καὶ τοῖς λοιποῖς πᾶσιν, ὅτι ἐὰν ἔλθω εἰς τὸ πάλιν οὐ φείσομαι,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 3] ἐπεὶ δοκιμὴν ζητεῖτε τοῦ ἐν ἐμοὶ λαλοῦντος Χριστοῦ· ὃς εἰς ὑμᾶς οὐκ ἀσθενεῖ ἀλλὰ δυνατεῖ ἐν ὑμῖν,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 4] καὶ ⸀γὰρ ἐσταυρώθη ἐξ ἀσθενείας, ἀλλὰ ζῇ ἐκ δυνάμεως θεοῦ. καὶ γὰρ ἡμεῖς ἀσθενοῦμεν ἐν αὐτῷ, ἀλλὰ ⸀ζήσομεν σὺν αὐτῷ ἐκ δυνάμεως θεοῦ εἰς ὑμᾶς.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 5] Ἑαυτοὺς πειράζετε εἰ ἐστὲ ἐν τῇ πίστει, ἑαυτοὺς δοκιμάζετε· ἢ οὐκ ἐπιγινώσκετε ἑαυτοὺς ὅτι ⸂Ἰησοῦς Χριστὸς⸃ ἐν ⸀ὑμῖν; εἰ μήτι ἀδόκιμοί ἐστε.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 6] ἐλπίζω δὲ ὅτι γνώσεσθε ὅτι ἡμεῖς οὐκ ἐσμὲν ἀδόκιμοι.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 7] ⸀εὐχόμεθα δὲ πρὸς τὸν θεὸν μὴ ποιῆσαι ὑμᾶς κακὸν μηδέν, οὐχ ἵνα ἡμεῖς δόκιμοι φανῶμεν, ἀλλʼ ἵνα ὑμεῖς τὸ καλὸν ποιῆτε, ἡμεῖς δὲ ὡς ἀδόκιμοι ὦμεν.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 8] οὐ γὰρ δυνάμεθά τι κατὰ τῆς ἀληθείας, ἀλλὰ ὑπὲρ τῆς ἀληθείας.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 9] χαίρομεν γὰρ ὅταν ἡμεῖς ἀσθενῶμεν, ὑμεῖς δὲ δυνατοὶ ἦτε· ⸀τοῦτο καὶ εὐχόμεθα, τὴν ὑμῶν κατάρτισιν.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 10] διὰ τοῦτο ταῦτα ἀπὼν γράφω, ἵνα παρὼν μὴ ἀποτόμως χρήσωμαι κατὰ τὴν ἐξουσίαν ἣν ⸂ὁ κύριος ἔδωκέν μοι⸃, εἰς οἰκοδομὴν καὶ οὐκ εἰς καθαίρεσιν.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 11] Λοιπόν, ἀδελφοί, χαίρετε, καταρτίζεσθε, παρακαλεῖσθε, τὸ αὐτὸ φρονεῖτε, εἰρηνεύετε, καὶ ὁ θεὸς τῆς ἀγάπης καὶ εἰρήνης ἔσται μεθʼ ὑμῶν.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 12] ἀσπάσασθε ἀλλήλους ἐν ἁγίῳ φιλήματι. ἀσπάζονται ὑμᾶς οἱ ἅγιοι πάντες.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 13 | Verse 13] ἡ χάρις τοῦ κυρίου Ἰησοῦ Χριστοῦ καὶ ἡ ἀγάπη τοῦ θεοῦ καὶ ἡ κοινωνία τοῦ ἁγίου πνεύματος μετὰ πάντων ⸀ὑμῶν.
