[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 1] Συνεργοῦντες δὲ καὶ παρακαλοῦμεν μὴ εἰς κενὸν τὴν χάριν τοῦ θεοῦ δέξασθαι ὑμᾶς·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 2] λέγει γάρ· Καιρῷ δεκτῷ ἐπήκουσά σου καὶ ἐν ἡμέρᾳ σωτηρίας ἐβοήθησά σοι· ἰδοὺ νῦν καιρὸς εὐπρόσδεκτος, ἰδοὺ νῦν ἡμέρα σωτηρίας·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 3] μηδεμίαν ἐν μηδενὶ διδόντες προσκοπήν, ἵνα μὴ μωμηθῇ ἡ διακονία,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 4] ἀλλʼ ἐν παντὶ ⸀συνιστάνοντες ἑαυτοὺς ὡς θεοῦ διάκονοι· ἐν ὑπομονῇ πολλῇ, ἐν θλίψεσιν, ἐν ἀνάγκαις, ἐν στενοχωρίαις,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 5] ἐν πληγαῖς, ἐν φυλακαῖς, ἐν ἀκαταστασίαις, ἐν κόποις, ἐν ἀγρυπνίαις, ἐν νηστείαις,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 6] ἐν ἁγνότητι, ἐν γνώσει, ἐν μακροθυμίᾳ, ἐν χρηστότητι, ἐν πνεύματι ἁγίῳ, ἐν ἀγάπῃ ἀνυποκρίτῳ,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 7] ἐν λόγῳ ἀληθείας, ἐν δυνάμει θεοῦ· διὰ τῶν ὅπλων τῆς δικαιοσύνης τῶν δεξιῶν καὶ ἀριστερῶν,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 8] διὰ δόξης καὶ ἀτιμίας, διὰ δυσφημίας καὶ εὐφημίας· ὡς πλάνοι καὶ ἀληθεῖς,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 9] ὡς ἀγνοούμενοι καὶ ἐπιγινωσκόμενοι, ὡς ἀποθνῄσκοντες καὶ ἰδοὺ ζῶμεν, ὡς παιδευόμενοι καὶ μὴ θανατούμενοι,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 10] ὡς λυπούμενοι ἀεὶ δὲ χαίροντες, ὡς πτωχοὶ πολλοὺς δὲ πλουτίζοντες, ὡς μηδὲν ἔχοντες καὶ πάντα κατέχοντες.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 11] Τὸ στόμα ἡμῶν ἀνέῳγεν πρὸς ὑμᾶς, Κορίνθιοι, ἡ καρδία ἡμῶν πεπλάτυνται·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 12] οὐ στενοχωρεῖσθε ἐν ἡμῖν, στενοχωρεῖσθε δὲ ἐν τοῖς σπλάγχνοις ὑμῶν·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 13] τὴν δὲ αὐτὴν ἀντιμισθίαν, ὡς τέκνοις λέγω, πλατύνθητε καὶ ὑμεῖς.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 14] Μὴ γίνεσθε ἑτεροζυγοῦντες ἀπίστοις· τίς γὰρ μετοχὴ δικαιοσύνῃ καὶ ἀνομίᾳ, ⸂ἢ τίς⸃ κοινωνία φωτὶ πρὸς σκότος;
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 15] τίς δὲ συμφώνησις ⸀Χριστοῦ πρὸς Βελιάρ, ἢ τίς μερὶς πιστῷ μετὰ ἀπίστου;
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 16] τίς δὲ συγκατάθεσις ναῷ θεοῦ μετὰ εἰδώλων; ⸂ἡμεῖς γὰρ ναὸς θεοῦ ἐσμεν⸃ ζῶντος· καθὼς εἶπεν ὁ θεὸς ὅτι Ἐνοικήσω ἐν αὐτοῖς καὶ ἐμπεριπατήσω, καὶ ἔσομαι αὐτῶν θεός, καὶ αὐτοὶ ἔσονταί ⸀μου λαός.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 17] διὸ ἐξέλθατε ἐκ μέσου αὐτῶν, καὶ ἀφορίσθητε, λέγει κύριος, καὶ ἀκαθάρτου μὴ ἅπτεσθε· κἀγὼ εἰσδέξομαι ὑμᾶς·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 6 | Verse 18] καὶ ἔσομαι ὑμῖν εἰς πατέρα, καὶ ὑμεῖς ἔσεσθέ μοι εἰς υἱοὺς καὶ θυγατέρας, λέγει κύριος παντοκράτωρ.
