[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 1] This is the burden that Habakkuk the prophet received in a vision:
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 2] How long, O LORD, must I call for help but You do not hear, or cry out to You, “Violence!” but You do not save?
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 3] Why do You make me see iniquity? Why do You tolerate wrongdoing? Destruction and violence are before me. Strife is ongoing, and conflict abounds.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 4] Therefore the law is paralyzed, and justice never goes forth. For the wicked hem in the righteous, so that justice is perverted.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 5] “Look at the nations and observe— be utterly astounded! For I am doing a work in your days that you would never believe even if someone told you.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 6] For behold, I am raising up the Chaldeans — that ruthless and impetuous nation which marches through the breadth of the earth to seize dwellings not their own.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 7] They are dreaded and feared; from themselves they derive justice and sovereignty.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 8] Their horses are swifter than leopards, fiercer than wolves of the night. Their horsemen charge ahead, and their cavalry comes from afar. They fly like a vulture, swooping down to devour.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 9] All of them come bent on violence; their hordes advance like the east wind; they gather prisoners like sand.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 10] They scoff at kings and make rulers an object of scorn. They laugh at every fortress and build up siege ramps to seize it.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 11] Then they sweep by like the wind and pass on through. They are guilty; their own strength is their god.”
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 12] Are You not from everlasting, O LORD, my God, my Holy One? We will not die. O LORD, You have appointed them to execute judgment; O Rock, You have established them for correction.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 13] Your eyes are too pure to look upon evil, and You cannot tolerate wrongdoing. So why do You tolerate the faithless? Why are You silent while the wicked swallow up those more righteous than themselves?
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 14] You have made men like the fish of the sea, like creeping things that have no ruler.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 15] The foe pulls all of them up with a hook; he catches them in his dragnet, and gathers them in his fishing net; so he rejoices gladly.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 16] Therefore he sacrifices to his dragnet and burns incense to his fishing net, for by these things his portion is sumptuous and his food is rich.
[BSB | EN | OT | Habakkuk | Chapter 1 | Verse 17] Will he, therefore, empty his net and continue to slay nations without mercy?
