[IRV | PA | OT | Job | Chapter 14 | Verse 1] “ਮਨੁੱਖ ਜੋ ਇਸਤਰੀ ਤੋਂ ਜੰਮਦਾ ਹੈ ਉਹ ਥੋੜ੍ਹੇ ਹੀ ਦਿਨਾਂ ਦਾ ਹੈ ਅਤੇ ਦੁੱਖ ਨਾਲ ਭਰਿਆ ਰਹਿੰਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 14 | Verse 2] ਉਹ ਫੁੱਲ ਵਾਂਗੂੰ ਖਿੜਦਾ, ਫੇਰ ਤੋੜਿਆ ਜਾਂਦਾ ਹੈ, ਉਹ ਪਰਛਾਵੇਂ ਵਾਂਗੂੰ ਢੱਲ਼ ਜਾਂਦਾ ਅਤੇ ਠਹਿਰਦਾ ਨਹੀਂ।
[IRV | PA | OT | Job | Chapter 14 | Verse 3] ਕੀ ਤੂੰ ਅਜਿਹੇ ਉੱਤੇ ਆਪਣੀਆਂ ਅੱਖਾਂ ਲਾਉਂਦਾ ਹੈਂ, ਅਤੇ ਮੈਨੂੰ ਆਪਣੇ ਨਾਲ ਅਦਾਲਤ ਵਿੱਚ ਲਿਆਉਂਦਾ ਹੈਂ?
[IRV | PA | OT | Job | Chapter 14 | Verse 4] ਕੌਣ ਅਸ਼ੁੱਧ ਵਿੱਚੋਂ ਸ਼ੁੱਧ ਵਸਤੂ ਕੱਢ ਸਕਦਾ ਹੈ? ਕੋਈ ਨਹੀਂ।
[IRV | PA | OT | Job | Chapter 14 | Verse 5] ਮਨੁੱਖ ਦੇ ਦਿਨ ਠਹਿਰਾਏ ਹੋਏ ਹਨ, ਅਤੇ ਉਹ ਦੇ ਮਹੀਨਿਆਂ ਦੀ ਗਿਣਤੀ ਤੂੰ ਕੀਤੀ ਹੋਈ ਹੈ, ਤੂੰ ਉਹ ਦੀਆਂ ਹੱਦਾਂ ਨੂੰ ਬਣਾਇਆ ਜਿਸ ਨੂੰ ਉਹ ਪਾਰ ਨਹੀਂ ਕਰ ਸਕਦਾ।
[IRV | PA | OT | Job | Chapter 14 | Verse 6] ਉਹ ਦੇ ਵੱਲੋਂ ਆਪਣੀ ਨਿਗਾਹ ਹਟਾ ਲੈ, ਤਾਂ ਜੋ ਉਹ ਅਰਾਮ ਕਰੇ, ਜਦ ਤੱਕ ਉਹ ਮਜ਼ਦੂਰ ਵਾਂਗੂੰ ਆਪਣੇ ਦਿਨ ਪੂਰੇ ਨਾ ਕਰ ਲਵੇ।
[IRV | PA | OT | Job | Chapter 14 | Verse 7] “ਰੁੱਖ ਲਈ ਤਾਂ ਆਸ ਹੈ, ਕਿ ਜੇ ਉਹ ਕੱਟਿਆ ਜਾਵੇ ਤਾਂ ਫੇਰ ਫੁੱਟੇਗਾ, ਅਤੇ ਉਹ ਦੀਆਂ ਕੂੰਬਲਾਂ ਨਾ ਮੁੱਕਣਗੀਆਂ।
[IRV | PA | OT | Job | Chapter 14 | Verse 8] ਭਾਵੇਂ ਉਸ ਦੀ ਜੜ੍ਹ ਧਰਤੀ ਵਿੱਚ ਪੁਰਾਣੀ ਪੈ ਜਾਵੇ, ਅਤੇ ਉਸ ਦਾ ਟੁੰਡ ਮਿੱਟੀ ਵਿੱਚ ਗਲ਼ ਜਾਵੇ
[IRV | PA | OT | Job | Chapter 14 | Verse 9] ਤਾਂ ਵੀ ਪਾਣੀ ਦੀ ਖੁਸ਼ਬੂ ਤੋਂ ਉਹ ਦੀਆਂ ਕੂੰਬਲਾਂ ਫੁੱਟ ਨਿੱਕਲਣਗੀਆਂ ਅਤੇ ਬੂਟੇ ਵਾਂਗੂੰ ਉਹ ਦੀਆਂ ਟਹਿਣੀਆਂ ਨਿੱਕਲਣਗੀਆਂ।
[IRV | PA | OT | Job | Chapter 14 | Verse 10] ਪਰ ਮਨੁੱਖ ਮਰ ਜਾਂਦਾ ਅਤੇ ਦੱਬਿਆ ਜਾਂਦਾ ਹੈ, ਅਤੇ ਜਦ ਮਨੁੱਖ ਪ੍ਰਾਣ ਛੱਡ ਦਿੰਦਾ ਹੈ ਤਾਂ ਉਹ ਕਿੱਥੇ ਹੈ?
[IRV | PA | OT | Job | Chapter 14 | Verse 11] ਜਿਵੇਂ ਪਾਣੀ ਸਮੁੰਦਰ ਵਿੱਚੋਂ ਘੱਟ ਜਾਂਦਾ ਹੈ, ਅਤੇ ਦਰਿਆ ਸੁੱਕ ਕੇ ਮੁੱਕ ਜਾਂਦਾ ਹੈ,
