[IRV | PA | OT | Job | Chapter 5 | Verse 1] “ਜ਼ਰਾ ਪੁਕਾਰ ਕੇ ਵੇਖ, ਕੀ ਕੋਈ ਹੈ ਜੋ ਤੈਨੂੰ ਉੱਤਰ ਦੇਵੇਗਾ! ਜਾਂ ਪਵਿੱਤਰਾਂ ਵਿੱਚੋਂ ਤੂੰ ਕਿਸ ਦੇ ਵੱਲ ਮੂੰਹ ਕਰੇਂਗਾ?
[IRV | PA | OT | Job | Chapter 5 | Verse 2] ਕੁੜ੍ਹਨਾ ਤਾਂ ਮੂਰਖ ਨੂੰ ਵੱਢ ਸੁੱਟਦਾ ਹੈ ਅਤੇ ਜਲਣ ਭੋਲਿਆਂ-ਭਾਲਿਆਂ ਨੂੰ ਮਾਰ ਸੁੱਟਦੀ ਹੈ।
[IRV | PA | OT | Job | Chapter 5 | Verse 3] ਮੈਂ ਮੂਰਖ ਨੂੰ ਜੜ੍ਹ ਫੜ੍ਹਦੇ ਵੇਖਿਆ ਹੈ, ਪਰ ਅਚਾਨਕ ਮੈਂ ਉਹ ਦੇ ਨਿਵਾਸ-ਸਥਾਨ ਨੂੰ ਫਿਟਕਾਰਿਆ।
[IRV | PA | OT | Job | Chapter 5 | Verse 4] ਉਹ ਦੇ ਬੱਚੇ ਸੁਰੱਖਿਆ ਤੋਂ ਦੂਰ ਹਨ, ਅਤੇ ਫਾਟਕ ਵਿੱਚ ਮਿੱਧੇ ਜਾਂਦੇ ਹਨ, ਅਤੇ ਉਹਨਾਂ ਦਾ ਛੁਡਾਉਣ ਵਾਲਾ ਕੋਈ ਨਹੀਂ ਹੁੰਦਾ,
[IRV | PA | OT | Job | Chapter 5 | Verse 5] ਮੂਰਖਾਂ ਦੀ ਫ਼ਸਲ ਭੁੱਖੇ ਲੋਕ ਖਾ ਲੈਂਦੇ ਹਨ, ਸਗੋਂ ਕੰਡਿਆਂ ਵਿੱਚੋਂ ਵੀ ਕੱਢ ਲੈਂਦੇ ਹਨ, ਅਤੇ ਪਿਆਸਾ ਉਨ੍ਹਾਂ ਦੇ ਮਾਲ-ਧਨ ਨੂੰ ਫਾਹੀ ਲਾਉਂਦਾ ਹੈ,
[IRV | PA | OT | Job | Chapter 5 | Verse 6] ਦੁੱਖ ਤਾਂ ਮਿੱਟੀ ਵਿੱਚੋਂ ਨਹੀਂ ਨਿੱਕਲਦਾ, ਨਾ ਕਸ਼ਟ ਭੂਮੀ ਵਿੱਚੋਂ ਉੱਗਦਾ ਹੈ,
[IRV | PA | OT | Job | Chapter 5 | Verse 7] ਜਿਵੇਂ ਚਿੰਗਿਆੜੇ ਉਤਾਹਾਂ ਉੱਡਦੇ ਹਨ, ਤਿਵੇਂ ਹੀ ਮਨੁੱਖ ਕਸ਼ਟ ਭੋਗਣ ਲਈ ਹੀ ਜੰਮਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 5 | Verse 8] “ਪਰ ਮੈਂ ਤਾਂ ਪਰਮੇਸ਼ੁਰ ਦਾ ਖੋਜੀ ਰਹਾਂਗਾ, ਅਤੇ ਆਪਣਾ ਮੁਕੱਦਮਾ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਸੌਂਪ ਦੇਵਾਂਗਾ,
[IRV | PA | OT | Job | Chapter 5 | Verse 9] ਜਿਹੜਾ ਵੱਡੇ-ਵੱਡੇ ਅਥਾਹ ਕੰਮ ਅਤੇ ਅਣਗਿਣਤ ਅਚਰਜ਼ ਕਰਦਾ ਹੈ,
[IRV | PA | OT | Job | Chapter 5 | Verse 10] ਜਿਹੜਾ ਮੀਂਹ ਧਰਤੀ ਉੱਤੇ ਪਾਉਂਦਾ ਹੈ, ਅਤੇ ਖੇਤਾਂ ਉੱਤੇ ਪਾਣੀ ਵਰਸਾਉਂਦਾ ਹੈ,
[IRV | PA | OT | Job | Chapter 5 | Verse 11] ਇਸ ਤਰ੍ਹਾਂ ਉਹ ਨੀਵਿਆਂ ਨੂੰ ਉੱਚਾ ਕਰਦਾ ਅਤੇ ਮਾਤਮ ਕਰਨ ਵਾਲੇ ਉਚਾਈ ਤੇ ਪਹੁੰਚਾ ਕੇ ਬਚਾਏ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 5 | Verse 12] ਉਹ ਚਲਾਕਾਂ ਦੀਆਂ ਯੋਜਨਾਵਾਂ ਨੂੰ ਵਿਅਰਥ ਕਰ ਦਿੰਦਾ ਹੈ, ਅਤੇ ਉਹਨਾਂ ਦੇ ਹੱਥ ਸਫ਼ਲ ਨਹੀਂ ਹੁੰਦੇ।
[IRV | PA | OT | Job | Chapter 5 | Verse 13] ਉਹ ਬੁੱਧਵਾਨਾਂ ਨੂੰ ਉਹਨਾਂ ਦੀ ਚਤਰਾਈ ਵਿੱਚ ਫਸਾਉਂਦਾ ਹੈ ਅਤੇ ਛਲ ਕਰਨ ਵਾਲਿਆਂ ਦੀ ਸਲਾਹ ਛੇਤੀ ਮਿਟ ਜਾਂਦੀ ਹੈ।
[IRV | PA | OT | Job | Chapter 5 | Verse 14] ਦਿਨ ਵੇਲੇ ਉਨ੍ਹਾਂ ਉੱਤੇ ਹਨ੍ਹੇਰਾ ਛਾ ਜਾਂਦਾ ਹੈ, ਅਤੇ ਦੁਪਹਿਰ ਨੂੰ ਉਹ ਰਾਤ ਦੀ ਤਰ੍ਹਾਂ ਟੋਹੰਦੇ ਫਿਰਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 5 | Verse 15] ਪਰ ਉਹ ਕੰਗਾਲਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਮੂੰਹ ਦੀ ਤਲਵਾਰ ਤੋਂ ਅਤੇ ਤਕੜੇ ਦੇ ਹੱਥਾਂ ਤੋਂ ਬਚਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 5 | Verse 16] ਇਸ ਕਾਰਨ ਗਰੀਬ ਲਈ ਆਸ ਹੁੰਦੀ ਹੈ, ਅਤੇ ਬਦਕਾਰਾਂ ਦਾ ਮੂੰਹ ਬੰਦ ਹੋ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 5 | Verse 17] “ਵੇਖ, ਧੰਨ ਉਹ ਮਨੁੱਖ ਹੈ ਜਿਸ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਦਬਕਾਉਂਦਾ ਹੈ, ਇਸ ਲਈ ਸਰਬ ਸ਼ਕਤੀਮਾਨ ਦੀ ਤਾੜ ਨੂੰ ਤੁੱਛ ਨਾ ਜਾਣ।
[IRV | PA | OT | Job | Chapter 5 | Verse 18] ਕਿਉਂਕਿ ਉਹ ਹੀ ਘਾਇਲ ਕਰਦਾ, ਅਤੇ ਫੇਰ ਪੱਟੀ ਬੰਨ੍ਹਦਾ ਹੈ, ਉਹ ਹੀ ਸੱਟ ਮਾਰਦਾ ਹੈ ਅਤੇ ਫੇਰ ਉਹ ਦੇ ਹੱਥ ਚੰਗਾ ਵੀ ਕਰਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 5 | Verse 19] ਛੇਆਂ ਬਿਪਤਾਵਾਂ ਤੋਂ ਉਹ ਤੈਨੂੰ ਛੁਡਾਵੇਗਾ, ਸਗੋਂ ਸੱਤ ਵਿੱਚੋਂ ਵੀ ਕੋਈ ਬਦੀ ਤੈਨੂੰ ਨਾ ਛੂਹੇਗੀ।
