[IRV | PA | OT | Job | Chapter 41 | Verse 1] “ਕੀ ਤੂੰ ਲਿਵਯਾਥਾਨ ਨੂੰ ਕੁੰਡੀ ਨਾਲ ਬਾਹਰ ਖਿੱਚ ਸਕਦਾ ਹੈਂ, bਜਾਂ ਡੋਰੀ ਨਾਲ ਉਹ ਦੀ ਜੀਭ ਨੂੰ ਦਬਾ ਸਕਦਾ ਹੈਂ?
[IRV | PA | OT | Job | Chapter 41 | Verse 2] ਕੀ ਤੂੰ ਉਹ ਦੇ ਨੱਕ ਵਿੱਚ ਰੱਸਾ ਪਾ ਸਕਦਾ ਹੈਂ, ਜਾਂ ਉਹ ਦੇ ਜਬਾੜੇ ਨੂੰ ਮੇਖ ਨਾਲ ਵਿੰਨ੍ਹ ਸਕਦਾ ਹੈਂ?
[IRV | PA | OT | Job | Chapter 41 | Verse 3] ਕੀ ਉਹ ਤੇਰੇ ਅੱਗੇ ਬਹੁਤੀਆਂ ਮਿੰਨਤਾਂ ਕਰੇਗਾ, ਜਾਂ ਉਹ ਤੇਰੇ ਨਾਲ ਮਿੱਠੀਆਂ-ਮਿੱਠੀਆਂ ਗੱਲਾਂ ਕਰੇਗਾ?
[IRV | PA | OT | Job | Chapter 41 | Verse 4] ਕੀ ਉਹ ਤੇਰੇ ਨਾਲ ਨੇਮ ਬੰਨ੍ਹੇਗਾ, ਤਾਂ ਜੋ ਤੂੰ ਉਹ ਨੂੰ ਸਦਾ ਤੱਕ ਆਪਣਾ ਗੁਲਾਮ ਰੱਖੇਂ?
[IRV | PA | OT | Job | Chapter 41 | Verse 5] ਕੀ ਤੂੰ ਉਹ ਦੇ ਨਾਲ ਉਸ ਤਰ੍ਹਾਂ ਖੇਡੇਂਗਾ ਜਿਵੇਂ ਪੰਛੀ ਨਾਲ, ਜਾਂ ਆਪਣੀਆਂ ਕੁੜੀਆਂ ਦਾ ਜੀ ਬਹਿਲਾਉਣ ਲਈ ਉਹ ਨੂੰ ਬੰਨ੍ਹ ਕੇ ਰੱਖੇਂਗਾ?
[IRV | PA | OT | Job | Chapter 41 | Verse 6] ਕੀ ਮਾਛੀ ਉਹ ਦਾ ਸੌਦਾ ਕਰਨਗੇ, ਕੀ ਉਹ ਵਪਾਰੀਆਂ ਵਿੱਚ ਉਹ ਨੂੰ ਵੰਡਣਗੇ?
[IRV | PA | OT | Job | Chapter 41 | Verse 7] ਕੀ ਤੂੰ ਉਹ ਦੀ ਖੱਲ ਨੂੰ ਬਰਛਿਆਂ ਨਾਲ ਵਿੰਨ੍ਹ ਸਕਦਾ ਹੈਂ, ਜਾਂ ਉਹ ਦੇ ਸਿਰ ਨੂੰ ਮਾਛੀਆਂ ਦੇ ਤ੍ਰਿਸੂਲਾਂ ਨਾਲ?
[IRV | PA | OT | Job | Chapter 41 | Verse 8] ਜੇਕਰ ਤੂੰ ਆਪਣਾ ਹੱਥ ਉਸ ਦੇ ਉੱਤੇ ਧਰੇਂ ਤਾਂ ਤੂੰ ਉਸ ਲੜਾਈ ਨੂੰ ਹਮੇਸ਼ਾ ਯਾਦ ਰੱਖੇਂਗਾ, ਤੂੰ ਫੇਰ ਕਦੇ ਅਜਿਹਾ ਨਾ ਕਰੇਂਗਾ!
[IRV | PA | OT | Job | Chapter 41 | Verse 9] ਵੇਖ, ਉਸ ਨੂੰ ਫੜ੍ਹਨ ਦੀ ਆਸ ਰੱਖਣੀ ਵਿਅਰਥ ਹੈ, ਉਸ ਨੂੰ ਵੇਖਦਿਆਂ ਹੀ ਜੀਅ ਕੱਚਾ ਪੈ ਜਾਂਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 41 | Verse 10] ਕੋਈ ਐਨੀ ਤੱਤੀ ਤਬੀਅਤ ਦਾ ਨਹੀਂ, ਜੋ ਉਹ ਦੇ ਛੇੜਨ ਦੀ ਹਿੰਮਤ ਕਰੇ, ਫੇਰ ਕੌਣ ਹੈ ਜੋ ਮੇਰੇ ਸਨਮੁਖ ਖੜ੍ਹਾ ਰਹਿ ਸਕੇ?
[IRV | PA | OT | Job | Chapter 41 | Verse 11] ਕਿਸ ਨੇ ਪਹਿਲਾਂ ਮੈਨੂੰ ਕੁਝ ਦਿੱਤਾ ਕਿ ਮੈਨੂੰ ਕੁਝ ਮੋੜਨਾ ਪਵੇ? ਜੋ ਕੁਝ ਅਕਾਸ਼ ਦੇ ਹੇਠ ਹੈ, ਸੋ ਮੇਰਾ ਹੈ।
