[IRV | PA | OT | Job | Chapter 7 | Verse 1] “ਕੀ ਮਨੁੱਖ ਨੂੰ ਧਰਤੀ ਉੱਤੇ ਸਖ਼ਤ ਮਿਹਨਤ ਨਹੀਂ ਕਰਨੀ ਪੈਂਦੀ? ਅਤੇ ਉਹ ਦੇ ਦਿਨ ਮਜ਼ਦੂਰ ਦੇ ਦਿਨਾਂ ਦੀ ਤਰ੍ਹਾਂ ਨਹੀਂ ਹੁੰਦੇ?
[IRV | PA | OT | Job | Chapter 7 | Verse 2] ਜਿਵੇਂ ਕੋਈ ਦਾਸ ਛਾਂ ਨੂੰ ਲੋਚਦਾ ਹੈ, ਅਤੇ ਮਜ਼ਦੂਰ ਆਪਣੀ ਮਜ਼ਦੂਰੀ ਨੂੰ ਉਡੀਕਦਾ ਹੈ,
[IRV | PA | OT | Job | Chapter 7 | Verse 3] ਤਿਵੇਂ ਮੈਂ ਅਨਰਥ ਦੇ ਮਹੀਨਿਆਂ ਦਾ ਮਾਲਕ ਬਣਾਇਆ ਗਿਆ ਹਾਂ, ਅਤੇ ਕਲੇਸ਼ ਦੀਆਂ ਰਾਤਾਂ ਮੇਰੇ ਲਈ ਠਹਿਰਾਈਆਂ ਗਈਆਂ ਹਨ।
[IRV | PA | OT | Job | Chapter 7 | Verse 4] ਜਦ ਮੈਂ ਲੰਮਾ ਪੈਂਦਾ ਹਾਂ ਤਾਂ ਮੈਂ ਸੋਚਦਾ ਹਾਂ, ਮੈਂ ਕਦ ਉੱਠਾਂਗਾ? ਪਰ ਰਾਤ ਲੰਮੀ ਹੁੰਦੀ ਹੈ, ਅਤੇ ਮੈਂ ਸਵੇਰ ਤੱਕ ਪਾਸੇ ਲੈਂਦਾ-ਲੈਂਦਾ ਥੱਕ ਜਾਂਦਾ ਹਾਂ।
[IRV | PA | OT | Job | Chapter 7 | Verse 5] ਮੇਰਾ ਸਰੀਰ ਕੀੜਿਆਂ ਅਤੇ ਮਿੱਟੀ ਦੇ ਢੇਲਿਆਂ ਨਾਲ ਢੱਕਿਆ ਹੋਇਆ ਹੈ, ਮੇਰੀ ਚਮੜੀ ਆਕੜ ਜਾਂਦੀ, ਫਿਰ ਪੀਕ ਵਗ ਪੈਂਦੀ ਹੈ।
[IRV | PA | OT | Job | Chapter 7 | Verse 6] “ਮੇਰੇ ਦਿਨ ਜੁਲਾਹੇ ਦੀ ਨਾਲ ਤੋਂ ਵੀ ਕਾਹਲੇ ਹਨ, ਅਤੇ ਆਸ ਤੋਂ ਬਿਨ੍ਹਾਂ ਬੀਤਦੇ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 7 | Verse 7] ਯਾਦ ਰੱਖ ਕਿ ਮੇਰਾ ਜੀਵਨ ਸਾਹ ਹੀ ਹੈ, ਮੇਰੀ ਅੱਖ ਫੇਰ ਭਲਿਆਈ ਨਹੀਂ ਵੇਖੇਗੀ!
[IRV | PA | OT | Job | Chapter 7 | Verse 8] ਜਿਹੜੀ ਅੱਖ ਮੈਨੂੰ ਹੁਣ ਵੇਖਦੀ ਹੈ, ਉਹ ਫੇਰ ਨਹੀਂ ਵੇਖੇਗੀ, ਤੇਰੀਆਂ ਅੱਖਾਂ ਮੇਰੇ ਉੱਤੇ ਹੋਣਗੀਆਂ ਪਰ ਮੈਂ ਨਾ ਹੋਵਾਂਗਾ।
[IRV | PA | OT | Job | Chapter 7 | Verse 9] ਜਿਵੇਂ ਬੱਦਲ ਫੱਟ ਕੇ ਮੁੱਕ ਜਾਂਦਾ ਹੈ, ਤਿਵੇਂ ਉਹ ਜਿਹੜਾ ਪਤਾਲ ਵਿੱਚ ਉੱਤਰਦਾ ਹੈ, ਫਿਰ ਉੱਪਰ ਨਹੀਂ ਆਉਂਦਾ।
[IRV | PA | OT | Job | Chapter 7 | Verse 10] ਉਹ ਆਪਣੇ ਘਰ ਨੂੰ ਫੇਰ ਨਹੀਂ ਮੁੜਦਾ, ਅਤੇ ਉਹ ਦਾ ਥਾਂ ਉਹ ਨੂੰ ਫੇਰ ਨਹੀਂ ਪਛਾਣੇਗਾ।
[IRV | PA | OT | Job | Chapter 7 | Verse 11] “ਇਸ ਲਈ ਮੈਂ ਆਪਣਾ ਮੂੰਹ ਬੰਦ ਨਾ ਕਰਾਂਗਾ, ਮੈਂ ਆਪਣੇ ਆਤਮਿਕ ਦੁੱਖ ਵਿੱਚ ਬੋਲਦਾ ਜਾਂਵਾਂਗਾ, ਮੈਂ ਆਪਣੀ ਜਾਨ ਦੀ ਕੁੜੱਤਣ ਵਿੱਚ ਸ਼ਿਕਾਇਤ ਕਰਦਾ ਰਹਾਂਗਾ।
