[IRV | PA | OT | Job | Chapter 21 | Verse 1] ਤਦ ਅੱਯੂਬ ਨੇ ਉੱਤਰ ਦੇ ਕੇ ਆਖਿਆ,
[IRV | PA | OT | Job | Chapter 21 | Verse 2] “ਗੌਰ ਨਾਲ ਮੇਰੀ ਗੱਲ ਸੁਣੋ, ਅਤੇ ਇਹੋ ਤੁਹਾਡੀ ਤਸੱਲੀ ਹੋਵੇ।
[IRV | PA | OT | Job | Chapter 21 | Verse 3] ਮੈਨੂੰ ਥੋੜ੍ਹਾ ਸਹਿ ਲਓ ਤਾਂ ਜੋ ਮੈਂ ਬੋਲਾਂ, ਅਤੇ ਮੇਰੇ ਬੋਲਣ ਤੋਂ ਬਾਅਦ ਤੁਸੀਂ ਠੱਠਾ ਕਰਿਓ!
[IRV | PA | OT | Job | Chapter 21 | Verse 4] “ਕੀ ਮੈਂ ਕਿਸੇ ਮਨੁੱਖ ਨੂੰ ਸ਼ਿਕਾਇਤ ਕਰਦਾ ਹਾਂ? ਫੇਰ ਮੇਰਾ ਆਤਮਾ ਬੇਚੈਨ ਕਿਉਂ ਨਾ ਹੋਵੇ?
[IRV | PA | OT | Job | Chapter 21 | Verse 5] ਮੇਰੀ ਵੱਲ ਵੇਖੋ ਅਤੇ ਹੈਰਾਨ ਹੋ ਜਾਓ, ਅਤੇ ਆਪਣਾ ਹੱਥ ਆਪਣੇ ਮੂੰਹ ਤੇ ਰੱਖੋ।
[IRV | PA | OT | Job | Chapter 21 | Verse 6] ਜਦ ਮੈਂ ਯਾਦ ਕਰਦਾ ਹਾਂ ਤਾਂ ਮੈਂ ਘਬਰਾ ਜਾਂਦਾ ਹਾਂ, ਅਤੇ ਕੰਬਣੀ ਮੇਰੇ ਸਰੀਰ ਨੂੰ ਫੜ੍ਹ ਲੈਂਦੀ ਹੈ!
[IRV | PA | OT | Job | Chapter 21 | Verse 7] ਦੁਸ਼ਟ ਕਿਉਂ ਜੀਉਂਦੇ ਰਹਿੰਦੇ ਹਨ, ਸਗੋਂ ਬੁੱਢੇ ਵੀ ਹੋ ਜਾਂਦੇ ਅਤੇ ਮਾਲ-ਧਨ ਵਿੱਚ ਵੀ ਬਲਵਾਨ ਹੋ ਜਾਂਦੇ ਹਨ?
[IRV | PA | OT | Job | Chapter 21 | Verse 8] ਉਹਨਾਂ ਦਾ ਵੰਸ਼ ਉਹਨਾਂ ਦੇ ਸਨਮੁਖ, ਅਤੇ ਉਹਨਾਂ ਦੀ ਔਲਾਦ ਉਹਨਾਂ ਦੀਆਂ ਅੱਖਾਂ ਦੇ ਅੱਗੇ ਦ੍ਰਿੜ੍ਹ ਹੋ ਜਾਂਦੀ ਹੈ।
[IRV | PA | OT | Job | Chapter 21 | Verse 9] ਉਹਨਾਂ ਦੇ ਘਰ ਭੈਅ ਰਹਿਤ ਅਤੇ ਸਲਾਮਤ ਹਨ, ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਡੰਡਾ ਉਹਨਾਂ ਨੂੰ ਨਹੀਂ ਪੈਂਦਾ।
[IRV | PA | OT | Job | Chapter 21 | Verse 10] ਉਹਨਾਂ ਦਾ ਸਾਨ੍ਹ ਗੱਭਣ ਕਰ ਦਿੰਦਾ ਹੈ ਅਤੇ ਨਾਕਾਮ ਨਹੀਂ ਹੁੰਦਾ, ਉਹਨਾਂ ਦੀਆਂ ਗਾਂਵਾਂ ਸੂੰਦੀਆਂ ਹਨ ਅਤੇ ਉਹਨਾਂ ਦਾ ਗਰਭ ਨਹੀਂ ਡਿੱਗਦਾ।
[IRV | PA | OT | Job | Chapter 21 | Verse 11] ਉਹ ਆਪਣੇ ਨਿਆਣੇ ਇੱਜੜ ਵਾਂਗੂੰ ਬਾਹਰ ਘੱਲਦੇ ਹਨ, ਅਤੇ ਉਹਨਾਂ ਦੇ ਬੱਚੇ ਨੱਚਦੇ ਹਨ।
