[IRV | PA | OT | Job | Chapter 13 | Verse 1] ਵੇਖੋ, ਮੇਰੀ ਅੱਖ ਨੇ ਇਹ ਸਭ ਕੁਝ ਵੇਖਿਆ ਹੈ, ਮੇਰੇ ਕੰਨਾਂ ਨੇ ਇਹ ਸੁਣਿਆ ਅਤੇ ਸਮਝਿਆ ਹੈ।
[IRV | PA | OT | Job | Chapter 13 | Verse 2] ਜਿਵੇਂ ਤੁਸੀਂ ਜਾਣਦੇ ਹੋ ਮੈਂ ਵੀ ਜਾਣਦਾ ਹਾਂ, ਮੈਂ ਤੁਹਾਡੇ ਨਾਲੋਂ ਕੁਝ ਘੱਟ ਨਹੀਂ ਹਾਂ।
[IRV | PA | OT | Job | Chapter 13 | Verse 3] ਪਰ ਮੈਂ ਸਰਬ ਸ਼ਕਤੀਮਾਨ ਨਾਲ ਬੋਲਣਾ, ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨਾਲ ਵਾਦ-ਵਿਵਾਦ ਕਰਨਾ ਚਾਹੁੰਦਾ ਹਾਂ,
[IRV | PA | OT | Job | Chapter 13 | Verse 4] ਪਰ ਤੁਸੀਂ ਝੂਠੀਆਂ ਗੱਲਾਂ ਦੇ ਘੜਣ ਵਾਲੇ ਹੋ, ਤੁਸੀਂ ਸਾਰੇ ਦੇ ਸਾਰੇ ਨਿਕੰਮੇ ਵੈਦ ਹੋ!
[IRV | PA | OT | Job | Chapter 13 | Verse 5] ਕਾਸ਼ ਕਿ ਤੁਸੀਂ ਬਿਲਕੁਲ ਚੁੱਪ ਰਹਿੰਦੇ, ਤਾਂ ਇਸ ਨਾਲ ਤੁਸੀਂ ਬੁੱਧਵਾਨ ਠਹਿਰਦੇ!
[IRV | PA | OT | Job | Chapter 13 | Verse 6] ਤੁਸੀਂ ਹੁਣ ਮੇਰੀ ਦਲੀਲ ਸੁਣੋ, ਅਤੇ ਮੇਰੀ ਬੇਨਤੀ ਉੱਤੇ ਕੰਨ ਲਾਓ।
[IRV | PA | OT | Job | Chapter 13 | Verse 7] ਕੀ ਤੁਸੀਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਲਈ ਕੁਧਰਮ ਦੀਆਂ ਗੱਲਾਂ ਕਰੋਗੇ, ਅਤੇ ਉਹ ਦੇ ਲਈ ਛਲ ਦੀਆਂ ਗੱਲਾਂ ਬੋਲੋਗੇ?
[IRV | PA | OT | Job | Chapter 13 | Verse 8] ਕੀ ਤੁਸੀਂ ਉਹ ਦਾ ਪੱਖਪਾਤ ਕਰੋਗੇ, ਜਾਂ ਪਰਮੇਸ਼ੁਰ ਲਈ ਮੁਕੱਦਮਾ ਲੜੋਗੇ?
[IRV | PA | OT | Job | Chapter 13 | Verse 9] ਭਲਾ ਇਹ ਚੰਗਾ ਹੋਵੇਗਾ ਕਿ ਉਹ ਤੁਹਾਨੂੰ ਜਾਂਚੇ, ਜਾਂ ਤੁਸੀਂ ਉਹ ਨੂੰ ਧੋਖਾ ਦਿਓਗੇ ਜਿਵੇਂ ਆਦਮੀ ਨੂੰ ਧੋਖਾ ਦਿੰਦੇ ਹੋ?
[IRV | PA | OT | Job | Chapter 13 | Verse 10] ਜੇ ਤੁਸੀਂ ਲੁੱਕ ਕੇ ਪੱਖਪਾਤ ਕਰੋਗੇ, ਤਾਂ ਉਹ ਤੁਹਾਨੂੰ ਸਖ਼ਤੀ ਨਾਲ ਝਿੜਕੇਗਾ।
[IRV | PA | OT | Job | Chapter 13 | Verse 11] ਭਲਾ, ਉਹ ਦੀ ਮਹਾਨਤਾ ਤੁਹਾਨੂੰ ਨਹੀਂ ਡਰਾਉਂਦੀ ਅਤੇ ਉਹ ਦਾ ਭੈਅ ਤੁਹਾਡੇ ਉੱਤੇ ਨਹੀਂ ਪੈਂਦਾ?
