[IRV | PA | OT | Job | Chapter 35 | Verse 1] ਫੇਰ ਅਲੀਹੂ ਨੇ ਹੋਰ ਇਹ ਆਖਿਆ,
[IRV | PA | OT | Job | Chapter 35 | Verse 2] “ਭਲਾ, ਤੂੰ ਇਸ ਨੂੰ ਠੀਕ ਸਮਝਦਾ ਹੈ, ਜੋ ਤੂੰ ਆਖਦਾ ਹੈਂ, ਮੇਰਾ ਧਰਮ ਪਰਮੇਸ਼ੁਰ ਨਾਲੋਂ ਵੱਧ ਹੈ?
[IRV | PA | OT | Job | Chapter 35 | Verse 3] ਕਿਉਂ ਜੋ ਤੂੰ ਕਹਿੰਦਾ ਹੈ ਕਿ ਮੈਨੂੰ ਕੀ ਲਾਭ ਹੈ? ਮੈਨੂੰ ਪਾਪ ਕਰਨ ਜਾਂ ਨਾ ਕਰਨ ਨਾਲ ਕੀ ਫ਼ਰਕ ਪੈਂਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 35 | Verse 4] “ਮੈਂ ਤੈਨੂੰ ਅਤੇ ਤੇਰੇ ਸਾਥੀਆਂ ਨੂੰ ਇਕੱਠੇ ਉੱਤਰ ਦਿੰਦਾ ਹਾਂ।
[IRV | PA | OT | Job | Chapter 35 | Verse 5] ਅਕਾਸ਼ ਵੱਲ ਤੱਕ ਅਤੇ ਵੇਖ, ਅਤੇ ਬੱਦਲਾਂ ਵੱਲ ਧਿਆਨ ਦੇ ਜੋ ਤੇਰੇ ਨਾਲੋਂ ਉੱਚੇ ਹਨ!
[IRV | PA | OT | Job | Chapter 35 | Verse 6] ਜੇ ਤੂੰ ਪਾਪ ਕੀਤਾ ਤਾਂ ਤੂੰ ਪਰਮੇਸ਼ੁਰ ਉੱਤੇ ਕੀ ਅਸਰ ਪਾਉਂਦਾ ਹੈ, ਅਤੇ ਜੇ ਤੇਰੇ ਅਪਰਾਧ ਵੱਧ ਜਾਣ ਤਾਂ ਉਸ ਨੂੰ ਕੀ ਫ਼ਰਕ ਪੈਂਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 35 | Verse 7] ਜੇ ਤੂੰ ਧਰਮੀ ਹੈ ਤਾਂ ਤੂੰ ਉਹ ਨੂੰ ਕੀ ਦਿੰਦਾ ਹੈ, ਜਾਂ ਉਹ ਤੇਰੇ ਹੱਥੋਂ ਕੀ ਲੈਂਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 35 | Verse 8] ਤੇਰੀ ਬਦੀ ਤੇਰੇ ਜਿਹੇ ਮਨੁੱਖਾਂ ਲਈ ਹੈ, ਅਤੇ ਤੇਰੇ ਧਰਮ ਦਾ ਫਲ ਵੀ ਆਦਮ ਵੰਸ਼ੀਆਂ ਲਈ।
[IRV | PA | OT | Job | Chapter 35 | Verse 9] “ਬਹੁਤ ਜ਼ੁਲਮ ਹੋਣ ਦੇ ਕਾਰਨ ਉਹ ਚਿੱਲਾਉਂਦੇ ਹਨ, ਜ਼ੋਰਾਵਰਾਂ ਦੀ ਭੁਜਾ ਦੇ ਬਲ ਦੇ ਕਾਰਨ ਉਹ ਦੁਹਾਈ ਦਿੰਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 35 | Verse 10] ਪਰ ਕੋਈ ਨਹੀਂ ਕਹਿੰਦਾ, ਪਰਮੇਸ਼ੁਰ ਮੇਰਾ ਸਿਰਜਣਹਾਰ ਕਿੱਥੇ ਹੈ, ਜਿਹੜਾ ਰਾਤ ਨੂੰ ਵੀ ਗੀਤ ਬਖ਼ਸ਼ਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 35 | Verse 11] ਜਿਹੜਾ ਸਾਨੂੰ ਧਰਤੀ ਦੇ ਪਸ਼ੂਆਂ ਨਾਲੋਂ ਅਤੇ ਅਕਾਸ਼ ਦੇ ਪੰਛੀਆਂ ਨਾਲੋਂ ਵਧੀਕ ਬੁੱਧ ਦਿੰਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 35 | Verse 12] ਉੱਥੇ ਉਹ ਦੁਹਾਈ ਦਿੰਦੇ ਹਨ ਪਰ ਉਹ ਉੱਤਰ ਨਹੀਂ ਦਿੰਦਾ, ਇਹ ਬੁਰਿਆਰ ਦੇ ਹੰਕਾਰ ਦੇ ਕਾਰਨ ਹੁੰਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 35 | Verse 13] ਪਰਮੇਸ਼ੁਰ ਸੱਚ-ਮੁੱਚ ਵਿਅਰਥ ਦੁਹਾਈ ਨਹੀਂ ਸੁਣਦਾ, ਅਤੇ ਸਰਬ ਸ਼ਕਤੀਮਾਨ ਉਸ ਉੱਤੇ ਧਿਆਨ ਨਹੀਂ ਕਰਦਾ,
[IRV | PA | OT | Job | Chapter 35 | Verse 14] ਖ਼ਾਸ ਕਰਕੇ ਜਦ ਤੂੰ ਕਹਿੰਦਾ ਹੈ ਕਿ ਉਹ ਮੈਨੂੰ ਦਰਸ਼ਣ ਨਹੀਂ ਦਿੰਦਾ, ਇਹ ਮੁਕੱਦਮਾ ਉਹ ਦੇ ਅੱਗੇ ਹੈ ਅਤੇ ਤੂੰ ਉਹ ਦੀ ਉਡੀਕ ਵਿੱਚ ਹੈ!
[IRV | PA | OT | Job | Chapter 35 | Verse 15] ਪਰ ਹੁਣੇ ਤਾਂ ਉਸ ਨੇ ਕ੍ਰੋਧ ਵਿੱਚ ਆ ਕੇ ਦੰਡ ਨਹੀਂ ਦਿੱਤਾ, ਅਤੇ ਹੰਕਾਰ ਉੱਤੇ ਬਹੁਤਾ ਚਿੱਤ ਨਹੀਂ ਲਾਇਆ,
[IRV | PA | OT | Job | Chapter 35 | Verse 16] ਇਸੇ ਕਾਰਨ ਅੱਯੂਬ ਆਪਣਾ ਮੂੰਹ ਫੋਕੀਆਂ ਗੱਲਾਂ ਲਈ ਖੋਲ੍ਹਦਾ ਹੈ, ਅਤੇ ਬਿਨ੍ਹਾਂ ਸਮਝ ਗੱਲਾਂ ਨੂੰ ਵਧਾਉਂਦਾ ਹੈ।”
