[IRV | PA | OT | Job | Chapter 26 | Verse 1] ਫੇਰ ਅੱਯੂਬ ਨੇ ਉੱਤਰ ਦੇ ਕੇ ਆਖਿਆ,
[IRV | PA | OT | Job | Chapter 26 | Verse 2] “ਤੂੰ ਨਿਰਬਲ ਦੀ ਸਹਾਇਤਾ ਕਿਵੇਂ ਕੀਤੀ, ਅਤੇ ਬਲਹੀਣ ਬਾਂਹ ਨੂੰ ਕਿਵੇਂ ਬਚਾਇਆ!
[IRV | PA | OT | Job | Chapter 26 | Verse 3] ਤੂੰ ਬੁੱਧਹੀਣ ਨੂੰ ਕਿਹੋ ਜਿਹੀ ਸਲਾਹ ਦਿੱਤੀ, ਅਤੇ ਖਰਾ ਗਿਆਨ ਬਹੁਤ ਪਰਗਟ ਕੀਤਾ!
[IRV | PA | OT | Job | Chapter 26 | Verse 4] ਤੂੰ ਕਿਸਨੂੰ ਇਹ ਗੱਲਾਂ ਦੱਸੀਆਂ, ਅਤੇ ਕਿਸ ਦੇ ਆਤਮਾ ਨੇ ਤੇਰੇ ਮੂੰਹੋਂ ਗੱਲ ਕੀਤੀ?
[IRV | PA | OT | Job | Chapter 26 | Verse 5] “ਬਹੁਤ ਦਿਨਾਂ ਦੇ ਮਰੇ ਹੋਏ ਲੋਕ ਪਾਣੀਆਂ ਵਿੱਚ ਅਤੇ ਉਸ ਵਿੱਚ ਰਹਿਣ ਵਾਲਿਆਂ ਦੇ ਹੇਠ ਕੰਬਦੇ ਹਨ!
[IRV | PA | OT | Job | Chapter 26 | Verse 6] ਅਧੋਲੋਕ ਉਹ ਦੇ ਅੱਗੇ ਨੰਗਾ ਹੈ, ਅਤੇ ਨਰਕ ਬੇਪਰਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 26 | Verse 7] ਉਹ ਉੱਤਰ ਦੇਸ ਨੂੰ ਖਾਲੀ ਸਥਾਨ ਉੱਤੇ ਫੈਲਾਉਂਦਾ ਹੈ, ਉਹ ਧਰਤੀ ਨੂੰ ਬਿਨ੍ਹਾਂ ਸਹਾਰੇ ਦੇ ਲਟਕਾਉਂਦਾ ਹੈ!
[IRV | PA | OT | Job | Chapter 26 | Verse 8] ਉਹ ਪਾਣੀਆਂ ਨੂੰ ਆਪਣੀਆਂ ਘਟਾਂ ਵਿੱਚ ਬੰਨ੍ਹਦਾ ਹੈ, ਅਤੇ ਬੱਦਲ ਉਹਨਾਂ ਦੇ ਭਾਰ ਨਾਲ ਨਹੀਂ ਫਟਦੇ।
[IRV | PA | OT | Job | Chapter 26 | Verse 9] ਉਹ ਚੰਦਰਮਾ ਦੇ ਸਾਹਮਣੇ ਬੱਦਲ ਫੈਲਾ ਕੇ ਉਸ ਨੂੰ ਢੱਕ ਕੇ ਰੱਖਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 26 | Verse 10] ਉਹ ਨੇ ਪਾਣੀਆਂ ਦੀ ਹੱਦ, ਚਾਨਣ ਅਤੇ ਹਨੇਰੇ ਦੀ ਹੱਦ ਤੱਕ ਠਹਿਰਾ ਰੱਖੀ ਹੈ।
[IRV | PA | OT | Job | Chapter 26 | Verse 11] ਅਕਾਸ਼ ਦੇ ਥੰਮ੍ਹ ਹਿੱਲਦੇ ਹਨ, ਅਤੇ ਉਸ ਦੀ ਝਿੜਕੀ ਤੋਂ ਹੈਰਾਨ ਹੁੰਦੇ ਹਨ!
[IRV | PA | OT | Job | Chapter 26 | Verse 12] ਉਹ ਆਪਣੇ ਬਲ ਤੋਂ ਸਮੁੰਦਰ ਨੂੰ ਉਛਾਲ ਦਿੰਦਾ ਹੈ, ਅਤੇ ਆਪਣੀ ਬੁੱਧ ਨਾਲ ਰਾਹਬ ਨੂੰ ਮਾਰ ਸੁੱਟਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 26 | Verse 13] ਉਹ ਦੇ ਸਾਹ ਨਾਲ ਅਕਾਸ਼-ਮੰਡਲ ਸ਼ੁੱਧ ਹੋ ਜਾਂਦਾ ਹੈ, ਉਹ ਦੇ ਹੱਥ ਨੇ ਉੱਡਣੇ ਸੱਪ ਨੂੰ ਵਿੰਨ੍ਹ ਸੁੱਟਿਆ ਹੈ।
[IRV | PA | OT | Job | Chapter 26 | Verse 14] ਵੇਖੋ, ਇਹ ਸਭ ਉਸ ਦੇ ਕੰਮਾਂ ਦੀ ਝਲਕ ਹੀ ਹੈ, ਅਤੇ ਅਸੀਂ ਉਸ ਦੀ ਕਿੰਨੀ ਹੌਲੀ ਅਵਾਜ਼ ਸੁਣਦੇ ਹਾਂ! ਫੇਰ ਕੌਣ ਉਸ ਦੀ ਸਮਰੱਥਾ ਦੀ ਗਰਜ ਨੂੰ ਸਮਝ ਸਕਦਾ ਹੈ?”
