[IRV | PA | OT | Job | Chapter 17 | Verse 1] “ਮੇਰਾ ਆਤਮਾ ਟੁੱਟ ਗਿਆ, ਮੇਰੇ ਦਿਨ ਮੁੱਕ ਗਏ, ਕਬਰ ਮੇਰੇ ਲਈ ਤਿਆਰ ਹੈ।
[IRV | PA | OT | Job | Chapter 17 | Verse 2] ਨਿਸੰਗ ਮੇਰੇ ਕੋਲ ਠੱਠਾ ਕਰਨ ਵਾਲੇ ਹਨ, ਅਤੇ ਮੇਰੀ ਨਿਗਾਹ ਉਹਨਾਂ ਦੇ ਲੜਾਈ ਝਗੜੇ ਉੱਤੇ ਟਿਕੀ ਹੋਈ ਹੈ।
[IRV | PA | OT | Job | Chapter 17 | Verse 3] “ਹੇ ਪਰਮੇਸ਼ੁਰ, ਜ਼ਮਾਨਤ ਦੇ, ਤੂੰ ਆਪਣੇ ਅਤੇ ਮੇਰੇ ਵਿੱਚ ਜ਼ਮਾਨਤੀ ਹੋ, ਕੌਣ ਹੈ ਜੋ ਮੇਰੇ ਹੱਥ ਉੱਤੇ ਹੱਥ ਧਰੇ?
[IRV | PA | OT | Job | Chapter 17 | Verse 4] ਤੂੰ ਤਾਂ ਉਹਨਾਂ ਦਾ ਮਨ ਸਮਝ ਤੋਂ ਓਹਲੇ ਰੱਖਿਆ ਹੈ, ਇਸ ਲਈ ਤੂੰ ਉਹਨਾਂ ਨੂੰ ਪਰਬਲ ਨਾ ਹੋਣ ਦੇਵੇਂਗਾ।
[IRV | PA | OT | Job | Chapter 17 | Verse 5] ਜਿਹੜਾ ਆਪਣੇ ਮਿੱਤਰ ਨੂੰ ਲੁੱਟ ਦੇ ਹਿੱਸੇ ਲਈ ਦੋਸ਼ੀ ਬਣਾਉਂਦਾ ਹੈ, ਉਹ ਦੇ ਬੱਚਿਆਂ ਦੀਆਂ ਅੱਖਾਂ ਅੰਨ੍ਹੀਆਂ ਹੋ ਜਾਣਗੀਆਂ।
[IRV | PA | OT | Job | Chapter 17 | Verse 6] “ਪਰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮੈਨੂੰ ਲੋਕਾਂ ਲਈ ਮਿਹਣਾ ਬਣਾਇਆ, ਮੈਂ ਉਹ ਹਾਂ ਜਿਸ ਦੇ ਮੂੰਹ ਉੱਤੇ ਲੋਕ ਥੁੱਕਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 17 | Verse 7] ਮੇਰੀਆਂ ਅੱਖਾਂ ਸੋਗ ਦੇ ਕਾਰਨ ਧੁੰਦਲੀਆਂ ਹੋ ਗਈਆਂ ਹਨ, ਅਤੇ ਮੇਰੇ ਸਾਰੇ ਅੰਗ ਪਰਛਾਵੇਂ ਵਾਂਗੂੰ ਹੋ ਗਏ ਹਨ।
[IRV | PA | OT | Job | Chapter 17 | Verse 8] ਨੇਕ ਲੋਕ ਇਹ ਵੇਖ ਕੇ ਹੈਰਾਨ ਹੁੰਦੇ ਹਨ, ਅਤੇ ਬੇਦੋਸ਼ੇ ਕੁਧਰਮੀਆਂ ਦੇ ਵਿਰੁੱਧ ਭੜਕ ਉੱਠਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 17 | Verse 9] ਪਰ ਧਰਮੀ ਆਪਣੇ ਰਾਹ ਤੇ ਲੱਗਾ ਰਹੇਗਾ, ਅਤੇ ਸਾਫ਼ ਹੱਥ ਵਾਲਾ ਹੋਰ ਵੀ ਤਕੜਾ ਹੁੰਦਾ ਜਾਵੇਗਾ।
[IRV | PA | OT | Job | Chapter 17 | Verse 10] “ਪਰ ਤੁਸੀਂ ਸਾਰੇ ਹੀ ਯਤਨ ਨਾਲ ਮੁੜ ਕੇ ਆਓ, ਮੈਨੂੰ ਤੁਹਾਡੇ ਵਿੱਚ ਇੱਕ ਵੀ ਬੁੱਧੀਮਾਨ ਨਾ ਲੱਭੇਗਾ।
[IRV | PA | OT | Job | Chapter 17 | Verse 11] ਮੇਰੇ ਜਿਉਣ ਦੇ ਦਿਨ ਤਾਂ ਬੀਤ ਗਏ, ਮੇਰੀਆਂ ਯੋਜਨਾਵਾਂ ਅਤੇ ਮੇਰੇ ਦਿਲ ਦੀਆਂ ਲੋਚਾਂ ਮਿਟ ਗਈਆਂ।
[IRV | PA | OT | Job | Chapter 17 | Verse 12] ਮੇਰੇ ਮਿੱਤਰ ਰਾਤ ਨੂੰ ਦਿਨ ਠਹਿਰਾਉਂਦੇ ਅਤੇ ਆਖਦੇ ਹਨ ਕਿ ਚਾਨਣ ਹਨੇਰੇ ਦੇ ਕੋਲ ਹੀ ਹੈ।
[IRV | PA | OT | Job | Chapter 17 | Verse 13] ਜੇਕਰ ਮੈਂ ਆਸ ਰੱਖਾਂ ਕਿ ਅਧੋਲੋਕ ਮੇਰਾ ਘਰ ਹੈਂ, ਜੇਕਰ ਮੈਂ ਹਨੇਰੇ ਵਿੱਚ ਆਪਣਾ ਬਿਸਤਰਾ ਵਿਛਾਵਾਂ,
[IRV | PA | OT | Job | Chapter 17 | Verse 14] ਜੇ ਮੈਂ ਸੜਿਆਂਧ ਨੂੰ ਪੁਕਾਰਾਂ ਕਿ ਤੂੰ ਮੇਰਾ ਪਿਤਾ ਹੈਂ, ਅਤੇ ਕੀੜੇ ਨੂੰ ਕਿ ਤੂੰ ਮੇਰੀ ਮਾਂ ਅਤੇ ਮੇਰੀ ਭੈਣ ਹੈਂ,
[IRV | PA | OT | Job | Chapter 17 | Verse 15] ਤਦ ਮੇਰੀ ਆਸ ਫੇਰ ਕਿੱਥੇ ਹੈ? ਕੌਣ ਮੇਰੇ ਲਈ ਆਸ ਵੇਖੇਗਾ?
[IRV | PA | OT | Job | Chapter 17 | Verse 16] ਉਹ ਅਧੋਲੋਕ ਦੇ ਫਾਟਕਾਂ ਵਿੱਚ ਉਤਰ ਜਾਵੇਗੀ, ਜਦ ਅਸੀਂ ਇਕੱਠੇ ਖ਼ਾਕ ਵਿੱਚ ਅਰਾਮ ਪਾਵਾਂਗੇ।”
