[IRV | PA | OT | Job | Chapter 4 | Verse 1] ਤਦ ਅਲੀਫਾਜ਼ ਤੇਮਾਨੀ ਨੇ ਉੱਤਰ ਦੇ ਕੇ ਆਖਿਆ,
[IRV | PA | OT | Job | Chapter 4 | Verse 2] “ਜੇ ਕੋਈ ਤੇਰੇ ਨਾਲ ਗੱਲ ਕਰਨ ਦੀ ਦਲੇਰੀ ਕਰੇ, ਤਾਂ ਕੀ ਤੂੰ ਬੁਰਾ ਮੰਨੇਗਾ? ਪਰ ਬੋਲਣ ਤੋਂ ਕੌਣ ਆਪਣੇ ਆਪ ਨੂੰ ਰੋਕ ਸਕਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 4 | Verse 3] ਵੇਖ, ਤੂੰ ਬਹੁਤਿਆਂ ਨੂੰ ਸਿਖਾਇਆ, ਅਤੇ ਢਿੱਲੇ ਹੱਥਾਂ ਨੂੰ ਤੂੰ ਤਕੜਾ ਕੀਤਾ।
[IRV | PA | OT | Job | Chapter 4 | Verse 4] ਤੇਰੀਆਂ ਗੱਲਾਂ ਨੇ ਡਗਮਗਾਉਂਦੇ ਨੂੰ ਥੰਮਿਆ, ਅਤੇ ਤੂੰ ਕੰਬਦੇ ਗੋਡਿਆਂ ਨੂੰ ਮਜ਼ਬੂਤ ਕੀਤਾ,
[IRV | PA | OT | Job | Chapter 4 | Verse 5] ਪਰ ਹੁਣ ਬਿਪਤਾ ਤੇਰੇ ਉੱਤੇ ਆ ਪਈ ਅਤੇ ਤੂੰ ਨਿਰਾਸ਼ ਹੋ ਗਿਆ ਹੈਂ, ਉਹ ਨੇ ਤੈਨੂੰ ਛੂਹਿਆ ਅਤੇ ਤੂੰ ਘਬਰਾ ਉੱਠਿਆ।
[IRV | PA | OT | Job | Chapter 4 | Verse 6] ਭਲਾ, ਪਰਮੇਸ਼ੁਰ ਦਾ ਡਰ ਤੇਰਾ ਆਸਰਾ ਨਹੀਂ ਹੈ? ਅਤੇ ਤੇਰੇ ਰਾਹਾਂ ਦੀ ਖਰਿਆਈ ਤੇਰੀ ਆਸ ਨਹੀਂ?
[IRV | PA | OT | Job | Chapter 4 | Verse 7] “ਇਸ ਉੱਤੇ ਵਿਚਾਰ ਕਰ, ਕੀ ਕੋਈ ਨਿਰਦੋਸ਼ ਕਦੇ ਨਾਸ ਹੋਇਆ ਹੈ, ਜਾਂ ਨੇਕ ਜਨ ਕਦੇ ਮਿਟਾਏ ਗਏ?
[IRV | PA | OT | Job | Chapter 4 | Verse 8] ਮੇਰੇ ਵੇਖਣ ਵਿੱਚ ਤਾਂ ਜੋ ਪਾਪ ਅਤੇ ਦੁੱਖ ਦਾ ਬੀਜ ਬੀਜਦੇ ਹਨ, ਉਹੋ ਉਸ ਨੂੰ ਵੱਢਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 4 | Verse 9] ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਾਹ ਨਾਲ ਉਹ ਨਾਸ ਹੋ ਜਾਂਦੇ, ਅਤੇ ਉਹ ਦੇ ਕ੍ਰੋਧ ਦੇ ਬੁੱਲੇ ਨਾਲ ਉਹ ਮੁੱਕ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 4 | Verse 10] ਬੱਬਰ ਸ਼ੇਰ ਦਾ ਗੱਜਣਾ ਅਤੇ ਘਾਤਕ ਸ਼ੇਰ ਦਾ ਦਹਾੜਨਾ ਬੰਦ ਹੋ ਜਾਂਦਾ ਹੈ, ਅਤੇ ਜੁਆਨ ਸ਼ੇਰਾਂ ਦੇ ਦੰਦ ਭੰਨੇ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 4 | Verse 11] ਬੁੱਢਾ ਸ਼ੇਰ ਸ਼ਿਕਾਰ ਦੀ ਥੁੜ ਕਾਰਨ ਨਾਸ ਹੋ ਜਾਂਦਾ ਹੈ, ਅਤੇ ਸ਼ੇਰਨੀ ਦੇ ਬੱਚੇ ਖਿੰਡ-ਪੁੰਡ ਜਾਂਦੇ ਹਨ।
