[IRV | PA | OT | Job | Chapter 6 | Verse 1] ਫਿਰ ਅੱਯੂਬ ਨੇ ਉੱਤਰ ਦੇ ਕੇ ਆਖਿਆ,
[IRV | PA | OT | Job | Chapter 6 | Verse 2] “ਭਲਾ ਹੁੰਦਾ ਜੋ ਮੇਰੀ ਤਕਲੀਫ਼ ਚੰਗੀ ਤਰ੍ਹਾਂ ਤੋਲੀ ਜਾਂਦੀ ਅਤੇ ਮੇਰੀ ਸਾਰੀ ਬਿਪਤਾ ਤੱਕੜੀ ਵਿੱਚ ਰੱਖੀ ਜਾਂਦੀ!
[IRV | PA | OT | Job | Chapter 6 | Verse 3] ਕਿਉਂਕਿ ਉਹ ਸਮੁੰਦਰ ਦੀ ਰੇਤ ਨਾਲੋਂ ਵੀ ਭਾਰੀ ਠਹਿਰਦੀ, ਇਸ ਲਈ ਮੇਰੀਆਂ ਗੱਲਾਂ ਕਾਹਲ ਨਾਲ ਹੋਈਆਂ ਹਨ,
[IRV | PA | OT | Job | Chapter 6 | Verse 4] ਕਿਉਂ ਜੋ ਸਰਬ ਸ਼ਕਤੀਮਾਨ ਦੇ ਤੀਰ ਮੈਨੂੰ ਲੱਗੇ ਹਨ, ਇਹਨਾਂ ਦਾ ਜ਼ਹਿਰ ਮੇਰਾ ਆਤਮਾ ਪੀਂਦਾ ਹੈ, ਪਰਮੇਸ਼ੁਰ ਦੇ ਖੌਫ਼ ਮੇਰੇ ਵਿਰੁੱਧ ਕਤਾਰਾਂ ਬੰਨ੍ਹੀ ਖੜ੍ਹੇ ਹਨ!
[IRV | PA | OT | Job | Chapter 6 | Verse 5] ਕੀ, ਜੰਗਲੀ ਗਧਾ ਘਾਹ ਉੱਤੇ ਹੀਂਗਦਾ ਹੈ? ਕੀ ਬਲ਼ਦ ਆਪਣੇ ਪੱਠਿਆਂ ਉੱਤੇ ਅੜਿੰਗਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 6 | Verse 6] ਕੀ, ਫਿੱਕੀ ਚੀਜ਼ ਲੂਣ ਤੋਂ ਬਿਨ੍ਹਾਂ ਖਾਈਦੀ ਹੈ? ਕੀ ਆਂਡੇ ਦੀ ਸਫ਼ੇਦੀ ਵਿੱਚ ਕੋਈ ਸੁਆਦ ਹੈ?
[IRV | PA | OT | Job | Chapter 6 | Verse 7] ਜਿਹਨਾਂ ਵਸਤਾਂ ਨੂੰ ਮੈਂ ਛੂਹਣਾ ਵੀ ਨਹੀਂ ਚਾਹੁੰਦਾ ਉਹ ਹੀ ਮੇਰੇ ਲਈ ਘਿਣਾਉਣੀ ਰੋਟੀ ਠਹਿਰੀਆਂ ਹਨ।
[IRV | PA | OT | Job | Chapter 6 | Verse 8] “ਕਾਸ਼ ਕਿ ਮੇਰੀਆਂ ਮੰਗਾਂ ਪੂਰੀਆਂ ਹੁੰਦੀਆਂ ਅਤੇ ਜਿਸ ਦੀ ਮੈਂ ਆਸ ਕਰਦਾ ਹਾਂ, ਪਰਮੇਸ਼ੁਰ ਉਹ ਹੀ ਮੈਨੂੰ ਦਿੰਦਾ!
[IRV | PA | OT | Job | Chapter 6 | Verse 9] ਕਿ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਇਹ ਭਾਵੇ ਕਿ ਉਹ ਮੈਨੂੰ ਕੁਚਲ ਸੁੱਟੇ, ਆਪਣਾ ਹੱਥ ਚਲਾ ਕੇ ਮੈਨੂੰ ਵੱਢ ਸੁੱਟੇ!
[IRV | PA | OT | Job | Chapter 6 | Verse 10] ਤਦ ਵੀ ਇਹ ਮੇਰੀ ਤਸੱਲੀ ਦਾ ਕਾਰਨ ਹੁੰਦੀ ਅਤੇ ਮੈਂ ਵੱਡੀ ਤੜਫ਼ਣ ਵਿੱਚ ਵੀ ਖੁਸ਼ੀ ਨਾਲ ਉੱਛਲ ਪੈਂਦਾ, ਕਿਉਂਕਿ ਮੈਂ ਪਵਿੱਤਰ ਪੁਰਖ ਦੇ ਬਚਨਾਂ ਦਾ ਕਦੀ ਇਨਕਾਰ ਨਹੀਂ ਕੀਤਾ।
[IRV | PA | OT | Job | Chapter 6 | Verse 11] “ਮੇਰੇ ਵਿੱਚ ਕਿਹੜਾ ਬਲ ਜੋ ਮੈਂ ਆਸ ਰੱਖਾਂ, ਜਾਂ ਮੇਰਾ ਅੰਤ ਕੀ ਹੋਵੇਗਾ ਜੋ ਮੈਂ ਸਬਰ ਕਰਾਂ?
[IRV | PA | OT | Job | Chapter 6 | Verse 12] ਕੀ ਮੇਰਾ ਬਲ ਪੱਥਰਾਂ ਦਾ ਬਲ ਹੈ, ਜਾਂ ਮੇਰਾ ਸਰੀਰ ਪਿੱਤਲ ਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 6 | Verse 13] ਕੀ ਆਪਣੀ ਸਹਾਇਤਾ ਕਰਨ ਦੀ ਸਮਰੱਥਾ ਮੇਰੇ ਵਿੱਚ ਹੈ, ਜਦ ਕਿ ਕਾਮਯਾਬੀ ਮੈਥੋਂ ਦੂਰ ਹਟਾਈ ਗਈ ਹੈ?
[IRV | PA | OT | Job | Chapter 6 | Verse 14] “ਜੋ ਮਿੱਤਰ ਉੱਤੇ ਦਯਾ ਨਹੀਂ ਕਰਦਾ ਹੈ, ਉਹ ਸਰਬ ਸ਼ਕਤੀਮਾਨ ਦਾ ਡਰ ਮੰਨਣਾ ਵੀ ਛੱਡ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 6 | Verse 15] ਮੇਰੇ ਭਰਾ ਨਦੀ ਵਾਂਗੂੰ ਵਿਸ਼ਵਾਸਘਾਤੀ ਹਨ, ਉਨ੍ਹਾਂ ਨਦੀਆਂ ਦੀਆਂ ਧਾਰਾਂ ਵਾਂਗੂੰ ਜਿਹੜੀਆਂ ਦੂਰ ਵਗ ਜਾਂਦੀਆਂ ਹਨ,
[IRV | PA | OT | Job | Chapter 6 | Verse 16] ਉਹ ਬਰਫ਼ ਦੇ ਕਾਰਨ ਕਾਲੇ ਹੋ ਜਾਂਦੇ ਹਨ, ਅਤੇ ਹਿਮ ਉਸ ਦੇ ਵਿੱਚ ਛੁੱਪੀ ਰਹਿੰਦੀ ਹੈ!
[IRV | PA | OT | Job | Chapter 6 | Verse 17] ਗਰਮੀ ਦੀ ਰੁੱਤ ਵਿੱਚ ਉਹ ਅਲੋਪ ਹੋ ਜਾਂਦੀਆਂ ਹਨ, ਧੁੱਪ ਪੈਂਦਿਆਂ ਹੀ ਉਹ ਆਪਣੇ ਥਾਵਾਂ ਵਿੱਚੋਂ ਗਾਇਬ ਹੋ ਜਾਂਦੀਆਂ ਹਨ,
[IRV | PA | OT | Job | Chapter 6 | Verse 18] ਕਾਫ਼ਲੇ ਆਪਣੇ ਰਾਹਾਂ ਤੋਂ ਮੁੜ ਜਾਂਦੇ ਹਨ, ਉਹ ਸੁੰਨੇ ਥਾਂ ਵਿੱਚ ਜਾ ਕੇ ਨਾਸ ਹੋ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 6 | Verse 19] ਤੇਮਾ ਦੇ ਵਪਾਰੀ ਪਾਣੀ ਦੀ ਤਲਾਸ਼ ਕਰਦੇ ਹਨ, ਸ਼ਬਾ ਦੇ ਮੁਸਾਫ਼ਰ ਆਸ ਨਾਲ ਤੱਕਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 6 | Verse 20] ਤੇਮਾ ਦੇ ਕਾਫ਼ਲੇ ਵੇਖਦੇ ਰਹੇ, ਸਬਾ ਦੇ ਜੱਥੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉਡੀਕਦੇ ਰਹੇ,
[IRV | PA | OT | Job | Chapter 6 | Verse 21] ਹੁਣ ਤੁਸੀਂ ਮੇਰੇ ਲਈ ਅਜਿਹੇ ਹੀ ਹੋ, ਤੁਸੀਂ ਮੇਰੀ ਬਿਪਤਾ ਨੂੰ ਵੇਖ ਕੇ ਡਰ ਗਏ ਹੋ,
[IRV | PA | OT | Job | Chapter 6 | Verse 22] ਕੀ ਮੈਂ ਆਖਿਆ, ਮੈਨੂੰ ਕੁਝ ਦਿਓ? ਜਾਂ ਆਪਣੇ ਮਾਲ-ਧਨ ਵਿੱਚੋਂ ਮੈਨੂੰ ਰਿਸ਼ਵਤ ਦਿਓ?
[IRV | PA | OT | Job | Chapter 6 | Verse 23] ਜਾਂ ਵਿਰੋਧੀ ਦੇ ਹੱਥੋਂ ਮੈਨੂੰ ਛੁਡਾਓ, ਜਾਂ ਜ਼ਾਲਮਾਂ ਦੇ ਹੱਥੋਂ ਮੁੱਲ ਦੇ ਕੇ ਮੇਰਾ ਛੁਟਕਾਰਾ ਕਰਾਓ?
[IRV | PA | OT | Job | Chapter 6 | Verse 24] “ਮੈਨੂੰ ਸਿਖਾਓ ਤਾਂ ਮੈਂ ਚੁੱਪ ਹੋ ਜਾਂਵਾਂਗਾ, ਜਿੱਥੇ ਮੇਰੇ ਤੋਂ ਭੁੱਲ ਹੋਈ ਮੈਨੂੰ ਸਮਝਾਓ।
[IRV | PA | OT | Job | Chapter 6 | Verse 25] ਸਚਿਆਈ ਦੀਆਂ ਗੱਲਾਂ ਕਿੰਨੀਆਂ ਅਸਰ ਵਾਲੀਆਂ ਹੁੰਦੀਆਂ ਹਨ, ਪਰ ਤੁਹਾਡਾ ਝਿੜਕਣਾ ਕਿਹੜਾ ਝਿੜਕਣਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 6 | Verse 26] ਕੀ ਤੁਸੀਂ ਮੇਰੀਆਂ ਗੱਲਾਂ ਨੂੰ ਸੁਧਾਰਨਾ ਚਾਹੁੰਦੇ ਹੋ? ਪਰ ਨਿਰਾਸ਼ਾ ਦੀਆਂ ਗੱਲਾਂ ਹਵਾ ਹੀ ਹਨ!
[IRV | PA | OT | Job | Chapter 6 | Verse 27] ਹਾਂ, ਤੁਸੀਂ ਯਤੀਮਾਂ ਉੱਤੇ ਪਰਚੀਆਂ ਪਾਉਂਦੇ ਹੋ, ਅਤੇ ਆਪਣੇ ਦੋਸਤ ਦਾ ਸੌਦਾ ਕਰਦੇ ਹੋ।
[IRV | PA | OT | Job | Chapter 6 | Verse 28] “ਹੁਣ ਤਾਂ ਕਿਰਪਾ ਕਰਕੇ ਮੇਰੇ ਵੱਲ ਮੂੰਹ ਕਰੋ, ਮੈਂ ਤੁਹਾਡੇ ਸਨਮੁਖ ਝੂਠ ਕਦੇ ਨਾ ਬੋਲਾਂਗਾ!
[IRV | PA | OT | Job | Chapter 6 | Verse 29] ਮੁੜੋ, ਕਿ ਬੇਇਨਸਾਫ਼ੀ ਨਾ ਹੋਵੇ, ਅਤੇ ਫੇਰ ਮੁੜੋ, ਮੈਂ ਉਸ ਵਿੱਚ ਧਰਮ ਉੱਤੇ ਹਾਂ।
[IRV | PA | OT | Job | Chapter 6 | Verse 30] ਕੀ ਮੇਰੀ ਜੀਭ ਉੱਤੇ ਬੇਇਨਸਾਫ਼ੀ ਹੈ? ਕੀ ਮੈਂ ਬੁਰਿਆਈ ਨੂੰ ਨਹੀਂ ਪਛਾਣ ਸਕਦਾ?”
