[IRV | PA | OT | Job | Chapter 24 | Verse 1] “ਸਰਬ ਸ਼ਕਤੀਮਾਨ ਪਰਮੇਸ਼ੁਰ ਨੇ ਨਿਆਂ ਦੇ ਸਮੇਂ ਕਿਉਂ ਨਹੀਂ ਠਹਿਰਾਏ, ਅਤੇ ਜਿਹੜੇ ਉਸ ਨੂੰ ਜਾਣਦੇ ਹਨ, ਉਹ ਉਸ ਦੇ ਦਿਨਾਂ ਨੂੰ ਕਿਉਂ ਨਹੀਂ ਵੇਖਦੇ?
[IRV | PA | OT | Job | Chapter 24 | Verse 2] ਲੋਕ ਹੱਦਾਂ ਨੂੰ ਸਰਕਾ ਦਿੰਦੇ ਹਨ, ਉਹ ਇੱਜੜ ਨੂੰ ਖੋਹ ਲੈਂਦੇ ਹਨ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਚਾਰਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 24 | Verse 3] ਉਹ ਯਤੀਮਾਂ ਦਾ ਗਧਾ ਹੱਕ ਲੈ ਜਾਂਦੇ ਹਨ, ਉਹ ਵਿਧਵਾ ਦਾ ਬਲ਼ਦ ਗਹਿਣੇ ਰੱਖ ਲੈਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 24 | Verse 4] ਉਹ ਕੰਗਾਲਾਂ ਨੂੰ ਰਾਹ ਤੋਂ ਹਟਾਉਂਦੇ ਹਨ, ਅਤੇ ਦੇਸ ਦੇ ਮਸਕੀਨ ਇਕੱਠੇ ਲੁੱਕ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 24 | Verse 5] ਵੇਖੋ, ਉਹ ਉਜਾੜ ਦੇ ਜੰਗਲੀ ਗਧਿਆਂ ਵਾਂਗੂੰ ਆਪਣੇ ਕੰਮ ਅਤੇ ਭੋਜਣ ਪਦਾਰਥ ਭਾਲਣ ਲਈ ਨਿੱਕਲਦੇ ਹਨ। ਮੈਦਾਨ ਉਹਨਾਂ ਦੇ ਬੱਚਿਆਂ ਲਈ ਰੋਟੀ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 24 | Verse 6] ਉਹ ਖੇਤਾਂ ਵਿੱਚ ਚਾਰਾ ਵੱਢਦੇ ਹਨ, ਅਤੇ ਦੁਸ਼ਟ ਦੇ ਅੰਗੂਰੀ ਬਾਗ਼ਾਂ ਦੀ ਰਹਿੰਦ-ਖੁਹੰਦ ਚੁਗਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 24 | Verse 7] ਉਹ ਬਿਨ੍ਹਾਂ ਕੱਪੜੇ ਦੇ ਨੰਗੇ ਹੀ ਰਾਤ ਕੱਟਦੇ ਹਨ, ਅਤੇ ਉਹਨਾਂ ਕੋਲ ਠੰਡ ਵਿੱਚ ਉੱਤੇ ਲੈਣ ਨੂੰ ਕੁਝ ਨਹੀਂ।
[IRV | PA | OT | Job | Chapter 24 | Verse 8] ਉਹ ਪਹਾੜਾਂ ਦੀ ਵਰਖਾ ਨਾਲ ਭਿੱਜ ਜਾਂਦੇ ਹਨ, ਓਟ ਨਾ ਹੋਣ ਦੇ ਕਾਰਨ ਚੱਟਾਨ ਨਾਲ ਚਿੰਬੜ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 24 | Verse 9] ਉਹ ਯਤੀਮ ਨੂੰ ਮਾਂ ਦੀ ਛਾਤੀ ਤੋਂ ਖੋਹ ਲੈਂਦੇ ਹਨ, ਅਤੇ ਮਸਕੀਨ ਦਾ ਕੱਪੜਾ ਗਹਿਣੇ ਰੱਖ ਲੈਂਦੇ ਹਨ,
[IRV | PA | OT | Job | Chapter 24 | Verse 10] ਸੋ ਉਹ ਬਿਨ੍ਹਾਂ ਬਸਤਰ ਨੰਗੇ ਫਿਰਦੇ ਹਨ, ਅਤੇ ਭੁੱਖ ਦੇ ਮਾਰੇ ਭਰੀਆਂ ਚੁੱਗਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 24 | Verse 11] ਉਹ ਉਹਨਾਂ ਦੀਆਂ ਕੰਧਾਂ ਦੇ ਅੰਦਰ ਤੇਲ ਕੱਢਦੇ ਹਨ, ਉਹ ਉਹਨਾਂ ਦੀਆਂ ਹੌਦਾਂ ਵਿੱਚ ਅੰਗੂਰ ਪੀੜਦੇ ਹਨ, ਪਰ ਆਪ ਪਿਆਸੇ ਰਹਿੰਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 24 | Verse 12] ਸ਼ਹਿਰ ਵਿੱਚ ਲੋਕ ਹਾਉਂਕੇ ਭਰਦੇ ਹਨ, ਅਤੇ ਫੱਟੜਾਂ ਦੀ ਜਾਨ ਦੁਹਾਈ ਦਿੰਦੀ ਹੈ, ਪਰ ਪਰਮੇਸ਼ੁਰ ਉਹਨਾਂ ਦੀਆਂ ਪ੍ਰਾਰਥਨਾਵਾਂ ਵੱਲ ਧਿਆਨ ਨਹੀਂ ਕਰਦਾ!
[IRV | PA | OT | Job | Chapter 24 | Verse 13] “ਇਹ ਉਹ ਹਨ, ਜੋ ਚਾਨਣ ਦੇ ਵਿਰੁੱਧ ਹਨ, ਉਹ ਉਸ ਦੇ ਰਾਹਾਂ ਨੂੰ ਨਹੀਂ ਜਾਣਦੇ, ਨਾ ਉਸ ਦੇ ਮਾਰਗਾਂ ਵਿੱਚ ਬਣੇ ਰਹਿੰਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 24 | Verse 14] ਖ਼ੂਨੀ ਸਵੇਰੇ ਹੀ ਉੱਠਦਾ ਹੈ, ਉਹ ਮਸਕੀਨ ਤੇ ਕੰਗਾਲ ਨੂੰ ਵੱਢ ਸੁੱਟਦਾ ਹੈ, ਅਤੇ ਰਾਤ ਨੂੰ ਉਹ ਚੋਰ ਬਣ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 24 | Verse 15] ਵਿਭਚਾਰੀ ਦੀ ਅੱਖ ਸ਼ਾਮ ਨੂੰ ਉਡੀਕਦੀ ਹੈ, ਉਹ ਕਹਿੰਦਾ ਹੈ, ਕੋਈ ਮੈਨੂੰ ਨਹੀਂ ਵੇਖੇਗਾ! ਅਤੇ ਆਪਣੇ ਮੂੰਹ ਉੱਤੇ ਪੜਦਾ ਪਾ ਲੈਂਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 24 | Verse 16] ਹਨੇਰੇ ਵਿੱਚ ਉਹ ਘਰਾਂ ਵਿੱਚ ਸੰਨ੍ਹ ਮਾਰਦੇ ਹਨ, ਦਿਨੇ ਉਹ ਆਪ ਨੂੰ ਲੁਕਾ ਛੱਡਦੇ ਹਨ, ਉਹ ਚਾਨਣ ਨੂੰ ਨਹੀਂ ਜਾਣਦੇ,
[IRV | PA | OT | Job | Chapter 24 | Verse 17] ਕਿਉਂ ਜੋ ਸਵੇਰ ਉਹਨਾਂ ਸਾਰਿਆਂ ਲਈ ਮੌਤ ਦੇ ਸਾਯੇ ਵਰਗੀ ਹੈ, ਉਹ ਤਾਂ ਮੌਤ ਦੇ ਸਾਯੇ ਦੇ ਭੈਅ ਨਾਲ ਮਿੱਤਰਤਾ ਰੱਖਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 24 | Verse 18] “ਉਹ ਪਾਣੀਆਂ ਉੱਤੇ ਛੇਤੀ ਰੁੜ੍ਹ ਜਾਂਦੇ ਹਨ, ਧਰਤੀ ਵਿੱਚ ਉਹਨਾਂ ਦਾ ਵਿਰਸਾ ਸਰਾਪਿਆ ਹੋਇਆ ਹੈ, ਉਹ ਆਪਣੇ ਅੰਗੂਰੀ ਬਾਗ਼ਾਂ ਦੇ ਰਾਹ ਵੱਲ ਨਹੀਂ ਮੁੜਦੇ।
[IRV | PA | OT | Job | Chapter 24 | Verse 19] ਖ਼ੁਸ਼ਕੀ ਅਤੇ ਗਰਮੀ ਬਰਫ਼ਾਨੀ ਪਾਣੀਆਂ ਨੂੰ ਸੁਕਾ ਦਿੰਦੀਆਂ ਹਨ, ਤਿਵੇਂ ਪਤਾਲ ਪਾਪੀਆਂ ਨੂੰ ਵੀ ਸੁਕਾ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 24 | Verse 20] ਕੁੱਖ ਉਹ ਨੂੰ ਭੁੱਲ ਜਾਵੇਗੀ, ਕੀੜਾ ਉਹ ਨੂੰ ਸੁਆਦ ਨਾਲ ਖਾ ਜਾਵੇਗਾ, ਉਹ ਫੇਰ ਯਾਦ ਨਾ ਕੀਤਾ ਜਾਵੇਗਾ, ਇਸ ਤਰ੍ਹਾਂ ਬਦੀ ਰੁੱਖ ਵਾਂਗੂੰ ਤੋੜੀ ਜਾਵੇਗੀ।
[IRV | PA | OT | Job | Chapter 24 | Verse 21] ਉਹ ਬਾਂਝ ਨੂੰ ਜਿਹੜੀ ਜਣਦੀ ਨਹੀਂ ਲੁੱਟ ਲੈਂਦਾ ਹੈ, ਅਤੇ ਵਿਧਵਾ ਨਾਲ ਨੇਕੀ ਨਹੀਂ ਕਰਦਾ।
