[IRV | PA | OT | Job | Chapter 20 | Verse 1] ਤਦ ਸੋਫ਼ਰ ਨਅਮਾਤੀ ਨੇ ਉੱਤਰ ਦੇ ਕੇ ਆਖਿਆ,
[IRV | PA | OT | Job | Chapter 20 | Verse 2] “ਮੇਰੀਆਂ ਬੇਚੈਨ ਸੋਚਾਂ ਮੈਨੂੰ ਜਵਾਬ ਦੇਣ ਲਈ ਮਜ਼ਬੂਰ ਕਰਦੀਆਂ ਹਨ।
[IRV | PA | OT | Job | Chapter 20 | Verse 3] ਮੈਂ ਉਹ ਝਿੜਕੀ ਸੁਣਦਾ ਜੋ ਮੈਨੂੰ ਸ਼ਰਮਿੰਦਾ ਕਰਦੀ ਹੈ, ਅਤੇ ਮੇਰਾ ਆਤਮਾ ਆਪਣੀ ਸਮਝ ਅਨੁਸਾਰ ਮੈਨੂੰ ਉੱਤਰ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 20 | Verse 4] “ਕੀ ਤੂੰ ਇਹ ਮੁੱਢ ਤੋਂ ਨਹੀਂ ਜਾਣਦਾ, ਜਦ ਤੋਂ ਆਦਮੀ ਧਰਤੀ ਉੱਤੇ ਰੱਖਿਆ ਗਿਆ,
[IRV | PA | OT | Job | Chapter 20 | Verse 5] ਕਿ ਦੁਸ਼ਟਾਂ ਦਾ ਜੈਕਾਰਾ ਥੋੜ੍ਹੇ ਚਿਰ ਲਈ ਹੈ, ਅਤੇ ਕੁਧਰਮੀਆਂ ਦਾ ਅਨੰਦ ਇੱਕ ਪਲ ਦਾ ਹੈ?
[IRV | PA | OT | Job | Chapter 20 | Verse 6] ਜੇ ਉਹ ਦੀ ਉਚਿਆਈ ਅਕਾਸ਼ ਤੱਕ ਵੀ ਪਹੁੰਚੇ, ਅਤੇ ਉਹ ਦਾ ਸਿਰ ਬੱਦਲਾਂ ਨੂੰ ਜਾ ਲੱਗੇ,
[IRV | PA | OT | Job | Chapter 20 | Verse 7] ਤਾਂ ਵੀ ਉਹ ਧੂੜ੍ਹ ਵਾਂਗੂੰ ਸਦਾ ਲਈ ਨਾਸ ਹੋ ਜਾਵੇਗਾ, ਉਹ ਦੇ ਵੇਖਣ ਵਾਲੇ ਆਖਣਗੇ, ਉਹ ਕਿੱਥੇ ਹੈ?
[IRV | PA | OT | Job | Chapter 20 | Verse 8] ਉਹ ਸੁਫ਼ਨੇ ਵਾਂਗੂੰ ਉੱਡ ਜਾਵੇਗਾ, ਅਤੇ ਨਾ ਲੱਭੇਗਾ ਅਤੇ ਰਾਤ ਨੂੰ ਵੇਖੇ ਦਰਸ਼ਣ ਵਾਂਗੂੰ ਨਾ ਰਹੇਗਾ।
[IRV | PA | OT | Job | Chapter 20 | Verse 9] ਜਿਹੜੀ ਅੱਖ ਨੇ ਉਸ ਨੂੰ ਵੇਖਿਆ ਉਹ ਫੇਰ ਨਹੀਂ ਵੇਖੇਗੀ, ਅਤੇ ਉਸ ਦੇ ਥਾਂ ਤੇ ਉਸ ਦਾ ਕੁਝ ਪਤਾ ਨਾ ਰਹੇਗਾ,
[IRV | PA | OT | Job | Chapter 20 | Verse 10] ਉਹ ਦੇ ਬੱਚੇ ਕੰਗਾਲਾਂ ਤੋਂ ਮਦਦ ਮੰਗਣਗੇ, ਅਤੇ ਉਹ ਦੇ ਬੱਚੇ ਉਹ ਦਾ ਮਾਲ-ਧਨ ਮੋੜਨਗੇ।
[IRV | PA | OT | Job | Chapter 20 | Verse 11] ਉਹ ਦੀਆਂ ਹੱਡੀਆਂ ਜੁਆਨੀ ਦੇ ਬਲ ਨਾਲ ਭਰੀਆਂ ਹੋਈਆਂ ਤਾਂ ਹਨ, ਪਰ ਉਹ ਉਸ ਦੇ ਨਾਲ ਮਿੱਟੀ ਵਿੱਚ ਰਲ ਜਾਵੇਗਾ।
[IRV | PA | OT | Job | Chapter 20 | Verse 12] “ਭਾਵੇਂ ਬੁਰਿਆਈ ਉਹ ਦੇ ਮੂੰਹ ਵਿੱਚ ਮਿੱਠੀ ਲੱਗੇ, ਅਤੇ ਉਹ ਆਪਣੀ ਜੀਭ ਦੇ ਹੇਠ ਉਹ ਨੂੰ ਲੁਕਾਵੇ,
[IRV | PA | OT | Job | Chapter 20 | Verse 13] ਭਾਵੇਂ ਉਹ ਉਸ ਨੂੰ ਬਚਾ ਰੱਖੇ ਅਤੇ ਛੱਡੇ ਨਾ, ਅਤੇ ਆਪਣੇ ਸੰਘ ਵਿੱਚ ਦਬਾ ਕੇ ਰੱਖੇ,
[IRV | PA | OT | Job | Chapter 20 | Verse 14] ਤਾਂ ਵੀ ਉਹ ਦੀ ਰੋਟੀ ਉਹ ਦੀਆਂ ਆਂਦਰਾਂ ਵਿੱਚ ਪਲਟ ਜਾਂਦੀ ਹੈ, ਉਹ ਉਸ ਦੇ ਅੰਦਰ ਸੱਪਾਂ ਦਾ ਜ਼ਹਿਰ ਹੋ ਜਾਂਦੀ ਹੈ।
[IRV | PA | OT | Job | Chapter 20 | Verse 15] ਉਹ ਦੌਲਤ ਨੂੰ ਨਿਗਲ ਤਾਂ ਗਿਆ ਹੈ ਪਰ ਉਹ ਨੂੰ ਫਿਰ ਉਗਲੇਗਾ, ਪਰਮੇਸ਼ੁਰ ਉਹ ਨੂੰ ਉਸ ਦੇ ਢਿੱਡ ਵਿੱਚੋਂ ਕੱਢ ਲਵੇਗਾ।
[IRV | PA | OT | Job | Chapter 20 | Verse 16] ਉਹ ਨਾਗਾਂ ਦਾ ਵਿਸ ਚੂਸੇਗਾ, ਸੱਪ ਦਾ ਡੰਗ ਉਹ ਨੂੰ ਮਾਰ ਸੁੱਟੇਗਾ!
